evolve	 [iˈvɒlv]	vt. 	使发展；使进化；设计，制订出；发出，散发
forgo	 [fɔ:'ɡəʊ]	vt.& vi. 	没有也行，放弃
formulate	 [ˈfɔ:mjuleɪt]	vt. 	构想出，规划；确切地阐述；用公式表示
fossil	 [ˈfɒsl]	n. 	化石；僵化的事物；老顽固，食古不化的人；习语中保存的旧词
		adj. 	化石的；陈腐的，守旧的
fragment	 [ˈfrægmənt]	n. 	碎片；片段，未完成的部分；（将文件内容）分段
		vt. 	（使）碎裂，破裂，分裂
		vi. 	破碎，碎裂
fraternal	 [frəˈtɜ:nl]	adj. 	兄弟的；兄弟般的；友好的；同志般的
fraud	 [frɔ:d]	n. 	欺诈；骗子；伪劣品；冒牌货
friction	 [ˈfrɪkʃn]	n. 	摩擦；冲突，不和；摩擦力
frustrate	 [frʌˈstreɪt]	vt. 	挫败；阻挠；使受挫折
		adj. 	无益的，无效的
fuel	 [ˈfju:əl]	n. 	燃料；（为身体提供能量的）食物；（维持、增加感情的）刺激物；竞选提神（或兴奋）剂（一种健怡可乐，饮用后能使人精力充沛地从事竞选活动）
		vt. 	给…加燃料，给…加油；激起
		vi. 	补充燃料
fulfill	 [fʊl'fɪl]	vt. 	履行（诺言等）；执行（命令等）；达到（目的）；使结束
fuse	 [fju:z]	vi. 	熔化；融合
		vt. 	使融合；使融化；给…装信管
		n. 	保险丝；导火线；雷管；引信
generate	 [ˈdʒenəreɪt]	vt. 	形成，造成；产生物理反应；产生（后代）；引起
geography	 [dʒiˈɒgrəfi]	n. 	地理（学）；地形，地势；布局
geometry	 [dʒiˈɒmətri]	n. 	几何学；几何形状；几何图形；几何学著作
germ	 [dʒɜ:m]	n. 	[生]幼芽，胚芽；微生物；起源，萌芽
graph	 [græf]	n. 	图表，曲线图；词的拼法
		vt. 	用曲线图表示，把…绘入图表；用胶版印刷
gravity	 [ˈgrævəti]	n. 	重力；万有引力，地心引力；重要性，严重性；严肃，庄重
guarantee	 [ˌgærənˈti:]	n. 	保证，担保；保证人，保证书；抵押品
		vt. 	保证，担保
hemisphere	 [ˈhemɪsfɪə(r)]	n. 	半球；地球的半球；[解]大脑半球
heredity	 [həˈredəti]	n. 	遗传；遗传性
hierarchy	 [ˈhaɪərɑ:ki]	n. 	[计]分层，层次；等级制度；统治集团；天使的级别或等级
homogeneous	 [ˌhɒməˈdʒi:niəs]	adj. 	同性质的，同类的；由相同（或同类型）事物（或人）组成的；均匀的；[数]齐性的，齐次的
horror	 [ˈhɒrə(r)]	n. 	恐怖，可怕的事物；嫌恶，痛恨；讨厌的人或事；〈口〉非常丑恶
hostile	 [ˈhɒstaɪl]	adj. 	敌人的，敌对的；怀有敌意的；不利的
		n. 	敌对者，敌对物；敌方
hypothesis	 [haɪˈpɒθəsɪs]	n. 	假设，假说；[逻]前提
ignore	 [ɪgˈnɔ:(r)]	vt. 	忽视，不顾；[法律]驳回（诉讼）
illuminate	 [ɪˈlu:mɪneɪt]	vt. 	照亮，照明；阐明，说明；装饰；使灿烂
		vi. 	照亮
illustrate	 [ˈɪləstreɪt]	vt. 	说明；表明；给…加插图；（用示例、图画等）说明
		vi. 	举例说明
imperial	 [ɪmˈpɪəriəl]	adj. 	帝国的，皇帝的；皇家的，庄严的；特级的；度量衡英制的
		n. 	纸张尺寸，通常是23×23英寸；特大号，特级品；一小绺胡须；马车的车顶
implement	 [ˈɪmplɪment]	vt. 	实施，执行；使生效，实现；落实（政策）；把…填满
		n. 	工具，器械；家具；手段；[法]履行（契约等）
implicit	 [ɪmˈplɪsɪt]	adj. 	不言明[含蓄]的；无疑问的，绝对的；成为一部份的；内含的
imply	 [ɪmˈplaɪ]	vt.& vi. 	暗示；意味；隐含；说明，表明
import	 [ˈɪmpɔ:t]	n. 	进口，进口商品；输入；重要性；意义
		vt. 	输入，进口；对…有重大关系；意味着
		vi. 	具重要性
impose	 [ɪmˈpəʊz]	vt. 	强加；征税；以…欺骗
		vi. 	利用；欺骗；施加影响
impress	 [ɪmˈpres]	vt. 	印；给…以深刻印象；使铭记
		n. 	印象；印记
incentive	 [ɪnˈsentɪv]	n. 	动机；刺激；诱因；鼓励
		adj. 	刺激性的；鼓励性质的
incessant	 [ɪnˈsesnt]	adj. 	不停的，持续不断的；无尽无休
incline	 [ɪnˈklaɪn]	vt.& vi. 	（使）倾斜，弄斜；（使）偏向，倾向于；（使）认为；点（头）（以示同意、打招呼等）
		n. 	斜坡；斜面；坡度；倾斜
incompatible	 [ˌɪnkəmˈpætəbl]	adj. 	不相容；矛盾，不能同时成立的；（与某物）不匹配；[医]配伍禁忌的
inconsistent	 [ˌɪnkənˈsɪstənt]	adj. 	不一致的，不调和的；前后矛盾的，不合逻辑的；反复无常的；歧出
incorporate	 [ɪnˈkɔ:pəreɪt]	vt. 	组成公司；包含；使混合；使具体化
		vi. 	包含；吸收；合并；混合
indigenous	 [ɪnˈdɪdʒənəs]	adj. 	土生土长的；生来的，固有的；本地的；根生土长
induce	 [ɪnˈdju:s]	vt. 	引诱；引起；[电]感应；归纳
infer	 [ɪnˈfɜ:(r)]	vt. 	推断；猜想，推理；暗示；意指
		vi. 	作出推论
inferior	 [ɪnˈfɪəriə(r)]	adj. 	（质量等）低劣的；下级的，下等的；（位置在）下面的；[植]下位的
		n. 	部下，下属；次品；晚辈；[印]下角码
inflation	 [ɪnˈfleɪʃn]	n. 	膨胀；通货膨胀；夸张；自命不凡
ingenious	 [ɪnˈdʒi:niəs]	adj. 	灵巧的；精巧的；设计独特的；有天才的，聪明的
inhibit	 [ɪnˈhɪbɪt]	v. 	抑制；禁止
injure	 [ˈɪndʒə(r)]	vt. 	损害，毁坏；伤害（名誉、自尊等）；（尤指事故中）伤害；伤害（感情，自尊心等）
innate	 [ɪˈneɪt]	adj. 	天生的；特有的，固有的；内在的，直觉的
innovation	 [ˌɪnəˈveɪʃn]	n. 	改革，创新；新观念；新发明；新设施
inspect	 [ɪnˈspekt]	vt. 	检查，检验；视察
		vi. 	进行检查；进行视察
instinct	 [ˈɪnstɪŋkt]	n. 	本能，天性；冲动；天资，天才
		adj. 	深深地充满着
instruct	 [ɪnˈstrʌkt]	vt. 	教，讲授；教导，指导；通知；命令
integer	 [ˈɪntɪdʒə(r)]	n. 	整数
integrate	 [ˈɪntɪgreɪt]	vt. 	使一体化；使整合；使完整；使结合成为整体
		vi. 	成为一体；结合在一起；合并；[数学]作积分运算
		adj. 	整体的；完整的；完全的；综合的
intellect	 [ˈɪntəlekt]	n. 	智力，理解力；有才智的人；知识分子
interact	 [ˌɪntərˈækt]	v. 	相互作用；互相影响；互动
interlock	 [ˌɪntəˈlɒk]	n. 	互锁设备；双螺纹针织品
		v. 	互锁；连锁
interlude	 [ˈɪntəlu:d]	n. 	插曲；穿插；幕间节目；[乐]间奏
interpret	 [ɪnˈtɜ:prɪt]	vt. 	解释；理解；诠释，体现；口译
		vi. 	作解释；作口译
interrelate	 [ˌɪntərɪˈleɪt]	vt.& vi. 	相互关联[影响]
intersect	 [ˌɪntəˈsekt]	vt. 	横断，横切，横穿
		vt.& vi. 	（指线条、道路等）相交，交叉
interval	 [ˈɪntəvl]	n. 	间隔；幕间休息；（数学）区间
intervene	 [ˌɪntəˈvi:n]	vi. 	阻碍；出面；插嘴；介于…之间
intimacy	 [ˈɪntɪməsi]	n. 	亲密；亲近；亲昵的言行；性行为
intrinsic	 [ɪnˈtrɪnsɪk]	adj. 	固有的，内在的，本质的；[解剖]体内的；本征；先天性
intuitive	 [ɪnˈtju:ɪtɪv]	adj. 	直觉的；凭直觉获知的；直观的
invade	 [ɪnˈveɪd]	vt.& vi. 	侵入，侵略；进行侵略；蜂拥而入，挤满；（疾病，声音等）袭来，侵袭
		vt. 	涌入；侵袭；侵犯；干扰
inverse	 [ˌɪnˈvɜ:s]	adj. 	相反的；逆向的；倒转的
		n. 	相反；倒转；相反的事物
		vt. 	使倒转；使颠倒
invest	 [ɪnˈvest]	vt.& vi. 	投资；花费
		vt. 	授予，使就职；给…穿衣，装饰；使充满；覆盖
investigate	 [ɪnˈvestɪgeɪt]	vt. 	调查；审查；研究
		vi. 	作调查
invoke	 [ɪnˈvəʊk]	vt. 	乞灵，祈求；提出或授引…以支持或证明；召鬼；借助
irrigate	 [ˈɪrɪgeɪt]	vt. 	灌溉；冲洗（伤口）；使清新
		vi. 	灌溉；冲洗
isolate	 [ˈaɪsəleɪt]	vt. 	使隔离，使孤立；[电]使绝缘；[化]使离析；[微]使细菌分离
		vi. 	隔离，孤立
		n. 	[微]分离菌；隔离种群
		adj. 	隔离的，分离的；孤立的
judicial	 [dʒuˈdɪʃl]	adj. 	司法的；法庭的；明断的；公正的
kindred	 [ˈkɪndrəd]	n. 	亲戚关系
		adj. 	同宗的； 同源的；类似的； 相似的
launch	 [lɔ:ntʃ]	vt. 	发射；[计算机]开始（应用程序）；发动；开展（活动、计划等）
		vi. 	投入；着手进行；热衷于…
		n. 	投掷；大船上的小艇；大型敞篷摩托艇
layer	 [ˈleɪə(r)]	n. 	层，层次；膜；[植]压条；放置者，计划者
		vt. 	把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
		vi. 	形成或分成层次；[植]通过压条法而生根
lecture	 [ˈlektʃə(r)]	n. 	演讲；训斥，教训
		vi. 	作演讲
		vt. 	给…作演讲；教训（通常是长篇大论的）
legislate	 [ˈledʒɪsleɪt]	vt.& vi. 	立法，制定法律；〈美〉以立法程序创立
legitimate	 [lɪˈdʒɪtɪmət]	adj. 	合法的，合理的；正规的；合法婚姻所生的；真正的，真实的
		vt. 	使合法；给予合法的地位；通过法律手段给（私生子）以合法地位；正式批准，授权
leisure	 [ˈleʒə(r)]	n. 	空闲时间；闲暇；悠闲；安逸
		adj. 	空闲的；闲暇的
lens	 [lenz]	n. 	透镜，镜头；眼睛中的水晶体；隐形眼镜；汽车的灯玻璃
liable	 [ˈlaɪəbl]	adj. 	有责任的；有义务的；有…倾向的；易…的
liberate	 [ˈlɪbəreɪt]	vt. 	解放；释放；释出，放出
linguistic	 [lɪŋˈgwɪstɪk]	adj. 	语言的；语言学的
litigate	 [ˈlɪtɪgeɪt]	v. 	提出诉讼
locate	 [ləʊˈkeɪt]	vt. 	位于；说出来源；查找…的地点；确定…的位置
		vi. 	定位；定居
locomotion	 [ˌləʊkəˈməʊʃn]	n. 	运动；移动；运动力；移动力
logic	 [ˈlɒdʒɪk]	n. 	逻辑，逻辑学；（做某事的）道理；推理方法；威力，压力，强制（力）
		adj. 	逻辑的
manifest	 [ˈmænɪfest]	vt. 	显示，表明；证明；使显现
		adj. 	明白的，明显的
		n. 	货单，旅客名单
manipulate	 [məˈnɪpjuleɪt]	vt. 	操作，处理；巧妙地控制；操纵；[医] 推拿，调整
margin	 [ˈmɑ:dʒɪn]	n. 	边缘，范围；极限；利润，盈余；（版心外）的空白
		vt. 	留边；成为…的边；加边于，围绕；为…加旁注
maternal	 [məˈtɜ:nl]	adj. 	母亲的；母亲般的；母系的；母亲方面的
matrix	 [ˈmeɪtrɪks]	n. 	矩阵；模型；基质；母体，子宫
metabolism	 [məˈtæbəlɪzəm]	n. 	新陈代谢；代谢作用
metaphor	 [ˈmetəfə(r)]	n. 	隐喻，暗喻；象征
microscope	 [ˈmaɪkrəskəʊp]	n. 	显微镜
migrate	 [maɪˈgreɪt]	vi. 	迁移，移往；移动；随季节而移居
		vt. 	使移居；使移植
modify	 [ˈmɒdɪfaɪ]	vi. 	被修饰；修改
		vt. 	改变；减轻，减缓；[语]修饰，（用变音符号）改变
moist	 [mɔɪst]	adj. 	潮湿的；微湿的；多雨的；含泪的
molecule	 [ˈmɒlɪkju:l]	n. 	分子；微小颗粒
momentum	 [məˈmentəm]	n. 	[物]动量；势头；动力；要素，契机
monarch	 [ˈmɒnək]	n. 	君主，帝王；最高统治者；[动]黑脉金斑蝶
morphology	 [mɔ:ˈfɒlədʒi]	n. 	形态学（尤指动植物形态学或词语形态学）
nerve	 [nɜ:v]	n. 	神经；勇气，胆量；[植] 叶脉；中枢
		vt. 	鼓励，激励；鼓起勇气
niche	 [nɪtʃ]	n. 	壁龛；合适的位置（工作等）；有利可图的缺口，商机
norm	 [nɔ:m]	n. 	标准；规范；准则；（劳动）定额
notate	 ['nəʊteɪt]	vt. 	以符号表示，把…写成记号（或标志）
null	 [nʌl]	adj. 	零值的；等于零的；（协议） 无法律效力；失效的
nutrient	 [ˈnju:triənt]	n. 	营养物，营养品，养分，养料；滋养物
		adj. 	营养的，滋养的
oblige	 [əˈblaɪdʒ]	vt. 	强制，强迫；使负债务；使感激；施惠于
		vi. 	施恩惠；帮忙，效劳
obsolete	 [ˈɒbsəli:t]	adj. 	废弃的；老式的，已过时的；[生]已废退的
		n. 	废词；被废弃的事物
		vt. 	淘汰；废弃
occupy	 [ˈɒkjupaɪ]	vt. 	占领；使用，住在…；使从事，使忙碌；任职
odor	 ['əʊdə]	n. 	气味，名声
option	 [ˈɒpʃn]	n. 	选择（的自由）；选项；选择权；选择能力
		vt. 	得到或获准进行选择；调动球员
orbit	 [ˈɔ:bɪt]	n. 	轨道；势力范围；眼眶；（人生的）旅程，生活过程
		vt.& vi. 	在…轨道上运行，环绕轨道运行
		vi. 	盘旋；绕轨道运行
		vt. 	绕轨道而行；进入轨道
orientate	 [ˈɔ:riənteɪt]	vi. 	朝向；面向；确定方向；使适应
oscillate	 [ˈɒsɪleɪt]	vt. 	使振荡，使振动，使动摇
		vi. 	持续周期性地摆动；动摇，犹豫：犹豫不决；动摇，犹豫：犹豫不决
overlap	 [ˌəʊvəˈlæp]	n. 	重叠部分；覆盖物，涂盖层；[数]交叠，相交
		vt. 	重叠；与…部分相同
		vi. 	互搭，重叠；部分相同；[数]有与…共同的某物
parenthesis	 [pəˈrenθəsɪs]	n. 	插入语；插入成分；圆括号；间歇
parliament	 [ˈpɑ:ləmənt]	n. 	议会，国会
passive	 [ˈpæsɪv]	adj. 	被动的；消极的；不抵抗的；冷漠的
		n. 	动词被动形式，被动语态
peasant	 [ˈpeznt]	n. 	农民；农夫；佃农；粗俗的人
pendulum	 [ˈpendjələm]	n. 	摆，钟摆；摇摆不定的事态（或局面）
perpendicular	 [ˌpɜ:pənˈdɪkjələ(r)]	adj. 	垂直的，成直角的；直立的，险陡的；[建]垂直式的；〈谑〉直站着的
		n. 	垂直线，垂直面；直立，直立姿势，廉直；垂直测器，锤规；[建]垂直式建筑，绝壁
perpetrate	 [ˈpɜ:pətreɪt]	vt. 	犯（罪）；做（恶）
perpetual	 [pəˈpetʃuəl]	adj. 	永久的；不断的；无期限的；四季开花的
persist	 [pəˈsɪst]	v. 	坚持；固执；存留；继续存在
pervade	 [pəˈveɪd]	vt. 	遍及，弥漫；渗透，充满
pest	 [pest]	n. 	讨厌的人或事；有害动植物；瘟疫
plead	 [pli:d]	vi. 	恳求；辩论
		vt. 	以…为理由；陈述案情；申辩，认罪，辩护
		vt.& vi. 	申诉，答辩，为…辩护
pole	 [pəʊl]	n. 	[物]极点，顶点；地极；杆；两极端
		vt.& vi. 	用篙撑船，摆船
		vt. 	[航海] 用一根杆来推动；以杆推进；以杆支撑（植物）；用杆子击打、戳、或搅拌
		vi. 	用滑雪杖加速
pollution	 [pəˈlu:ʃn]	n. 	污染（作用）；腐败；堕落；沾污
postulate	 [ˈpɒstjuleɪt]	vt. 	假定；提出要求；视…为理所当然
		n. 	假定；先决条件；基本原理
pragmatic	 [prægˈmætɪk]	adj. 	实际的；实用主义的；好管闲事的；国事的
		n. 	爱管闲事的人；专断的人；国事诏书；实务家
precede	 [prɪˈsi:d]	vt.& vi. 	在…之前发生或出现，先于；在…之上，优于；给…作序；处于…前面的位置
precipitate	 [prɪˈsɪpɪteɪt]	vt. 	下掷，由高处抛下；使提前或突然发生；[气象] 使凝结而下降；[化]使沉淀
		vi. 	[气象]凝结；[化]沉淀；倒落，一头栽下
		adj. 	仓促行进的，匆促的；轻率的，冲动行事的水蒸气，降水；突然发生的
		n. 	[化]沉淀物；结果，产物
predict	 [prɪˈdɪkt]	vt. 	预言，预测；预示，预告
		vi. 	预言，预示：预言某事，预言
premise	 ['premɪs]	n. 	前提；[复数]房屋；[复数][合同、契约用语]上述各点；（逻辑学中的）大[小]前提
		vt. 	预述（条件等）；提出…为前提；假设；作出前提
preposition	 [ˌprepəˈzɪʃn]	n. 	介词；前置词
presume	 [prɪˈzju:m]	vt. 	以为，认为；假定，假设；推测；意味着
		vi. 	擅自行动；相信；敢于；放肆
prevail	 [prɪˈveɪl]	vi. 	流行，盛行；获胜，占优势；说服，劝说
priority	 [praɪˈɒrəti]	n. 	优先，优先权；（时间，序上的）先，前；优先考虑的事；[数]优先次序
proceed	 [prəˈsi:d]	vi. 	进行；前进；（沿特定路线）行进；（尤指打断后）继续说
		n. 	收入，获利
proclaim	 [prəˈkleɪm]	vt. 	宣告，公布；表明；赞扬，称颂
procure	 [prəˈkjʊə(r)]	vt. 	取得，获得；实现，完成；导致
		vi. 	取得；介绍娼妓，拉皮条
prohibit	 [prəˈhɪbɪt]	vt. 	禁止，阻止，防止；不准许
propagate	 [ˈprɒpəgeɪt]	vt. 	繁衍，增殖；使遗传；扩散；使蔓延
		vi. 	繁殖；扩大；[物] 通过媒介传送
propensity	 [prəˈpensəti]	n. 	倾向，习性，癖好，偏爱
proprietor	 [prəˈpraɪətə(r)]	n. 	所有人，业主；地主
prosper	 [ˈprɒspə(r)]	vi. 	繁盛，成功
		vt. 	使…成功；使…昌盛
province	 [ˈprɒvɪns]	n. 	省份；大行政区；范围；职责
provoke	 [prəˈvəʊk]	vt. 	激起，挑起；煽动；招致；触怒，使愤怒
prudence	 ['pru:dns]	n. 	谨慎；节俭；精明
psychology	 [saɪˈkɒlədʒi]	n. 	心理学；心理特点；心理状态；心理影响
publish	 [ˈpʌblɪʃ]	vt.& vi. 	出版，发行；发表，宣布（结婚等）；公布，颁布；出版…的著作
purport	 [pəˈpɔ:t]	vt. 	声称；意图；意味着；打算
		n. 	意义，要旨；目的，意图
quote	 [kwəʊt]	vt.& vi. 	引述，引用
		vt. 	报价；引述
		vi. 	引用
		n. 	引用；报价；引号
radius	 [ˈreɪdiəs]	n. 	半径（距离）；用半径度量的圆形面积；半径范围；桡骨
react	 [riˈækt]	vi. 	反应，作出反应；影响；起反作用
		vt. 	使发生相互作用；使起化学反应；反抗；再演，重演
rebel	 [ˈrebl]	n. 	反政府的人；反叛者；造反者；叛逆者
		adj. 	反抗的；造反的
		vi. 	反抗政府；反抗权威
rectangle	 [ˈrektæŋgl]	n. 	[数]长方形，矩形
recur	 [rɪˈkɜ:(r)]	vi. 	再发生；复发；重现；回想
refute	 [rɪˈfju:t]	vt. 	驳斥，驳倒；否认真实性
reign	 [reɪn]	vi. 	当政，统治；占主导地位
		vt. 	想法、情感或氛围盛行，成为最显著的
		n. 	君主的统治；君主统治时期；任期；当政期
reinforce	 [ˌri:ɪnˈfɔ:s]	vt. 	加固；强化；增援
		vi. 	求援；得到增援；给予更多的支持
		n. 	加强；加固物；加固材料
reject	 [rɪˈdʒekt]	vt. 	拒绝；抛弃，扔掉；排斥；吐出或呕吐
		n. 	被拒绝或被抛弃的人或事物
relevance	 ['reləvəns]	n. 	相关性，关联；实用性；[计]资料检索能力
reluctance	 [rɪ'lʌktəns]	n. 	不愿意，勉强；[电]磁阻；反应式
rely	 [rɪˈlaɪ]	vi. 	依靠，倚赖，仗恃；信任，信赖
render	 [ˈrendə(r)]	v. 	使成为；递交；给予；表达
repress	 [rɪˈpres]	v. 	抑制；镇压；压抑
repudiate	 [rɪˈpju:dieɪt]	vt. 	（正式地）否认；拒绝接受；拒绝与…往来；拒不履行（法律义务）
reservoir	 [ˈrezəvwɑ:(r)]	n. 	蓄水池；贮液器；储藏；蓄积
resident	 [ˈrezɪdənt]	adj. 	定居的，常驻的；[计]常驻的，常存于内存中的；[动]不迁徙的（鸟兽等）；固有的，内在的
		n. 	居民；（旅馆的）住宿者；住院医师
residue	 [ˈrezɪdju:]	n. 	残余，残渣；余渣，残余物；[法]剩余财产；[林]废材
resource	 [rɪˈsɔ:s]	n. 	资源；物力，财力；办法；智谋
restore	 [rɪˈstɔ:(r)]	vt. 	归还；交还；使恢复；修复
		vt.& vi. 	恢复（某种情况或感受）；使复原；使复位；使复职
restrict	 [rɪˈstrɪkt]	vt. 	限制，限定；约束，束缚
retain	 [rɪˈteɪn]	vt. 	保持；留在心中，记住；雇用；付定金保留
retard	 [rɪˈtɑ:d]	vt. 	使减速，妨碍，阻止，推迟
		vi. 	减慢，受到阻滞
		n. 	减速，阻滞，延迟
reverberate	 [rɪˈvɜ:bəreɪt]	vi. 	回响；弹回；反射
		vt. 	使回响；使反射；使回弹
reverse	 [rɪˈvɜ:s]	vt.& vi. 	（使）反转；（使）颠倒；掉换，交换；[法]撤消，推翻
		vi. 	倒退；[桥牌]逆叫
		adj. 	反面的；颠倒的；倒开的；[生]倒卷的
		n. 	倒转，反向；[机]回动；倒退；失败
revise	 [rɪˈvaɪz]	vt. 	修订；改变；修正；[主英国英语]复习
		vt.& vi. 	复习
		vi. 	修订，校订
		n. 	修订；校订；[印刷]校样，清样；修订版，修订本
revive	 [rɪˈvaɪv]	vt. 	使复活，使恢复；使振奋，复原；使再生，使重新流行；唤醒，唤起
		vi. 	复苏，恢复；振作，恢复；再生，重新流行；再生效力
revolt	 [rɪˈvəʊlt]	vt. 	（使）厌恶
		vi. 	反叛，背叛；厌恶，反感
		n. 	造反，起义
revolve	 [rɪˈvɒlv]	vt.& vi. 	使旋转；反复考虑；使循环
		vi. 	旋转；循环出现；反复考虑
rigor	 ['rɪgə]	n. 	严格；严酷；严密；（由惊吓或中毒等导致的身体）僵直
rotate	 [rəʊˈteɪt]	vt.& vi. 	（使某物）旋转；使转动；使轮流，轮换；交替
		adj. 	[植]辐状的；有辐射部分的
rudimentary	 [ˌru:dɪˈmentri]	adj. 	基本的，初步的；发育不完全的，未成熟的；退化的
saint	 [seɪnt]	n. 	圣人般的人（指特别善良、仁爱或有耐性的人）；圣…（冠于人名、地名之前）；（因其生死言行而被基督教会追封的）圣人；圣徒
		vt. 	成为圣徒；把…视为圣徒
sanction	 [ˈsæŋkʃn]	n. 	制裁，处罚；批准，认可；约束力；鼓励
		vt. 	批准；鼓励，容忍
satellite	 [ˈsætəlaɪt]	n. 	卫星；人造卫星；卫星国；卫星区
		v. 	通过通讯卫星播送[传播]
saturate	 [ˈsætʃəreɪt]	vt. 	浸湿，浸透；使充满；[化]使饱和；使渗进，使湿透
		adj. 	浸透的，渗透的；饱和的；颜色浓[深]的
scalar	 [ˈskeɪlə(r)]	adj. 	梯状的；分等级的；数量的；标量的
		n. 	数量，标量
secrete	 [sɪˈkri:t]	vt. 	[生]分泌；隐匿，隐藏；私下侵吞
segment	 [ˈsegmənt]	n. 	部分，段落；环节；[计算机]（字符等的）分段；[动物学]节片
		vt.&vi. 	分割，划分；[生]使分裂
shrink	 [ʃrɪŋk]	vt.& vi. 	收缩，皱缩；（使）缩水；退缩，畏缩
		n. 	收缩；畏缩；精神病学家
sibling	 [ˈsɪblɪŋ]	n. 	兄弟，姐妹；[生]同科，同属；[人]氏族成员
signify	 [ˈsɪgnɪfaɪ]	vt. 	表示…的意思；意味；预示
		vi. 	具有重要性，要紧；辱骂
simultaneous	 [ˌsɪmlˈteɪniəs]	adj. 	同时发生的，同时存在的；同时的；联立的
		n. 	同时译员
skeleton	 [ˈskelɪtn]	n. 	（建筑物等的）骨架；骨骼；梗概；骨瘦如柴的人（或动物）
		adj. 	骨骼的；骨瘦如柴的；概略的；基本的
sketch	 [sketʃ]	n. 	草图；素描；梗概
		v. 	草拟；速写；简述
sociology	 [ˌsəʊsiˈɒlədʒi]	n. 	社会学；群体生态学
solar	 [ˈsəʊlə(r)]	adj. 	太阳的，日光的；利用太阳能的；根据太阳决定或测定的
		n. 	日光浴室
spatial	 [ˈspeɪʃl]	adj. 	空间的；存在于空间的；受空间条件限制的；占大篇幅的
specify	 [ˈspesɪfaɪ]	vt. 	指定；详述；提出…的条件；使具有特性
		vi. 	明确提出，详细说明
spectrum	 [ˈspektrəm]	n. 	光谱；波谱；范围；系列
speculate	 [ˈspekjuleɪt]	vt. 	思索，猜测，推测
		vi. 	投机；推测；思索
spontaneous	 [spɒnˈteɪniəs]	adj. 	自发的；自然的；天然产生的；无意识的
starve	 [stɑ:v]	vi. 	挨饿；[非正式用语] 饥饿；受饿；[古语] 冻死
		vt. 	使挨饿；饿死
stationary	 [ˈsteɪʃənri]	adj. 	不动的，固定的；静止的，不变的；常备军的；定居的
		n. 	不动的人；驻军；固定物
statistic	 [stəˈtɪstɪk]	n. 	统计资料中的一项；（一项）统计数据；统计量；（对总体具有代表性的）典型统计论
		adj. 	统计（上）的，统计学（上）的
stereotype	 [ˈsteriətaɪp]	n. 	陈规旧习，旧规矩；固定的形式；铅版；铅版制版法，铅板印刷
		vt. 	使成陈规；把…浇铸成铅版；使用铅版；使固定
stimulate	 [ˈstɪmjuleɪt]	vt. 	刺激；激励，鼓舞；使兴奋
		vi. 	起兴奋作用；起促进作用；起刺激作用
stipulate	 [ˈstɪpjuleɪt]	vt. 	（尤指在协议或建议中）规定，约定，讲明（条件等）
		vi. 	规定，明确要求
		adj. 	有托叶的
strata	 [ˈstrɑ:tə]	n. 	地层；岩层( stratum的名词复数 )；地层；社会阶层
subdivide	 [ˈsʌbdɪvaɪd]	vt. 	再分，细分
		vi. 	细分；再分
subjective	 [səbˈdʒektɪv]	adj. 	主观的；个人的；内省的
