enclose	 [ɪnˈkləʊz]	vt. 	（用墙、篱笆等）把…围起来；把…装入信封；附入
rake	 [reɪk]	n. 	耙子；放荡的男人，舞台等的倾斜度，
		vt.& vi. 	搜索；以耙子耙平（泥土等）；用耙子把…耙在一起；（翻阅旧记录、文件等以）搜寻事实等
suffer	 [ˈsʌfə(r)]	vi. 	受痛苦；受损害；变糟；变差
		vt. 	忍受；容忍；容许；遭受
cloth	 [klɒθ]	n. 	布，织物；一块布；用作某种用途的布，桌布，擦布，揩布；（统称）牧师
purple	 [ˈpɜ:pl]	adj. 	紫色的；帝王的；词藻华美的
		n. 	紫色；紫（红）衣，紫袍；帝位，皇权；皇族
		vt. 	使成紫色
		vi. 	变紫
queen	 [kwi:n]	n. 	女王；王后；杰出女性；（纸牌中的）王后， （国际象棋中的）后
		vt. 	立…为王后（或女王）；使…成为国王的妻子；[国际象棋]使（兵）成为后
hasten	 [ˈheɪsn]	vt.& vi. 	加速；使加紧；催促；赶紧，赶快
		vi. 	赶快；急忙
Smith	 [smiθ]	 	史密斯（姓氏； Adam, 1723-1790，英国经济学家）
shorten	 [ˈʃɔ:tn]	vt.& vi. 	缩短，变短
walking	 [ˈwɔ:kɪŋ]	n. 	步行，散步；步法，步态；道路状态
		adj. 	步行（用）的；（能）行走的；解雇的，被免职的
		v. 	走，步行( walk的现在分词)
applause	 [əˈplɔ:z]	n. 	热烈鼓掌；喝彩；掌声
ache	 [eɪk]	n. 	疼痛
		vi. 	疼痛；渴望
fly	 [flaɪ]	vi. 	飞；飞行；（旗）飘荡；过得快
		vt.& vi. 	乘（…的）飞机；驾驶（飞机等）
		vt. 	驾驶；空运；使飞翔；操作
		n. 	苍蝇；（作钓饵的）苍蝇；（裤子的）前裆开口；门帘
trained	 [treɪnd]	adj. 	训练过的，受训的
		v. 	训练，锻炼，培养( train的过去式和过去分词 )；教育；使（植物）朝某方向生长；[园艺学]修剪
apology	 [əˈpɒlədʒi]	n. 	道歉认错，愧悔；正式辩解，正式辩护；解释；〈口〉临时凑合的代用品
severe	 [sɪˈvɪə(r)]	adj. 	严峻的；严厉的；剧烈的；苛刻的
anybody	 [ˈenibɒdi]	pron. 	任何人，无论谁；随便哪一个人
		n. 	重要的人，有声名的人；平常人
knot	 [nɒt]	n. 	结，绳结，结节，（装饰用的）花结，蝴蝶结；[航]节(=浬/小时)，浬，海里；（树木或木材上的）节疤，（人或动物身上的）硬块，节，瘤；难事，难题，麻烦事，（问题的）要点，（戏剧，小说的）情节的征结
		vt.& vi. 	把…打结，把…连结，捆扎，包扎；使密切结合；使纠结；皱（眉）
nephew	 [ˈnefju:]	n. 	侄子，外甥
preserve	 [prɪˈzɜ:v]	vt. 	保护；保持，保存；腌制食物；防腐处理
		vi. 	保鲜；保持原状；做蜜饯；禁猎
		n. 	蜜饯；防护用品；禁猎地；独占的事物（或范围）
whenever	 [wenˈevə(r)]	adv. 	究竟什么时候；不论何时
		conj. 	无论什么时候；随时；无论何时；每当
cushion	 [ˈkʊʃn]	n. 	（隔离两个表面的）垫；垫子；起保护（或缓冲）作用的事物；（台球等运动）（台球桌内侧边缘的）弹性衬里
		vt. 	使免遭损害；使免受令人不快的影响；（用垫子）使柔和；（跌倒或碰撞时）起缓冲作用
interpretation	 [ɪnˌtɜ:prɪˈteɪʃn]	n. 	解释，说明；翻译；表演，演绎；理解
style	 [staɪl]	n. 	方式；样式；时髦；仪表，品位
		vt. 	设计；称呼；为…造型
		vi. 	使符合流行式样；用刻刀作装饰画
drown	 [draʊn]	vt. 	淹死；浸没；麻痹某人对…的意识；（一声音）淹没（另一声音）
		vi. 	淹死
putting	 ['pʊtɪŋ]	v. 	放置（put的现在分词）；轻击球（putt的现在分词）
grace	 [greɪs]	n. 	恩泽；优雅；慈悲；魅力
		v. 	使优美；惠赐
nursery	 [ˈnɜ:səri]	n. 	婴儿室，幼儿园；苗圃；临时托儿所；温床，滋生地
status	 [ˈsteɪtəs]	n. 	地位；情形，状态；身份
pint	 [paɪnt]	n. 	品脱；一品脱的量器或容器；一品脱容器的东西
affair	 [əˈfeə(r)]	n. 	事情，事件；事务；个人的事，私事；风流韵事
fierce	 [fɪəs]	adj. 	凶猛的，残忍的；猛烈的；狂热的
joint	 [dʒɔɪnt]	adj. 	共同的，联合的；共享的；两院的；连带的，共同的
		n. 	[解]关节；接合处；下流场所；一块烤肉（英式英语）
		vt. 	结合，联合；为…装上接头，使…有接缝
thoughts	 ['θɔ:ts]	n. 	思想( thought的名词复数 )；想法；关心；思索
imitate	 [ˈɪmɪteɪt]	vt. 	模仿，效仿；仿造，伪造
preparation	 [ˌprepəˈreɪʃn]	n. 	准备，预备；准备工作；配制品；制剂
aloud	 [əˈlaʊd]	adv. 	高声；大声
Measurements	 ['meʒəmənts]	n. 	量度( measurement的名词复数 )；测量；衡量；（量得的）尺寸
gaiety	 [ˈgeɪəti]	n. 	快乐；高兴；作乐；花哨
practices		n. 	练习( practice的名词复数 )；实践；（医生或律师的）业务；惯例
experienced	 [ɪkˈspɪəriənst]	adj. 	有阅历的；有见识的；老练的，熟练的；有经验的，有丰富经验的
		v. 	“experience”的过去式和过去分词
robbery	 [ˈrɒbəri]	n. 	抢劫案；明抢；敲竹杠；明目张胆地索取高价
ill	 [ɪl]	adj. 	不好的；恶意的；有病的；不吉利的
		adv. 	坏；不利地；令人不满地
		n. 	伤害；困难；问题；弊端
tighten	 [ˈtaɪtn]	vt.& vi. 	收紧；（使）变紧；（使）绷紧；加紧
Welfare		 	[电影]福利
guide	 [gaɪd]	vt. 	引路；指导；操纵；影响
		n. 	指导者；向导；导游；有指导意义的事物
perfection	 [pəˈfekʃn]	n. 	完美；完善；最后加工；圆满
largest	 ['la:dʒɪst]	adj. 	大的，多量的；大的( large的最高级 )；大规模的；众多的；（服装、食物、日用品等）大型号的
scorn	 [skɔ:n]	n. 	鄙视；轻蔑；不屑一顾；笑柄
		vt. 	轻视；看不起；蔑视；不屑做
		vi. 	表示轻蔑；表示鄙视；嘲笑
Hudson	 [ˈhʌdsn]	n. 	美国 New York 州东部的河流
whoever	 [hu:ˈevə(r)]	pron. 	（引导名词性从句）谁；无论谁，任何人；不管谁…
Massachusetts	 [ˌmæsə'tʃu:sɪts]	n. 	马萨诸塞州
trunk	 [trʌŋk]	n. 	树干；象鼻；躯干；汽车车尾的行李箱
Co		 	钴(cobalt)元素的符号
wool	 [wʊl]	n. 	羊毛；羊毛制品；（幼虫的）毛；羊毛覆盖物
pushed	 [pʊʃt]	adj. 	（时间、钱等）不够用的； 没有空的，忙碌的
		v. 	推，推动( push的过去式和过去分词 )；对…施加压力；逼迫；按
sailor	 [ˈseɪlə(r)]	n. 	水手，海员；驾船人
competitor	 [kəmˈpetɪtə(r)]	n. 	竞争者；对手
golden	 [ˈgəʊldən]	adj. 	金（黄）色的；金质的；美好的 
payment	 [ˈpeɪmənt]	n. 	付款，支付；报酬，报答；偿还；惩罚，报应
permanent	 [ˈpɜ:mənənt]	adj. 	永久（性）的，永恒的，不变的，耐久的，持久的，经久的；稳定的；常务的，常设的
		n. 	电烫发，烫发
joy	 [dʒɔɪ]	n. 	喜悦，快乐，高兴；令人高兴的事（或人）；成功；好运
		vi. 	因…而高兴
		vt. 	高兴，使快乐
moonlight	 [ˈmu:nlaɪt]	n. 	月光
		vi. 	兼职
deer	 [dɪə(r)]	n. 	鹿
bean	 [bi:n]	n. 	豆；豆形种子；毫无价值的东西
		vt. 	将（球）击中击球员头部
		int. 	胡说！呸！不可能！
satisfactory	 [ˌsætɪsˈfæktəri]	adj. 	令人满意的；符合要求的；[神]赎罪的
source	 [sɔ:s]	n. 	根源，本源；源头，水源；原因；提供消息的人
		vt. 	（从…）获得；发起；向…提供消息；寻求（尤指供货）的来源
		vi. 	原料来源；起源；寻求来源；寻求生产商（或提供商）
everyday	 [ˈevrideɪ]	adj. 	日常的，平常的；普通的；每天的；经常
drawer	 [drɔ:(r)]	n. 	抽屉；开票人，出票人；起草者；酒馆侍者
copy	 [ˈkɒpi]	n. 	复制品；一份；（报刊等的）稿件；准备排印的书面材料
		vt.& vi. 	复制；抄写；容许复制的
		vt. 	模仿；仿造…的样式或图案；抄写；复制
disregard	 [ˌdɪsrɪˈgɑ:d]	vt. 	不顾；不理会；漠视，忽视；蔑视，轻视
		n. 	漠视，忽视；不理，不顾；不尊重
vehicles	 ['vi:ɪklz]	n. 	运载工具；传播媒介；（为展露演员才华而）特意编写的一出戏（或电影等）；[画]展色剂；交通工具( vehicle的名词复数 )；车辆；传播媒介；手段
necessity	 [nəˈsesəti]	n. 	必要（性）；（迫切）需要；必需品；自然规律
nowadays	 [ˈnaʊədeɪz]	adv. 	现在，当今
		n. 	当今，现在
pleasant	 [ˈpleznt]	adj. 	可爱的；令人愉快的；有趣的；晴朗的
tradition	 [trəˈdɪʃn]	n. 	传统；惯例；[宗]经外传说；[法]移交，引渡
January	 [ˈdʒænjuəri]	n. 	一月；[人名] 贾纽厄里
patriotic	 [ˌpeɪtriˈɒtɪk]	adj. 	爱国的，有爱国心的；爱国主义的
annual	 [ˈænjuəl]	adj. 	每年的；一年的；[植物]一年生的
		n. 	年刊；一年生植物
fool	 [fu:l]	n. 	愚人，傻瓜；受骗者；有癖好的人；受愚弄的人
		vt. 	愚弄，欺骗；浪费，虚度；闹笑话；游手好闲
		vi. 	开玩笑；欺骗；戏弄
		adj. 	愚蠢的；傻的
remarks	 [rɪ'ma:ks]	n. 	话语( remark的名词复数 )；注意；看；观察
		v. 	谈论，评论( remark的第三人称单数 )；注意到…
tin	 [tɪn]	n. 	锡；罐头盒；马口铁；镀锡薄钢板
		adj. 	锡制的；假冒的；无价值的；蹩脚的
		vt. 	镀锡，包锡；给…包马口铁；包白铁
project	 [ˈprɒdʒekt]	vt. 	放映；计划；发射；展现，使突出
		vi. 	伸出，突出
		n. 	项目，工程；计划，规划；（学生的）课题
Administrative	 [ədˈmɪnɪstrətɪv]	adj. 	管理的，行政的；行政职位；非战斗性行政勤务的
cage	 [keɪdʒ]	n. 	笼子；牢房；升降车；[棒]练球场
		vt. 	把…关入牢中；把…关进笼内；把（冰球等）打入球门
driving	 [ˈdraɪvɪŋ]	n. 	操纵，驾驶
		adj. 	推进的；强劲的；雨、雪等猛烈的；倾泻而下的
		v. 	强迫( drive的现在分词)；驱使；驱赶；消除
pardon	 [ˈpɑ:dn]	vt. 	宽恕；原谅；赦免；劳驾
		n. 	饶恕，原谅；赦免；[宗]免罪符
		int. 	（用于请求别人重复某事）什么，请再说一遍
anxiety	 [æŋˈzaɪəti]	n. 	焦虑，忧虑；切望，渴望；令人焦虑的事；挂念
lately	 [ˈleɪtli]	adv. 	近来，最近；不久以前
funny	 [ˈfʌni]	adj. 	有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明的
		n. 	滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
offend	 [əˈfend]	vt. 	触怒；得罪，冒犯；使反感令人不适
		vi. 	犯规，触犯
coarse	 [kɔ:s]	adj. 	粗鄙的；粗糙的；粗野的；粗制滥造的
obvious	 [ˈɒbviəs]	adj. 	明显的；显著的；平淡无奇的；自明
wonderful	 [ˈwʌndəfl]	adj. 	极好的，精彩的，绝妙的；美妙；胜；神妙
August	 [ˈɔ:gəst]	adj. 	尊严的，威严的，令人敬畏的；威风凛凛的；堂堂的，雄赳赳的
		n. 	八月（简写为Aug）；奥古斯特
spoil	 [spɔɪl]	vi. 	变质；掠夺；腐败
		vt. 	损坏，糟蹋；把（酒，肉等）放坏；溺爱坏，宠坏（孩子等）；抢劫，掠夺
		n. 	抢劫，掠夺；废品，次品；成功所带来的好处；（开掘等时挖出的）弃土
horizontal	 [ˌhɒrɪˈzɒntl]	adj. 	水平的，卧式的；地平线的；[植]（枝条）平层的；同一行业的，同阶层的
		n. 	水平线；水平面；水平位置；水平的物体
troops	 [t'ru:ps]	n. 	军队；装甲部队；骑兵队；军队( troop的名词复数 )；一群；连队；童子军中队
sting	 [stɪŋ]	vt. 	叮，螫；刺痛；精神上刺痛；刺激
		vi. 	感到剧痛；刺，叮
		n. 	螫伤处；（某些昆虫的）毒刺；（身体或心灵的）剧痛；（警察为抓捕罪犯而设的）圈套
ditch	 [dɪtʃ]	n. 	沟渠；壕沟
		vt. 	摆脱，抛弃；在…上掘沟；把…开入沟里；使（火车）出轨
		vi. 	使（飞机）在海上紧急降落，（在海上）迫降；开沟
track	 [træk]	n. 	小路，小道；痕迹，踪迹；轨道，音轨；方针，路线
		vt. 	跟踪；监看，监测；追踪
		vi. 	沿着轨道前进；沿着一条路走，旅行；位于一队列中
finding	 [ˈfaɪndɪŋ]	n. 	发现物；研究结果；调查（或研究）的结果；（陪审团的）裁决
		v. 	发现( find的现在分词)
librarian	 [laɪˈbreəriən]	n. 	图书管理员；[计算机]库管理程序
meantime	 [ˈmi:ntaɪm]	n. 	其时，其间
		adv. 	同时，其间
structure	 [ˈstrʌktʃə(r)]	n. 	结构；构造；建筑物；体系
		vt. 	构成，排列；安排
cough	 [kɒf]	vt.& vi. 	咳嗽；（引擎等）发噗噗声；咳出
		n. 	咳，咳嗽；咳嗽病；（机关枪等的）连续发射声
Japanese	 [ˌdʒæpə'ni:z]	n. 	日本人，日本国民；日语
		adj. 	日本的，日本人的；日语的
deaf	 [def]	adj. 	聋的；不愿听的
objective	 [əbˈdʒektɪv]	adj. 	客观的，实体的；目标的；[语]宾格的；[医]他觉的
		n. 	目标，任务；[光]物镜；[语]宾语，宾格；[事]出击目标
windows		n. 	窗( window的名词复数 )；（计算机荧屏的）窗口；窗玻璃；墙上（或信封等上）开的窗形的口
complex	 [ˈkɒmpleks]	adj. 	复杂的；难懂的；复合的
		n. 	建筑群；相关联的一组事物；情结；不正常的忧虑
sword	 [sɔ:d]	n. 	剑，刀；武力，战争；兵权，权力
messenger	 [ˈmesɪndʒə(r)]	n. 	信使，信差；先驱；[军]通信兵，传令兵
vain	 [veɪn]	adj. 	徒劳的；自负的；无结果的；无用的
castle	 [ˈkɑ:sl]	n. 	城堡，堡垒；象棋中的车
		vt. 	把…置于城堡中；（下国际象棋时）用车护（王）
sin	 [sɪn]	n. 	违背宗教[道德原则]的恶行；罪恶，罪孽；过错，罪过；愚蠢的事，可耻的事
		vi. 	犯罪，犯过错
		vt. 	犯罪
elastic	 [ɪˈlæstɪk]	adj. 	有弹力的；可伸缩的；灵活的
		n. 	松紧带，橡皮圈
examples	 [ɪɡ'zɑ:mplz]	n. 	例子；榜样( example的名词复数 )；例子；样本；样板
comb	 [kəʊm]	n. 	梳子；梳棉机；鸡冠状的东西；蜂窝状的东西
		vt. 	梳理；彻底搜查
		vi. 	涌起，卷起
experiences		n. 	经历( experience的名词复数 )；经验；亲身经历；传统
intention	 [ɪnˈtenʃn]	n. 	意图，目的；意向；意义，意旨；[医]愈合
rod	 [rɒd]	n. 	杆，拉杆；惩罚，体罚；（责打人用的）棍棒；手枪
widen	 [ˈwaɪdn]	vt.& vi. 	放宽，加宽，（使）变宽
sorrow	 [ˈsɒrəʊ]	n. 	悲痛；悔恨，惋惜；伤心事
		vt.& vi. 	悲痛；遗憾
inventor	 [ɪnˈventə(r)]	n. 	发明家；创造者；发明者
cliff	 [klɪf]	n. 	悬崖，峭壁
Motors	 [mɒtərs]	n. 	马达，发动机( motor的名词复数 )
practically	 [ˈpræktɪkli]	adv. 	实际上；几乎；事实上
umbrella	 [ʌmˈbrelə]	n. 	雨伞；〈比喻〉保护物；[军]空中掩护幕；总括
instant	 [ˈɪnstənt]	n. 	瞬间，顷刻；此刻；当月；速食食品，即溶饮料
		adj. 	立即的；迫切的；正在考虑的，目前的；即食的
interruption	 [ˌɪntəˈrʌpʃn]	n. 	中断；打断；障碍物；打岔的事
sake	 [seɪk]	n. 	缘故；理由；日本米酒；目的
establishment	 [ɪˈstæblɪʃmənt]	n. 	企业；建立；（通常反对变革的）当权派；反对改革的保守当权派
merry	 [ˈmeri]	adj. 	愉快的，快活的；有趣的；[口]微醉的；生动的
		n. 	甜樱桃；梅里（姓氏）
gallon	 [ˈgælən]	n. 	加仑（容量单位）
introduced	 [ɪntrəd'ju:st]	adj. 	[医]引种的，引进的
		v. 	提出( introduce的过去式和过去分词 )；介绍；引进；作为…的开头
conquest	 [ˈkɒŋkwest]	n. 	征服，击败；战利品；（尤指）爱情的俘虏；赢得（物）
headache	 [ˈhedeɪk]	n. 	头痛；令人头痛的事
detailed	 [ˈdi:teɪld]	adj. 	详细的，明细的；精细的；复杂的；详尽的
		v. 	详细说明(detail的过去分词)
tailor	 [ˈteɪlə(r)]	n. 	裁缝，成衣工
		vi. 	做裁缝
		vt. 	调整使适应；为…裁制衣服；为…做衣服；剪裁，制作
bucket	 [ˈbʌkɪt]	n. 	水桶；一桶（的量）；大量；〈俚〉交通工具
		v. 	用桶装，用桶运；倾盆而下；〈美俚〉骗；猛开车，猛划船
eventually	 [ɪˈventʃuəli]	adv. 	终于，最后；竟；总归；终究
scent	 [sent]	n. 	香味，气味；嗅觉；（动物的）臭迹；痕迹，踪迹
		vt. 	闻到；察觉，发觉；使充满…的气味；发出气味
		vi. 	发出…的气味；有…的迹象；嗅着气味追赶
signature	 [ˈsɪgnətʃə(r)]	n. 	签名；署名；识别标志，鲜明特征；[医]药的用法说明
cart	 [kɑ:t]	n. 	运货马车，手推车；一车之量
		vt. 	用推车或卡车运送；费力搬运；强行带走，抓走
hurry	 [ˈhʌri]	vt.& vi. 	仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理
		n. 	匆忙，急忙
widely	 [ˈwaɪdli]	adv. 	广泛地；普遍地；到处；大量地
darken	 [ˈdɑ:kən]	vt.& vi. 	（使）变暗；（使）模糊
sometime	 [ˈsʌmtaɪm]	adv. 	将来某个时候；过去某个时候；改天；来日
		adj. 	（指某人曾经是…）从前的，一度的；某一时间的
yield	 [ji:ld]	vt. 	屈服，投降；生产；获利；不再反对
		vi. 	放弃，屈服；生利；退让，退位
		n. 	产量，产额；投资的收益；屈服，击穿；产品
applaud	 [əˈplɔ:d]	vt. 	鼓掌欢迎，欢呼；称赞，赞许；赞成，同意
		vi. 	夸赞，鼓掌
bread	 [bred]	n. 	面包；食物；营养，营养物；生计
		vt. 	在…上撒面包屑
developing	 [dɪˈveləpɪŋ]	adj. 	发展中的；显色；开发；显像
underneath	 [ˌʌndəˈni:θ]	adj. 	较低的；下面的
		adv. 	在下面，在底下；在下面，在下层
		prep. 	在…之下；在下面；在…下面；在…领导或控制下
		n. 	下部，底部
hello	 [hə'ləʊ]	int. 	哈喽，喂；你好，您好；表示问候；打招呼
		n. 	“喂”的招呼声或问候声
		vi. 	喊“喂”
Los		n. 	 Los Angelse 的简称
sister	 [ˈsɪstə(r)]	n. 	姐妹；（称志同道合者）姐妹；修女；护士
		adj. 	姐妹般的；同类型的
		v. 	如姐妹般相待
centers		n. 	中心( center的名词复数 )；（球队的） 中锋；中心区；中枢
pretense	 [prɪ'tens]	n. 	借口；（无事实根据的）要求；自称；假装
descent	 [dɪˈsent]	n. 	下降；血统；倾斜
knee	 [ni:]	n. 	膝；膝盖
		vt. 	用膝盖碰
mountain	 [ˈmaʊntən]	n. 	山，山岳；山脉；一大堆；大量
conquer	 [ˈkɒŋkə(r)]	vt. 	征服；攻克；打败（敌人）；克服
		vi. 	得胜，胜利
framework	 [ˈfreɪmwɜ:k]	n. 	构架；框架；（体系的）结构；机构，组织
previous	 [ˈpri:viəs]	adj. 	先前的；以前的；过早的；（时间上）稍前的
		adv. 	在先，在…以前
telling	 [ˈtelɪŋ]	adj. 	有效的；显著的；生动的；说明问题的
		v. 	讲述( tell的现在分词)；告诉
Alfred	 ['ælfrɪd]	n. 	阿尔佛雷德（男子名）
confidential	 [ˌkɒnfɪˈdenʃl]	adj. 	秘密的；机密的；表示信任的；亲密的
adoption	 [əˈdɒpʃn]	n. 	采用，收养
require	 [rɪˈkwaɪə(r)]	vt. 	要求；需要；想要；命令
		vi. 	要求，规定
advanced	 [ədˈvɑ:nst]	adj. 	先进的；高等的，高深的；年老的；晚期的
		v. 	前进(advance的过去式和过去分词)；增加；上涨
disgust	 [dɪsˈgʌst]	n. 	反感，厌恶，嫌恶
		vt. 	使反感，厌恶
Detective	 [dɪˈtektɪv]	adj. 	侦探的；适于探测的；用于探测的
		n. 	侦探
philosophy	 [fəˈlɒsəfi]	n. 	哲学；哲学体系，哲学思想；生活信条；哲理
waist	 [weɪst]	n. 	腰，腰部；（衣服的）腰身；船腰；（女人，小孩子的）背心
Indian	 [ˈɪndiən]	adj. 	印度的；印第安人的
		n. 	印度人；印第安人
momentary	 [ˈməʊməntri]	adj. 	短暂的；瞬间的；随时会发生的；时时刻刻的
mistake	 [mɪˈsteɪk]	n. 	错误，过失，误解；差错，口误，笔误；失策，失误
		vt.& vi. 	弄错，误解
		vt. 	认不出；误会；看错
		vi. 	弄错；误解
pound	 [paʊnd]	n. 	英镑；磅；兽栏；重击声
		vt.& vi. 	连续重击；咚咚地走
		vi. 	（持续地）苦干；（驾舟时）拍打（水面）；（心脏）狂跳；脚步沉重地走（或跑）
		vt. 	连续重击；捣碎，碾碎；强迫吸收；猛烈袭击
receipt	 [rɪˈsi:t]	n. 	收据，发票；收入
		vt. 	开收据；[美国英语]给…开收据，承认收到
male	 [meɪl]	adj. 	男性的；雄性的；有力的；[植]雄性的，仅有雄蕊的
		n. 	男；雄性动物；[植]雄性植物；马累[马律]
pearl	 [pɜ:l]	n. 	珍珠；珍品；人造珍珠；珠状物
		vi. 	采珍珠
		vt. 	使成珠状；用珍珠装饰
characteristics	 [ˌkærɪktə'rɪstɪk]	n. 	特性，特征，特色，[数]（对数的）首数( characteristic的名词复数 )；独特性；性质
lazy	 [ˈleɪzi]	adj. 	懒惰的；没精打采的；慢吞吞的
investigation	 [ɪnˌvestɪˈgeɪʃn]	n. 	（正式的）调查，研究；侦查；科学研究；学术研究
limb	 [lɪm]	n. 	肢，翼；大树枝；分支；枝干
		vt. 	割断…的四肢，肢解；砍树枝
self	 [self]	n. 	自己；本人；本性；私利
		adj. 	同一的；纯净的；单一的
		vt. 	使自花授精；使近亲繁殖
		vi. 	自花授精
grammatical	 [grəˈmætɪkl]	adj. 	语法上的，符合语法规则的
approval	 [əˈpru:vl]	n. 	同意；批准；赞成
beast	 [bi:st]	n. 	野兽；人面兽心的人；讨厌的人（或事物）；老顽固，坏蛋
estate	 [ɪˈsteɪt]	n. 	财产，遗产，房地产；个人财产；不动产权；（较高的）社会地位
		adj. 	（汽车）连箱的（拥有较长的车身和后门，后座后面有较大的空间）
monkey	 [ˈmʌŋki]	n. 	猴；猿；淘气鬼；小淘气
		vi. 	胡闹；捣蛋
		vt. 	嘲弄
elections		n. 	选举，当选，推举( election的名词复数 )
jewel	 [ˈdʒu:əl]	n. 	宝石，宝石饰物；受珍视的人[物]；宝贝，手表的宝石轴承
concept	 [ˈkɒnsept]	n. 	观念，概念；观点；思想，设想，想法；总的印象
extend	 [ɪkˈstend]	vt.& vi. 	延伸；扩大；推广
		vt. 	伸展；给予；延长；发出（邀请、欢迎等）
		vi. 	伸出；延伸；增加
persuasion	 [pəˈsweɪʒn]	n. 	劝说，说服（力）；信仰
treasury	 [ˈtreʒəri]	n. 	国库，金库；（政府的）财政部；宝库，宝藏；贮藏所，库房
obedience	 [ə'bi:dɪəns]	n. 	遵守；顺从；服从；（教会的）权威
conventional	 [kənˈvenʃənl]	adj. 	传统的；习用的，平常的；依照惯例的；约定的
proof	 [pru:f]	n. 	证明；校样；检验；（酒的）标准酒精度
		adj. 	防…的；抗…的；能抵御；能防范
		vt. 	给（织物）做防护处理，使防水（或防火等）；印…的校样
		vi. 	[印刷术] 校对；发酵
sock	 [sɒk]	n. 	短袜；（尤指用拳头）猛击，重击
		vt. 	重击；给…穿袜
gradually	 [ˈgrædʒuəli]	adv. 	逐步地，渐渐地；按部就班地；日趋；冉冉
protect	 [prəˈtekt]	vt. 	保护，保卫；贸易保护；备款以支付
vowel	 [ˈvaʊəl]	n. 	元音；母音
		adj. 	元音的；母音的
David	 ['deɪvɪd]	n. 	大卫
hammer	 [ˈhæmə(r)]	n. 	铁锤，榔头；链球；（拍卖时用的）木槌；音槌
		vt.& vi. 	锤打；反复敲打，连续击打（尤指发出大声）
		vt. 	击败；猛踢；猛击；轻易打败（对方）
team	 [ti:m]	n. 	队，组；团队；工作组；（野鸭等）群，同胎仔
		vi. 	协同工作；合作；把（牛马等）联套在车上
inn	 [ɪn]	n. 	小旅馆，客栈；小饭店，小酒馆
		vi. 	住旅馆
views	 [v'ju:z]	n. 	看( view的名词复数 )；[建筑学]视图；概观；视力
