bullet	 [ˈbʊlɪt]	n. 	子弹，弹药；弹丸；[印]着重号
profound	 [prəˈfaʊnd]	adj. 	深厚的；意义深远的；严重的；知识渊博的
		n. 	〈诗〉深海，大洋；深渊；（灵魂）深处
shopping	 [ˈʃɒpɪŋ]	n. 	购物，买东西；工作室，制作室；车间；家庭作坊
		vi. 	选购：为寻找商品或便宜货而逛商店；到处寻找：为得到某物而寻找它
		vt. 	逛（某一个商店）或（在某一个商店）买东西
publicly	 ['pʌblɪklɪ]	adv. 	公开地；由公众（或政府）；为公众所同意；以公众名义
combat	 [ˈkɒmbæt]	n. 	格斗，搏斗，战斗；〈美〉竞赛，比赛；论战
		vt. 	与…战斗；与…斗争；防止；减轻
reorganization	 [rɪˌɔ:ɡənaɪ'zeɪʃn]	n. 	改组；改编；重新制定；整顿
Victim	 [ˈvɪktɪm]	n. 	牺牲者，受害者；自找苦吃的人；受骗者，上当者；为祭祀杀死的动物（或人）
ours	 [ɑ:z]	pron. 	我们的
Al		abbr. 	aluminum 铝
		 	[男子名] 阿尔 Albert的昵称；[地名] 山、山脉（索马里语）
port	 [pɔ:t]	n. 	港口；（事情的）意义；（计算机与其他设备的）接口；（船、飞机等的）左舷
		vt. 	举枪；持枪；左转舵
		vi. 	转向左舷
		adj. 	左舷的，左侧的
		vt.& vi. 	转舵（向左），把（舵）转向左边
		adv. 	向左舷，向左
Surrounding	 [səˈraʊndɪŋ]	n. 	环境，周围的事物
		adj. 	周围的，附近的
		v. 	包围( surround的现在分词 )；与…紧密相关；围绕；喜欢结交（某类人）
flew	 [flu:]	v. 	飞( fly的过去式 )；飞行；（旗）飘荡；过得快
injury	 [ˈɪndʒəri]	n. 	伤害，损害；受伤处；伤害的行为
magnificent	 [mægˈnɪfɪsnt]	adj. 	壮丽的；伟大的，高尚的；华丽的，高贵的；瑰丽的
passes	 ['pa:sɪz]	v. 	走过( pass的第三人称单数 )；通过；批准；度过
Dan	 [dæn]	 	(=Danish)丹（男子名， Daniel 的昵称）
		 	[男子名] 丹 Daniel的昵称
pertinent	 [ˈpɜ:tɪnənt]	adj. 	有关的，相干的；恰当的，中肯的；关于…的；切题的
respond	 [rɪˈspɒnd]	vt.& vi. 	回答，响应
		vi. 	作出反应，响应；回报或回复
		n. 	[建]（柱，拱基等的）对称，壁联
rushed	 [rʌʃt]	adj. 	匆忙的，贸然的
		v. 	（使）急速行进，仓促完成( rush的过去式和过去分词 )；突袭；（使）仓促行事；催促
dynamic	 [daɪˈnæmɪk]	adj. 	动态的；动力的，动力学的；充满活力的，精力充沛的；不断变化的，充满变数的
		n. 	动态；动力，推动变化的力量；动力学；活力
publicity	 [pʌbˈlɪsəti]	n. 	公众信息；宣传效用；宣传；公诸于众的状况
festival	 [ˈfestɪvl]	n. 	节日；节期；贺宴，会演
		adj. 	节日的，喜庆的
suite	 [swi:t]	n. 	[计]（软件的）套件；（房间，器具等）一套，一副；[乐]组曲；随从
Delaware		n. 	（美国东部的）特拉华（州）
Greenwich		n. 	格林威治（位于英国伦敦东南部，为本初子午线所经之地，原设有英国皇家格林威治天文台），格林威治镇（位于美国康涅狄格州）
Clayton	 [ˈkleitn]	n. 	克莱顿(m.)
submarine	 [ˌsʌbməˈri:n]	n. 	潜艇；海底生物
		adj. 	水下的，海底的
		vt. 	用潜艇攻击
		vi. 	驾驶潜艇；划入底下
Fred	 [fred]	n. 	佛瑞德
Trustees		n. 	受托人( trustee的名词复数 )；信托公司；（公司、学院）理事；（慈善事业或其他机构的）受托人
literally	 [ˈlɪtərəli]	adv. 	逐字地；照字面地；确实地，真正地；[口语]差不多，简直（用于加强语意）
distributed	 [dɪs'trɪbju:tɪd]	adj. 	分布式的
		v. 	分配( distribute的过去式和过去分词)；散发；分销；[常用被动语态]将…分类(into)
Jefferson	 [ˈdʒefəsn]	 	杰斐逊（姓氏； Thomas, 1743-1826，美国政治家，第三任总统，独立宣言的起草人） 杰斐逊追随者
Newport		 	[人名] [英格兰人姓氏] 纽波特住所名称，来源于古英语，含义是“新+港”(new+harbour)；[地名] [爱尔兰、澳大利亚、加拿大、美国、牙买加、英国] 纽波特
enemies	 ['enəmɪz]	n. 	仇敌( enemy的名词复数 )；敌军；危害物；大敌
luxury	 [ˈlʌkʃəri]	n. 	奢侈，豪华；奢侈品，美食，美衣；乐趣，享受；不常有的乐趣（或享受、优势）
		adj. 	奢华的，豪华的
restrictions		n. 	约束( restriction的名词复数 )；管制；制约因素；带限制性的条件（或规则）
wings	 [wɪŋz]	n. 	飞行章，女童军戴的一种翼形章；翼( wing的名词复数 )；翅膀；派；飞行
reserved	 [rɪˈzɜ:vd]	adj. 	预订的；矜持的；储藏着的
		v. 	保留[储备]某物( reserve的过去式)
upward	 [ˈʌpwəd]	adj. 	向上的，上升的；升高的
		adv. 	向上地，上升地
ranch	 [rɑ:ntʃ]	n. 	大牧场，大农场；牧场工作人员
		vi. 	经营牧场；在牧场工作
		vt. 	经营牧场；在牧场饲养…
mirror	 [ˈmɪrə(r)]	n. 	镜子，反光镜；真实的写照；反映，借鉴；榜样
		vt. 	反映；反射
marriages		n. 	结婚( marriage的名词复数 )；婚姻状况；婚礼
utterly	 ['ʌtəli:]	adv. 	全然，完全地；彻底地，绝对的；十足地；十分
consisting		v. 	由…组成( consist的现在分词 )；包括；存在于；表现为（常与 in 连用）
fluid	 [ˈflu:ɪd]	n. 	液体，流体
		adj. 	流体的，流动的，流体的，液体的；易变的，不固定的；（动作、设计、音乐等）流畅优美的
scope	 [skəʊp]	n. 	（处理、研究事务的）范围；眼界，见识；（活动或能力的）余地；广袤，地域
		v. 	审视，仔细研究
seconds	 ['sekəndz]	n. 	助手( second的名词复数 )；第二名；秒；第二份食物
		v. 	支持( second的第三人称单数 )；临时调派；附议；赞成某提案
scholars	 [s'kɒləz]	n. 	奖学金获得者( scholar的名词复数 )；学者；聪颖勤奋的学生；文人学士
Chin		abbr. 	China 中国；Chinese 中国人；中文；中国的
Germans		n. 	德国人，德语( German的名词复数 )；[医]德国人；[人名] 杰曼斯
concepts	 ['kɒnsepts]	n. 	概念( concept的名词复数 )；观念；想法；总的印象
outdoor	 [ˈaʊtdɔ:(r)]	adj. 	户外的，露天的；喜欢户外活动的；（医院等）院外的；室外
occurs	 [ə'kɜ:z]	v. 	发生( occur的第三人称单数 )；被想起；被发现；（尤指基督教节日与别的节日）适逢同日
partisan	 [ˌpɑ:tɪˈzæn]	adj. 	党派性的；偏袒的；游击队的
		n. 	党羽，强硬支持者；游击队员；戟的一种
imagined		v. 	想( imagine的过去式和过去分词 )；想像；料想；误认为
supporting	 [səˈpɔ:tɪŋ]	adj. 	支持的，支撑的
		v. 	支持( support的现在分词 )；帮助；支撑；维持
conceived		v. 	想出( conceive的过去式和过去分词 )；构想；设想；怀孕
verbal	 [ˈvɜ:bl]	adj. 	词语的；言语的；口头的；动词的
observation	 [ˌɒbzəˈveɪʃn]	n. 	观察；观察力；评论；观察所得
roots		n. 	根( root的名词复数 )；根源；词根；（数学用语）方根
		v. 	（指植物）生根成长，种植（植物）( root的第三人称单数 )；翻寻；铲除；使（某事物）深深扎根
prevented		v. 	预防( prevent的过去式和过去分词 )；阻碍；阻止；[宗教]引领
theological	 [ˌθi:ə'lɒdʒɪkl]	adj. 	神学的，神学上的；研究神学的
minimal	 [ˈmɪnɪməl]	adj. 	最小的，极少的；极小的
		n. 	最简单派艺术作品
frozen	 [ˈfrəʊzn]	adj. 	冷冻的；冰封的；冻硬的；呆若木鸡的
		v. 	结冰（ freeze的过去分词）；冷藏；冻结；冻住
HOLDER	 [ˈhəʊldə(r)]	n. 	支持物；持有者；（支票等）持有人；支托（或握持）…之物
summary	 [ˈsʌməri]	n. 	摘要，概要；总结，一览
		adj. 	概括的，总结的；即刻的，立即的
laughing	 [ˈlɑ:fɪŋ]	adj. 	笑的；笑柄；走运；决不是开玩笑的事
		v. 	笑( laugh的现在分词 )；发笑；嘲笑；（特别表示因成功而）处于有利地位
traders		n. 	商人( trader的名词复数 )；经商者；商船；（证券交易中不为他人作代理而自行交易的）交易人
oral	 [ˈɔ:rəl]	adj. 	口头的，口述的；口服的；属于或关于嘴的；构成或使用言语的
		n. 	（尤指外语考试中的）口试
clinical	 [ˈklɪnɪkl]	adj. 	临床的；诊所的；冷静的；简陋的
slept	 [slept]	v. 	睡觉（ sleep的过去式和过去分词 ）
Julia		n. 	朱莉娅（女子名）
fiber	 ['faɪbə]	n. 	光纤；（织物的）质地；纤维，纤维物质
planet	 [ˈplænɪt]	n. 	[天]行星；[占星]（左右人命运的）星相
pursuant	 [pəˈsju:ənt]	adj. 	追踪的，依照的
hr		abbr. 	hour 小时；human resources 人力资源
intermediate	 [ˌɪntəˈmi:diət]	adj. 	中间的，中级的
		n. 	中间物，中间分子，中间人
		vi. 	调解：充当调解人，调解；干涉
pulmonary	 [ˈpʌlmənəri]	adj. 	肺的，肺部的；有肺[肺状器官]的，肺状的；患肺部疾病的，易患肺部疾病的；肺活量
Myra	 [ˈmairə]	n. 	迈拉（亦作 Mira）(f.)
Shayne		 	[人名] 谢恩
Cady		 	[人名] 卡迪
complement	 [ˈkɒmplɪment]	n. 	补充；补足语；补充物；补集（数）
		vt. 	补足，补充；补助
settlement	 [ˈsetlmənt]	n. 	解决；结算；金钱或财产的转让（契约）；沉淀；定居点
sessions		n. 	（尤指法庭、议会等）开庭( session的名词复数 )；（自发或俱乐部的）聚会；会期；（进行某活动连续的）一段时间
paying	 ['peɪɪŋ]	adj. 	支付的，有利的
		n. 	付，支付
		v. 	付给（ pay的现在分词 ）；付款；有利可图；（对…）有利
retirement	 [rɪˈtaɪəmənt]	n. 	退休，退职；引退，隐居；退隐处
mutual	 [ˈmju:tʃuəl]	adj. 	共有的；共同的；相互的；彼此的
climate	 [ˈklaɪmət]	n. 	气候；氛围；状况；局势
NATO	 ['neɪtəʊ]	abbr. 	the North Atlantic Treaty Organization北大西洋公约组织
establishing		v. 	建立( establish的现在分词 )；确定；[植物学]使（植物）定植；使成为
part-time	 [pɑ:t taɪm]	adj. 	兼职的；部分时间的
		adv. 	兼职地；用部分时间地
released	 [rɪ'li:st]	v. 	释放( release的过去式和过去分词 )；放开；发布；发行
Liberals		n. 	自由主义者( liberal的名词复数 )；宽容大度的人；支持（社会、政治或宗教）变革的人；（旧时）英国自由党成员
handled	 ['hændld]	adj. 	有把手的，有把柄的
		v. 	操作( handle的过去式和过去分词 )；容易╱难以)驾驶；操纵；行动
Sixth	 [sɪksθ]	pron. 	第六；第六感觉；特别感应；直觉
		n. 	（英国中学的最高年级）六年级；[乐]六度音程
treaty	 [ˈtri:ti]	n. 	条约；协议，协商；谈判
Mitchell		n. 	米切尔(Michael的异体)(m.)
unhappy	 [ʌnˈhæpi]	adj. 	不幸的，悲惨的；不快乐的；不恰当的；不凑巧的
desperate	 [ˈdespərət]	adj. 	绝望的；由绝望而引起的；铤而走险的，孤注一掷的；急切的，极度渴望的
pointing	 [ˈpɔɪntɪŋ]	n. 	弄尖，指示；勾缝；磨尖
Premier	 [ˈpremiə(r)]	n. 	总理；首相
		adj. 	第一的，首位的；首要的；最先的；最早的
promotion	 [prəˈməʊʃn]	n. 	促进，增进；提升，升级；（商品等的）推广；发扬
emphasize	 [ˈemfəsaɪz]	vt. 	强调，着重；加强语气；使突出
revenues	 ['revənju:z]	n. 	收入( revenue的名词复数 )；[复数]总收入；收入来源；税务局
bridges		n. 	桥( bridge的名词复数 )；桥牌；鼻梁；1 起联系作用的东西
		v. 	在…建桥( bridge的第三人称单数 )
mathematics	 [ˌmæθəˈmætɪks]	n. 	数学；〈诗〉同“ripen”；算学
threatening	 [ˈθretnɪŋ]	adj. 	胁迫的；险恶的；凶兆的；（天气等）要变坏的
		v. 	恐吓；威胁；预示（某事）(threaten的现在分词)
disaster	 [dɪˈzɑ:stə(r)]	n. 	灾难；彻底的失败；不幸；祸患
frames	 [freɪmz]	n. 	框架( frame的名词复数 )；眼镜框；组织；边框
contest	 [ˈkɒntest]	vt. 	竞争，为…而奋争；辩驳
		vi. 	争斗；竞争；争夺
		n. 	比赛；竞赛；搏斗
Billy		 	[男子名] 比利 William的昵称；[地名] [法国] 比伊
Bears	 [beəz]	n. 	熊( bear的名词复数 )；玩具熊；[美国俚语]1)。 警察；（在证券市场等）卖空的人
		v. 	需要( bear的第三人称单数 )；具有；推动；传达
quoted		v. 	引用，援引( quote的过去式和过去分词 )；报价；引述；为（股票、黄金或外汇）报价
entry	 [ˈentri]	n. 	进入，入场；入口处，门口；登记，记录；参加比赛的人
recalled		v. 	回忆起( recall的过去式和过去分词 )；使想起；使想到；勾起
concerts		n. 	音乐会；演唱会；（音）协奏曲(concert的复数)；合奏（曲）；音乐会( concert的名词复数 )
cellar	 [ˈselə(r)]	n. 	地下室，地窖；酒窖；（都市住宅的）地下煤窖；[机]油盒
		vt. 	把…藏入地窖（酒窖）
temperatures	 ['temprətʃəz]	n. 	温度( temperature的名词复数 )；气温；高烧；发烧
Eileen		n. 	艾琳（女子名）
		 	[女子名] 艾琳来源于希腊语，含义是“光明，光辉的人”(light,bright one)
Mount		 	[人名] [英格兰人姓氏] 芒特地貌名称，来源于拉丁语，含义是“山”(hill)；[地名] 山（英语）
register	 [ˈredʒɪstə(r)]	n. 	登记，注册；记录；登记簿；自动记录器
		vt. 	登记，注册；（仪表等）指示；表示，表达；（感情）流露
		vi. 	登记，注册；留下印象；完全符合；[印刷]对齐
gear	 [gɪə(r)]	n. 	齿轮；装置，工具；传动装置
		vi. 	接上；调和
		vt. 	使适应；装上齿轮；用齿轮连接
electricity	 [ɪˌlekˈtrɪsəti]	n. 	电力；电流，静电；高涨的情绪；紧张
meals	 [mi:lz]	n. 	餐( meal的名词复数 )；进餐时间；一餐所吃的食物；谷物粗粉（用作饲料或加工面粉）
planes	 [pleɪns]	n. 	位面；水平（ plane的名词复数 ）；平面；飞机；木工刨
supplement	 [ˈsʌplɪmənt]	vt. 	增补，补充
		n. 	增补，补充；补充物；增刊，副刊
stockholders		n. 	股票持有者，股东( stockholder的名词复数 )
landing	 [ˈlændɪŋ]	n. 	登陆，着陆；终点；登陆处；楼梯的过渡平台
		v. 	（使）登陆(land的现在分词)
instruction	 [ɪnˈstrʌkʃn]	n. 	授课；教诲；传授的或获得的知识，课程；[计算机科学]指令
invited	 [ɪn'vaɪtɪd]	v. 	邀请( invite的过去式和过去分词 )；请求；引诱；招致
exceptions	 [ɪk'sepʃənz]	n. 	例外( exception的名词复数 )；不包括在内的人（或物）；规则的例外；例外的事物
lively	 [ˈlaɪvli]	adj. 	充满活力的；活泼的；充满趣味的
		adv. 	轻快地：轻快地，富有活力地；轻快地跳起
instruments		n. 	器具( instrument的名词复数 )；工具；（尤指航空中用于操作的）仪器；乐器
delightful	 [dɪˈlaɪtfl]	adj. 	令人非常高兴的，讨人喜欢的；令人愉快的；宜人
preferred	 [prɪ'fəd]	adj. 	首选的
		v. 	提出（请求、控诉等）( prefer的过去式和过去分词 )；提升；建议；选择某事物（而不选择他事物）
Southerners		n. 	南方人，居住在南方的人( southerner的名词复数 )
legend	 [ˈledʒənd]	n. 	传说；传奇人物；铭文；图例
wars		n. 	战争( war的名词复数 )；战争期间；斗争；竞争
Coolidge	 [ˈku:lidʒ]	 	姓氏
peaceful	 [ˈpi:sfl]	adj. 	和平的；爱好和平的；安静的；平静的
trembling	 ['tremblɪŋ]	n. 	发抖
		adj. 	发抖的
		v. 	发抖( tremble的现在分词 )；焦虑；颤动；轻轻摇晃
attain	 [əˈteɪn]	vt.& vi. 	达到，获得；遂愿；经过努力到达某事物
		vt. 	达到，实现；获得；到达
		vi. 	达到；获得；到达
emerged		v. 	出现( emerge的过去式和过去分词 )；露头；形成；事实
disturbed	 [dɪˈstɜ:bd]	adj. 	被扰乱的；心理失常的；为心理失常者服务的
		v. 	干扰(disturb的过去分词)
Feeding	 [ˈfi:dɪŋ]	n. 	给食；喂；饲养；吃
		adj. 	给食的；饲用的；逐渐强烈的；供给饲料的
		v. 	喂养( feed的现在分词 )；满足（欲望等）；向…提供；供…作食物
philosophical	 [ˌfɪləˈsɒfɪkl]	adj. 	哲学上的，哲学（家）的；冷静的，沉着的；明达的；达观的
mysterious	 [mɪˈstɪəriəs]	adj. 	神秘的，诡秘的；难以理解的，不可思议的；魔；玄妙
Arlene		n. 	阿琳(f.)
		 	[女子名] 阿琳来源于凯尔特语，含义是“誓约”(pledge)
Sarah		n. 	莎拉
frightened	 [ˈfraɪtnd]	adj. 	害怕的；受惊的
		v. 	（使）惊恐( frighten的过去式和过去分词)；吓唬
switches	 [swɪtʃɪs]	n. 	转轨器，道岔；开关( switch的名词复数 )；改变；（铁路的）转辙器；（电路的）闸
		v. 	转变，改变( switch的第三人称单数 )；转换；挥动（棍棒、鞭子等）；迅速转动
Zen	 [zen]	n. 	禅，禅宗
Jew	 [dʒu:]	n. 	犹太人；犹太教徒；守财奴
		vt. 	欺骗；杀价
impulse	 [ˈɪmpʌls]	n. 	凭冲动行事；突如其来的念头；[电子]脉冲；[医]冲动，搏动
		adj. 	冲动的
		v. 	推动
ft		abbr. 	foot[feet] 英尺；金融时报(Financial Times)；飞行试验(Flight Test)
staring	 ['steərɪŋ]	adj. 	目不转睛的；凝视的；显眼的；（毛发）竖立的
		v. 	凝视，瞪视( stare的现在分词 )
Cavalry	 [ˈkævlri]	n. 	骑兵（队）；骑兵部队，装甲部队；骑者
Palfrey		 	[人名] [英格兰人姓氏] 波尔弗里职业名称，提供骑用马者，来源于中世纪英语，含义是“骑用马”(saddlehorse)
variables	 ['veərɪəblz]	n. 	可变因素，变数( variable的名词复数 )
Patchen		 	[人名] 帕琴
pursue	 [pəˈsju:]	vt. 	继续；追求；进行；追捕
		vi. 	追，追赶；继续进行
snakes		n. 	蛇( snake的名词复数 )；奸险的人；卑劣的人；蛇形浮动汇率制
Johnnie		 	[男子名] 约翰尼 John的昵称
Urethane	 ['jʊrəθeɪn]	n. 	氨基甲酸乙酯，尿烷； 聚氨酯
gyro	 ['dʒaɪrəʊ]	n. 	陀螺仪，回转仪
Greg		n. 	格雷格(Gregory的昵称)(m.)
departments	 [dɪ'pɑ:tmənts]	n. 	部( department的名词复数 )；（任何事物的）部分；（企业单位负责特定活动的、零售商店中专售某类商品的）部门；（学校、学术机构等的）系
August	 [ˈɔ:gəst]	adj. 	尊严的，威严的，令人敬畏的；威风凛凛的；堂堂的，雄赳赳的
		n. 	八月（简写为Aug）；奥古斯特
allowances		n. 	津贴( allowance的名词复数 )；补助；1 限额；定量 2 免税额
constitutional	 [ˌkɒnstɪˈtju:ʃənl]	adj. 	宪法的，符合宪法的；本质的；体质上的；保健的
		n. 	保健运动；保健散步
corporations	 [kɔ:pə'reɪʃnz]	n. 	法人( corporation的名词复数 )；（政治、经济的）组合；市政委员会
Houston	 [ˈhju:stən]	n. 	休斯顿
Owen	 [ˈəuin]	n. 	欧文(m.)
tangible	 [ˈtændʒəbl]	adj. 	可触知的；确实的，真实的；实际的；[法]有形的
		n. 	有形资产；可触知的或具体的某事物
racial	 [ˈreɪʃl]	adj. 	种族的；人种的；存在或发生于种族之间的
respective	 [rɪˈspektɪv]	adj. 	各自的，分别的
viewed	 [vju:d]	vt. 	看（view的过去式与过去分词形式）
ward	 [wɔ:d]	n. 	病房，病室；监视，监督；保卫；[法]受监护人
		vt. 	监护，守护；挡住，架住；避开；收容
Nixon	 [ˈniksn]	n. 	尼克松（美国第37任总统(1969-1974）)
intervals	 ['ɪntevl]	n. 	[军事]间隔( interval的名词复数 )；间隔时间；[数学]区间；（戏剧、电影或音乐会的）幕间休息
bearing	 [ˈbeərɪŋ]	n. 	[机]轴承，支座；关系；方位；态度，举止
		v. 	忍受(bear的ing形式)
cocktail	 [ˈkɒkteɪl]	n. 	鸡尾酒；餐前开胃菜；混合物
		adj. 	鸡尾酒的；（女服）在半正式场合穿的
Jersey	 [ˈdʒɜ:zi]	n. 	泽西种乳牛
succession	 [səkˈseʃn]	n. 	继承人，继承权；继承顺序；[生]自然演替；一系列，接连
accused	 [əˈkju:zd]	n. 	被告
		v. 	指责(accuse的过去式和过去分词)；控告
		adj. 	被控告的
parade	 [pəˈreɪd]	v. 	游行；展览；招摇过市；接受检阅
		n. 	检阅；游行；一系列；炫耀
dilemma	 [dɪˈlemə]	n. 	窘境，困境；进退两难
ethics	 ['eθɪks]	n. 	伦理学；道德规范；伦理学著作；道德规范( ethic的名词复数 )；道德体系；行为准则；伦理学
prospect	 [ˈprɒspekt]	n. 	前景；期望；眺望处；景象
		vi. 	勘探；勘察；（矿等）有希望；有前途
		vt. 	找矿；对…进行仔细调查
Eugene	 [ju:'dʒi:n]	n. 	尤金，男子名
torn	 [tɔ:n]	v. 	撕( tear的过去分词)；扯裂；破损
inspired	 [ɪnˈspaɪəd]	adj. 	有创造力的；品质优秀的；有雄心壮志的；（与名词、形容词以及副词构成形容词）受…影响的
		v. 	鼓舞( inspire的过去式和过去分词 )；激励；赋予某人灵感；启迪
Stadium	 [ˈsteɪdiəm]	n. 	运动场；体育场；[医]（疾病的第…）期
corporate	 [ˈkɔ:pərət]	adj. 	法人的，团体的，社团的；公司的，总体国家的；〈古〉团结的；共同的，全体的
Nick		 	尼克（男子名， Nicholas 的昵称）
		 	[男子名] 尼克 Nicholas,Nicodemus等的昵称
productive	 [prəˈdʌktɪv]	adj. 	富有成效的；多产的；生产性的；具有创造性的
aboard	 [əˈbɔ:d]	prep. 	在（船、飞机、车）上，上（船、飞机、车）；上车
		adv. 	在船（或飞机、车）上，上船（或飞机、车）；靠船边；在船上；在火车上
conductor	 [kənˈdʌktə(r)]	n. 	导体；售票员；（乐队）指挥；导管（套管的一种）
Wally		 	[男子名] 沃利 Walter的昵称
Pittsburgh	 [ˈpitsbə:ɡ]	n. 	匹兹堡（美国宾西法尼亚州西南部城市，是美国的钢铁工业中心）
Amateur	 [ˈæmətə(r)]	n. 	业余爱好者；外行，生手
		adj. 	业余的，非职业的；外行的
breaking	 ['breɪkɪŋ]	n. 	破坏，阻断
		v. 	打破，折断，弄坏( break的现在分词 )；（使）破；打破（纪录）；（常指好天气）突变
label	 [ˈleɪbl]	n. 	标签；称标记，符号；[建] 门或窗户上面的线脚
		vt. 	贴标签于；把…称为；把…列为；[化]用放射性元素使（元素或原子等）示踪
Cancer	 [ˈkænsə(r)]	n. 	巨蟹座；[天]巨蟹宫；[人名] 坎瑟
shelters		n. 	居所( shelter的名词复数 )；避难所；（无家可归者或受虐待者的）收容所；遮蔽
pressing	 [ˈpresɪŋ]	adj. 	紧迫的，紧急的；迫切的，急迫的；恳切的
		n. 	压，压制；模压制品；力主；唱片
		v. 	压，压迫(press的现在分词)
exhibit	 [ɪgˈzɪbɪt]	vt. 	陈列，展览；呈现；证明；[法]提交证据
		vi. 	公开展览某物；展出
		n. 	展览，陈列；展览品；公开展示；[法]证据
suits		n. 	一套衣服( suit的名词复数 )；诉讼案件；（从事特定活动时穿的）成套服装；（扑克牌中）所有同花色的牌
		v. 	适合于（某人）( suit的第三人称单数 )；尤指服装、颜色等相配；合身；适宜
partially	 [ˈpɑ:ʃəli]	adv. 	部分地；偏袒地，偏爱地；一部分
Blanche		n. 	布兰奇(f.)
patrol	 [pəˈtrəʊl]	n. 	巡逻，巡查；巡逻队，侦察队；童子军小队
		vt.& vi. 	巡逻，巡查
evidently	 [ˈevɪdəntli]	adv. 	明显地，显而易见；明显地，清楚地；错不了，毫无疑问
Northwest		abbr. 	northwestern United States (Washington, Oregon, Idaho, and Montana) 美国西北部（华盛顿州，俄勒冈州，爱达荷州和蒙大纳州）
Tim		n. 	(=Timothy)提姆（男子名）
demonstration	 [ˌdemənˈstreɪʃn]	n. 	游行示威；示范；证明；表露
hired	 [haɪrd]	v. 	聘用( hire的过去式和过去分词 )；录用；雇用；租用
drivers	 [d'raɪvəz]	n. 	驱动程序( driver的名词复数 )；驾驶员；驱赶动物或人的人；（高尔夫球 ）球棒
trading	 [ˈtreɪdɪŋ]	n. 	贸易；买卖；交易；股票交易
		adj. 	贸易的，交易的
		v. 	交易，经商( trade的现在分词 )；交换；经营…交易，做…的买卖
dealer	 [ˈdi:lə(r)]	n. 	商人；发牌人，庄家；以某种方式待人的人；经销商
coverage	 [ˈkʌvərɪdʒ]	n. 	范围，规模；保险项目；〈美〉（新闻）报导；[植]优势度
vivid	 [ˈvɪvɪd]	adj. 	生动的；（记忆、描述等）清晰的；（人的想像）丰富的；（光、颜色等）鲜艳的，耀眼的
woods	 [wʊdz]	n. 	森林；木( wood的名词复数 )；（保龄球戏的）木瓶；树林；木头球棒（旧时通常有木制顶部的高尔夫球棒）
flexible	 [ˈfleksəbl]	adj. 	灵活的；易弯曲的；柔韧的；易被说服的
PULLING	 ['pʊlɪŋ]	n. 	拉；牵引；拔；拖
		v. 	拉( pull的现在分词 )；扯；拉过来；划（船）
correspondence	 [ˌkɒrəˈspɒndəns]	n. 	一致，符合；对应；通信，信件；[艺]通感
Carolina	 [ˌkærə'laɪnə]	n. 	卡罗莱纳州，（美国）
conferences	 ['kanfərəns]	n. 	会议( conference的名词复数 )；讨论；（正式）讨论会；[工会、工党用语]（每年的）大会
