longer	 [ˈlɒŋgə(r)]	adj. 	比较久的；（距离，长度）长的( long的比较级 )；长时间的；（因忙或不愉快等）似乎比实际时间长的；长音的
		adj. 	一百的；许多的
step	 [step]	n. 	步，脚步；步骤，手段；步调；级别
		vt.& vi. 	举步，行走；踩，踏上；跨入；轻快地走
		vi. 	踏，踩；走
		vt. 	跳舞；迈步；使成阶梯状
paper	 [ˈpeɪpə(r)]	n. 	纸；文件；论文；文章
		vt.& vi. 	贴纸
		vt. 	包装，用纸覆盖；贴壁纸；提供纸张；[俚语] 提供免费入场券
		vi. 	贴糊墙纸；发交通违章传票
		adj. 	纸制的；似纸的；有名无实的
developed	 [dɪˈveləpt]	adj. 	先进的；发达的（国家或地区）
tried	 [traɪd]	adj. 	可靠地；经过考验的
		v. 	试图，努力( try的过去式和过去分词)；考验；磨炼；审讯
simply	 [ˈsɪmpli]	adv. 	简单地，朴素地；（引出概括或解释）不过，仅仅；简直；实在
story	 [ˈstɔ:ri]	n. 	故事，传说；历史，沿革；内情；传记
		vt. 	用历史故事画装饰；讲…的故事；把…作为故事讲述
		vi. 	说谎
committee	 [kəˈmɪti]	n. 	委员会
inside	 [ˌɪnˈsaɪd]	adj. 	里面的，内部的；内幕的；内侧的
		n. 	里面，内侧；内脏；内容，内幕；（道路或跑道拐弯处的）内侧
		adv. 	在内地，在内部地；在内侧地；在监狱里
		prep. 	在…以内；在内侧或内部；进入里面
reached		v. 	到达( reach的过去式和过去分词 )；联络；伸出手臂，延伸
easy	 [ˈi:zi]	adj. 	容易的；舒适的；宽裕的；从容的
		adv. 	容易地；不费力地；悠闲地；缓慢地
		vi. 	停止划桨（常用作命令）
		vt. 	向（水手或划手）发出停划命令
appear	 [əˈpɪə(r)]	vi. 	出现，显现；出庭，出场；演出；发表
include	 [ɪnˈklu:d]	vt. 	包括；包含；计入；包住
accord	 [əˈkɔ:d]	n. 	协议；条约；（色彩的）协调；和解协议
		vt. 	给予；使和谐一致；使符合；使适合
		vi. 	符合；一致
Actually	 [ˈæktʃuəli]	adv. 	实际上；事实上；确实；竟
remember	 [rɪˈmembə(r)]	vt.& vi. 	记得；牢记
		vt. 	记着；纪念；回想起；送钱[礼物]给…
beyond	 [bɪˈjɒnd]	prep. 	超过；越过；那一边；在…较远的一边
		adv. 	在远处；在更远处
		n. 	远处
dead	 [ded]	adj. 	死去的；完全的；无感觉的；呆板的
		adv. 	完全地；非常；绝对；极度
		n. 	死者；（死一样的）寂静；极寒时候
shown	 [ʃəʊn]	v. 	给…看( show的过去分词 )；表现出；显露出；上演
fine	 [faɪn]	adj. 	好的，上等的；纤细的，精致的；健康的；晴朗的
		n. 	罚款；[音乐]终止；晴天；地租
		vt. 	罚款；澄清
		adv. 	很好地；巧妙地
religious	 [rɪˈlɪdʒəs]	adj. 	虔诚的；笃信宗教的；宗教的；谨慎的
		n. 	修士，修女，出家人
continue	 [kənˈtɪnju:]	vi. 	持续；逗留；维持原状
		vt. 	延期；使延伸；使持续；继续说
ten	 [ten]	num. 	十，十个；第十
		n. 	十个人；十点钟；十岁；十元纸币
defense	 [dɪ'fens]	n. 	(D-)（美国）国防部，防卫，防卫物
		vt. 	谋划抵御
getting	 [ˈgetɪŋ]	n. 	获得（物），利益
		v. 	得到( get的现在分词 )；抓住；说服；受到（惩罚等）
Central		 	[地名] [美国] 森特勒尔；[地名] [智利] 森特拉尔
beginning	 [bɪˈgɪnɪŋ]	n. 	开始；根源；原始思想；前兆
		v. 	开始( begin的现在分词)
instead	 [ɪnˈsted]	adv. 	代替，顶替；反而；反倒
river	 [ˈrɪvə(r)]	n. 	河，江；溪，巨流
received	 [rɪˈsi:vd]	adj. 	被一般承认的，被认为标准的
		v. 	收到( receive的过去式和过去分词 )；接到；接纳；接待
doing	 [ˈdu:ɪŋ]	n. 	做；不能接受；难以完成；事件
		v. 	做( do的现在分词 )；干；学习；研究
employ	 [ɪmˈplɔɪ]	vt. 	雇用；使用，利用
		n. 	受雇；服务；工作
trade	 [treɪd]	n. 	贸易；行业；顾客；买卖
		vt.& vi. 	交易，经商
		vt. 	交换；经营…交易，做…的买卖
		vi. 	贸易；买卖；以物易物
terms	 [tɜ:mz]	n. 	条件；表达方式；措辞；说法；任期( term的名词复数 )；（学校的）学期；[复数]（合同、付款、价格等的）条件；时期
trying	 [ˈtraɪɪŋ]	adj. 	令人难于忍受的；难堪的；令人厌烦的
		v. 	试图( try的现在分词)；试验，尝试；审讯
friends		n. 	朋友( friend的名词复数 )；资助者；同胞；指做傻事或烦人的事而说话者不认识的人
sort	 [sɔ:t]	n. 	分类，类别；品质，本性；方法；一群
		vt.& vi. 	分类；整顿，整理；适合
		vt. 	挑选；把…分类；将…排顺序
		vi. 	分类；交往；协调
administration	 [ədˌmɪnɪˈstreɪʃn]	n. 	管理；实行；（政府）行政机关；（法律、处罚等的）施行
higher	 [ˈhaɪə(r)]	adj. 	高高的；高级的；上级的；高等的；高的( high的比较级 )；高尚的；高地的；高级的
cent	 [sent]	n. 	分；一分钱的硬币；零钱；（作单位的）百
expect	 [ɪkˈspekt]	vt. 	期望；预料；要求；认为（某事）会发生
		vi. 	预期；期待；怀胎；怀孕
food	 [fu:d]	n. 	食物，食品；粮食；养料；资料
building	 [ˈbɪldɪŋ]	n. 	建筑物；楼房；房屋；建筑（艺术或行业）
		v. 	build的现在分词
religion	 [rɪˈlɪdʒən]	n. 	宗教；支配自己生活的大事；教派；心爱的事物
meeting	 [ˈmi:tɪŋ]	n. 	会议；聚会；汇合点；运动会
		v. 	相遇( meet的现在分词)；相识；开会；接触（某物）
ready	 [ˈredi]	adj. 	准备好的，现成的；即时的，敏捷的；情愿的；即将的
		vt. 	做好…的准备
		adv. 	预先；已完成地
		n. 	现款
walked		v. 	走，步行，散步( walk的过去式和过去分词 )；（鬼魂）出现；陪伴…走；徒步旅行
follow	 [ˈfɒləʊ]	vt.& vi. 	跟随，接着
		vt. 	继承；（按时间、顺序等）接着；从事；采用
		vi. 	理解；发生兴趣；由此产生；跟着人（或物）去（或来）
		n. 	追随，跟随；[台球]推球，跟球打法（使竿击的球在击中目的球后继续滚动的打法）
earth	 [ɜ:θ]	n. 	地球；陆地；泥土；兽穴
		vt. 	把（电线）接地；盖（土）；追赶入洞穴
		vi. 	躲进地洞
speak	 [spi:k]	vt.& vi. 	讲，谈；演说；从某种观点来说
passed	 [pɑ:st]	adj. 	已经通过的；已经过去的；考试及格的；（指红利）未及时发放的
		v. 	走过( pass的过去式和过去分词 )；通过；批准；度过
foreign	 [ˈfɒrən]	adj. 	外国的，外交的；外来的；不相干的；[医]异质的
NATURAL	 [ˈnætʃrəl]	adj. 	自然的；物质的；天生的；不做作的
		n. 	自然的事情；（生来的）白痴；[乐]（风琴等的）白键
medical	 [ˈmedɪkl]	adj. 	医学的；医药的；医疗的；内科的
		n. 	体格检查
training	 [ˈtreɪnɪŋ]	n. 	训练；培养；（枪炮，摄影机等的）瞄准；整枝法
		v. 	训练，培养( train的现在分词)；教育；瞄准；整枝
County		 	[地名] 县（美）、郡（英）（英语）
list	 [lɪst]	n. 	清单，目录；倾斜；布边，布头；狭条
		vt. 	列出，列入；把…编列成表；记入名单内
		vi. 	列于表上
floor	 [flɔ:(r)]	n. 	地面，地板；楼层；底部；议员席
		vt. 	铺地板；击败，打倒
piece	 [pi:s]	n. 	块，片，段；部分，部件；文章，音乐作品
		vt. 	修补；连接，接上
especially	 [ɪˈspeʃəli]	adv. 	尤其地；主要地，格外地；显著地；异常地
indeed	 [ɪnˈdi:d]	adv. 	的确，确实，实在；实际上，真正地；真的，真是；甚至
stop	 [stɒp]	vi. 	停止；中断；逗留；（使）停止工作
		vt. 	塞住；堵塞；阻挠；止付
		n. 	停止；（管风琴的）音栓；停车站；（管风琴的）音管
England	 ['ɪŋɡlənd]	n. 	英格兰；英国
difficult	 [ˈdɪfɪkəlt]	adj. 	困难的；难做的；难解的；不易相处的
likely	 [ˈlaɪkli]	adj. 	可能的；适合的；有希望的
		adv. 	可能；或许；大概；多半
Suddenly	 [ˈsʌdənli]	adv. 	意外地，忽然地；奄；勃；霍然
moral	 [ˈmɒrəl]	adj. 	道德的，道义上的；精神上的；无疑的，当然的；教导道德的
		n. 	寓意，教训；（尤指男女间的）品行；格言；〈古〉相对者
plant	 [plɑ:nt]	n. 	植物，草木；设备；工厂；庄稼
		vt. 	种植；安，插；建设，布置；移民于
bad	 [bæd]	adj. 	坏的，不好的；严重的；不舒服的；低劣的，有害的
		n. 	坏人，坏事
		adv. 	不好地，非常地
club	 [klʌb]	n. 	俱乐部，会所；社团；夜总会；（纸牌的）梅花
		vt. 	联合；募集；用棍棒打；[棒球]击球
		vi. 	组成俱乐部；共同出资
		adj. 	俱乐部的
needs	 [ni:dz]	adv. 	（现与must前后连用）必须，一定，务必
		v. 	需要，必须( need的第三人称单数 )；（表示应该或不得不做）有必要
international	 [ˌɪntəˈnæʃnəl]	adj. 	国际的；两国（或以上）国家的；超越国界的；国际关系的
		n. 	国际组织；国际体育比赛；外国居留者；国际股票
working	 [ˈwɜ:kɪŋ]	adj. 	（涉及）工作的；（人）有工作的；（时间）用于工作上的；（想法等）可作为基础的
		v. 	（使）工作( work的现在分词)；（使）运作；运转；（使）产生效果
		n. 	工作；活动；制作；操纵
countries	 ['kʌntrɪz]	n. 	国家( country的名词复数 )；国土；郊外；地区
develop	 [dɪˈveləp]	vi. 	发展；生长；形成；发达 
		vt. 	发展；开发；研制；冲洗（胶片）
drive	 [draɪv]	v. 	驾驶；开车；驱动；迫使
		n. 	驱车旅行；驱动力；车道；驱动器
reach	 [ri:tʃ]	v. 	到达，走到；够…，抓…；完成
		n. 	手脚能够到的范围；范围，区域；影响的范围，管辖的范围
police	 [pəˈli:s]	n. 	警察部门；警方；警察；治安
		vt. 	（警察、军队等）巡查；维护治安；（委员会等）监督；管制
		adj. 	警察的；有关警察的
sat	 [sæt]	v. 	坐(sit的过去式，过去分词)
		n. 	SAT美国学术能力评估测验
charge	 [tʃɑ:dʒ]	vt. 	装载；控诉；使充电；索（价）
		vi. 	索价；向前冲；记在账上；充电
		n. 	费用；指示；掌管；指责
farm	 [fɑ:m]	n. 	农场，农庄；农家；畜牧场；农田
		vt. 	耕种；养殖；承包，包出；佃出（土地）
		vi. 	经营农场
fear	 [fɪə(r)]	n. 	害怕；可能性；（对神等的）敬畏；忧虑
		vt. 	畏惧；害怕；为…忧虑（或担心、焦虑）；敬畏（神等）
		vi. 	害怕；忧虑；感到害怕；惧怕
test	 [test]	n. 	试验；考验；测验；化验
		vt. 	测验；考查；考验；勘探
		vi. 	受试验；受测验；受考验；测得结果
determine	 [dɪˈtɜ:mɪn]	vt.& vi. 	（使）下决心，（使）做出决定
		vt. 	决定，确定；判定，判决；使决定；限定
		vi. 	[主用于法律]了结，终止，结束
hair	 [heə(r)]	n. 	头发，毛发；（动、植物的）毛；一丝丝，些微；毛发织物
results	 [riˈzʌlts]	n. 	后果，结果（ result的名词复数 ）；成绩（包括比分、得票、获胜者或当选者名单等）；成功实现的事
		v. 	发生（ result的第三人称单数 ）；导致；随着发生；结果发生
stock	 [stɒk]	n. 	股份，股票；库存；树干；家畜
		adj. 	常备的，存货的；陈旧的
		vt. 	提供货物；备有
		vi. 	出新芽；囤积
trouble	 [ˈtrʌbl]	n. 	麻烦；烦恼；故障；动乱
		vi. 	费心；烦恼
		vt. 	麻烦；使烦恼；折磨
happened	 ['hæpənd]	v. 	发生（ happen的过去式和过去分词 ）；出现；碰巧
growth	 [grəʊθ]	n. 	生长；增长；一茬植株；肿块，肿瘤
square	 [skweə(r)]	n. 	正方形；广场；平方；方格
		adj. 	成直角的；平方的；（尤指在生意上）公平的；正方形的
		adv. 	四四方方地；成直角地；正直地；坚定地
		vt. 	使成正方形；使成直角；检测…的角度；调整，改正
		vi. 	一致；成方形
William	 [ˈwɪljəm]	n. 	威廉（男子名，涵义：强而有力的战士）
		 	[男子名] [英格兰人姓氏] 威廉来源于古法语人名的诺曼底形式+日耳曼语，含义是“意愿+头盔，保护”(will,desire+helmet,protection) 昵称Bill,Billie,Billy,Will,Willie
cases	 [keɪsɪs]	n. 	案例；病例( case的名词复数 )；（需特别对待或注意的）人；事例；容器
effective	 [ɪˈfektɪv]	adj. 	有效的；起作用的；实际的，实在的；给人深刻印象
		n. 	[军]现役兵额，有生力量，精兵
serve	 [sɜ:v]	vt.& vi. 	（为…）服务；任（职）；提供；端上
		vt. 	招待；（为…）工作；对…有用；向…供应
		vi. 	适合；服役；供职；[网球、羽毛球]发球
		n. 	网球等发球；发球权；所发的球
miss	 [mɪs]	n. 	（用于姓名或姓之前，对未婚女子的称呼）小姐；女士；失误
		v. 	漏掉；错过（机会）；思念；没遇到
involved	 [ɪnˈvɒlvd]	adj. 	复杂难懂的；与他人有密切关系的；受牵扯的；作为一部份参与的
		v. 	表明（某人参与了罪行等）(involve的过去式和过去分词)；使参与；牵涉；使专心于
doctor	 [ˈdɒktə(r)]	n. 	医生，大夫；博士；神学家；医疗设备
		vt.& vi. 	医疗，行医
		vt. 	修理，装配；假造；搀杂；修改，修饰
earlier	 ['ɜ:lɪə]	adj. 	早期的，初期的
		adv. 	早期（地），初期（地）
increased	 [ɪn'kri:st]	adj. 	增加的，增强的
		v. 	增加，增大，增多( increase的过去式和过去分词 )；增强，增进；[缝纫]放（针）；增强
being	 [ˈbi:ɪŋ]	n. 	存在；生物；人；要素，本质
blue	 [blu:]	n. 	蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌）
		adj. 	蓝色的；沮丧的，忧郁的；下流的
		vt. 	把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于
		vi. 	变成蓝色，呈蓝色
hall	 [hɔ:l]	n. 	过道，走廊；大厅，前厅；娱乐中心，会所
particularly	 [pəˈtɪkjələli]	adv. 	特别；尤其；异乎寻常地
boys		n. 	男孩( boy的名词复数 )；儿子；一帮男伙伴；（对本国士兵的昵称）兵哥哥们
paid	 [peɪd]	adj. 	有报酬的；领取报酬的；领钱的；付费的
		v. 	付给( pay的过去式)；付款；有利可图；（对…）有利
sent	 [sent]	v. 	送( send的过去式和过去分词 )；使作出（某种反应）；派遣；使进入（某状态）
production	 [prəˈdʌkʃn]	n. 	生产，制作；产品；产量；夸张的行动或形象，小题大做
district	 [ˈdɪstrɪkt]	n. 	地区；教区；〈美〉（各州众议员）选举区；行政区，市区
		vt. 	把…分区
using		v. 	使用（ use的现在分词 ）；利用；耗费；吸（毒）
		n. 	使用；利用；用途；使用权
thinking	 [ˈθɪŋkɪŋ]	n. 	思考；想法，思想；意见；见解
		adj. 	有思想的；有理性的
		v. 	“think”的现在分词
concern	 [kənˈsɜ:n]	vt. 	涉及，关系到；使关心，使担忧；参与
		n. 	关心；关系，有关；顾虑；公司或企业
Christian	 [ˈkrɪstʃən]	n. 	基督教徒，信徒；克里斯琴；人类，文明人，正派人；[电影]克里斯蒂安
		adj. 	信基督教的，基督教的，基督教徒的；人（类）的，文明的，正派的，高尚的
press	 [pres]	vt. 	压，按；逼迫；紧抱
		vi. 	压；逼迫；重压
		n. 	强迫征兵；新闻报道，出版物；压榨；印刷机（厂）
girls	 ['ɡɜ:lz]	n. 	女儿( girl的名词复数 )；女孩；女工；（男人的）女朋友
wide	 [waɪd]	adj. 	宽的；普遍的；广阔的；张大的，开得很大的
		adv. 	广泛地；充分地；广阔地
		n. 	广大的世界；[板]歪球
usual	 [ˈju:ʒuəl]	adj. 	通常的，常有的，常见的；平常的，普通的；平时的，平日的；一向的，老是那一套的
direction	 [dəˈrekʃn]	n. 	方向；趋势；方面；用法说明
feed	 [fi:d]	vt. 	喂养；满足（欲望等）；向…提供；供…作食物
		vi. 	吃，以…为食；流入，注入，进入（如油流入机器）；[电子学]馈入
		n. 	饲料（尤指粗饲料），施肥；喂送；草料；（尤指向地方性电视台）馈送电视节目
trial	 [ˈtraɪəl]	n. 	试验；[法]审讯，审判；磨难，困难；[体]选拔赛
		adj. 	试验的；[法]审讯的
walk	 [wɔ:k]	vt.& vi. 	走；步行；散步
		n. 	步行；步态；人行道；步行的路径
		vi. 	行走；陪伴…走；徒步旅行；不翼而飞
		vt. 	牵着（动物）走，遛，赶着…走
begin	 [bɪˈgɪn]	vt.& vi. 	开始；着手；创始；创办
		vi. 	（从…）开始；起始；起初是；开始讲话
weeks		n. 	一星期，周( week的名词复数 )；工作周（一个星期中的工作时间）
points	 ['pɔɪnts]	n. 	（铁道的）道岔，转辙器；点( point的名词复数 )；要点；特点；重点
respect	 [rɪˈspekt]	vt. 	尊重；尊敬；关心；遵守
		n. 	尊重，恭敬；敬意；某方面
certainly	 [ˈsɜ:tnli]	adv. 	无疑；当然；确定；肯定
ideas		 	总念
industrial	 [ɪnˈdʌstriəl]	adj. 	工业的，产业的；从事工业的；供工业用的；来自勤劳的
		n. 	工业股票；工业工人
