Wilson	 ['wɪlsn]	n. 	威尔逊(m.) chamber [核]威尔逊云室
weapons	 ['wepənz]	n. 	武器，兵器( weapon的名词复数 )；自卫[克敌制胜]的手段[行动]；刀枪；兵戎
jaw	 [dʒɔ:]	n. 	下巴；颌；唠叨；狭窄入口
		vi. 	闲谈；唠唠叨叨，喋喋不休；教训
Greek	 [gri:k]	n. 	希腊人；希腊语；难懂的事
		adj. 	希腊的，希腊人的；希腊语的
childhood	 [ˈtʃaɪldhʊd]	n. 	童年，儿童时代；早期
pronounce	 [prəˈnaʊns]	vt.& vi. 	发音，读
		vt. 	宣布，宣称；演讲，讲述
		vi. 	宣判
curve	 [kɜ:v]	n. 	弧线，曲线；曲线状物；弯曲物；[棒]曲线板
		vt. 	使弯曲；使成曲线；使成弧形
		vi. 	弯曲；弯成曲线，弯成弧形；沿曲线行进
		adj. 	弯曲的；曲线形的
discover	 [dɪˈskʌvə(r)]	vt. 	发现；碰见；撞见；获得知识
research	 [rɪˈsɜ:tʃ]	n. 	研究，追究；探讨，探测；调查；探索
		vi. 	做研究；探究；（从市场调研中）得出所预测的结果
		vt. 	从事…的研究，为…而做研究
feelings	 ['fi:lɪŋs]	n. 	感情；情绪；心情；情感；感觉( feeling的名词复数 )；感情；同情；知觉
profession	 [prəˈfeʃn]	n. 	职业，专业；同行；宣称；信念，信仰
organizations	 [ˌɔ:ɡənaɪ'zeɪʃnz]	n. 	组织( organization的名词复数 )；组织性；组织工作；安排
outline	 [ˈaʊtlaɪn]	n. 	梗概，大纲，提纲，草稿，要点，主要原则；外形，轮廓，轮廓线，轮廓画法，略图（画法）
		vt. 	概述；略述；画轮廓，打草图，描略图
organ	 [ˈɔ:gən]	n. 	机构；器官；风琴；元件
caution	 [ˈkɔ:ʃn]	n. 	小心；警告；〈英〉担保；〈口〉须警惕的事或人
		vt. 	警告；提醒
Friday	 [ˈfraɪdeɪ]	n. 	星期五，周五，礼拜五；《鲁滨逊漂流记》中鲁滨逊的仆人；[人名] [英格兰人姓氏] 弗赖迪可能是德意志或犹太人人名的英译
keeping	 [ˈki:pɪŋ]	n. 	遵守；一致；（与…）协调；保管
		v. 	（使）保持， （使）继续( keep的现在分词 )；（食品）保持新鲜；保有；保存
match	 [mætʃ]	n. 	比赛；对手；相配的人（或物）；火柴
		vt. 	相同；适应；使较量；使等同于
		vt.& vi. 	使相配，使相称
mineral	 [ˈmɪnərəl]	n. 	矿物；矿石；矿物质；汽水
		adj. 	矿物的，似矿物的
disagree	 [ˌdɪsəˈgri:]	vi. 	不同意；不一致；不适合；不符
heavily	 [ˈhevɪli]	adv. 	在很大程度上；沉重地；大量地；缓慢又高声地
armed	 [ɑ:md]	adj. 	武装的；有把手的；有防卫器官的
		v. 	“arm”的过去式和过去分词
blade	 [bleɪd]	n. 	刀片，剑；（壳、草等的）叶片；桨叶；浮华少年
equipment	 [ɪˈkwɪpmənt]	n. 	设备，装备；器材，配件；（工作必需的）知识，素养
ended		v. 	结束，终止( end的过去式和过去分词 )
honest	 [ˈɒnɪst]	adj. 	诚实的；坦诚的；老实的；辛勤挣得的
trick	 [trɪk]	n. 	戏法，把戏；计谋，诀窍；骗局；恶作剧
		vt. 	哄骗，欺骗；打扮
		adj. 	弄虚作假的；有诀窍的；欺诈的
extra	 [ˈekstrə]	adj. 	额外的，补充的，附加的；特大的，特别的
		n. 	附加物，额外的事物；临时演员；号外；上等产品，上品
		adv. 	额外地；格外地，特别地
learning	 [ˈlɜ:nɪŋ]	n. 	学问，学术，知识
		v. 	学习(learn的现在分词)
treasure	 [ˈtreʒə(r)]	n. 	金银财宝；宝藏；珍宝；不可多得的人才
		vt. 	重视；珍惜；珍视；储存
immense	 [ɪˈmens]	adj. 	极大的，巨大的；浩瀚的，无边际的；〈口〉非常好的；弘道
existing	 [ɪgˈzɪstɪŋ]	adj. 	目前的；现存的
		v. 	存在( exist的现在分词)；持续存在
disapprove	 [ˌdɪsəˈpru:v]	vi. 	不赞成
		vt. 	反对，否决；持相反的意见
wooden	 [ˈwʊdn]	adj. 	木制的；木头的；僵硬的；呆板的
fork	 [fɔ:k]	n. 	叉（挖掘用的园艺工具）；餐叉；叉状物；（自行车或摩托车的）车叉子
		vi. 	分叉；分歧
		vt. 	走岔路；叉，耙
setting	 [ˈsetɪŋ]	n. 	镶嵌；环境；装置；（某事、戏剧、小说等的）背景
		v. 	放( set的现在分词)；安插；树立；安排
milk	 [mɪlk]	n. 	奶；乳液；母乳
		vt. 	挤奶；榨取
judgment	 ['dʒʌdʒmənt]	n. 	判断，鉴定；辨别力，判断力；意见，看法；判决书
tune	 [tju:n]	n. 	曲调，曲子；和谐，调谐；语调；心情
		vt. 	调整；使和谐，使一致；调整（频率）；为…调音
		vi. 	协调；[无线]调谐
wear	 [weə(r)]	vt. 	穿着，戴着；面露；留着（胡须等）；磨损
		vi. 	耐用；保持不变；磨损，耗损；逐渐或枯燥地通过
		n. 	穿着；穿戴物，衣物；磨损，穿旧；耐用性
brush	 [brʌʃ]	n. 	刷子，画笔；灌木丛；小冲突
		vt. 	刷；掠过；擦；轻触
		vi. 	刷；擦过
polish	 [ˈpɒlɪʃ]	v. 	擦光；磨光；修改；润色
		n. 	光泽剂，擦亮剂；擦亮，磨光；优美，优雅，精良
poison	 [ˈpɔɪzn]	n. 	毒药；酒；极糟的食物；极有害的思想（或心情等）
		vt. 	毒死；污染；放毒于；对…有不良影响
		adj. 	有毒的
fail	 [feɪl]	vt.& vi. 	失败，不及格；倒闭，破产；缺乏；衰退
		vi. 	衰退；失败，不及格；破产；不足
		vt. 	不及格；使失望；忘记；舍弃
		n. 	失败，失误；不及格；不及格者；[商]期货交割失期
range	 [reɪndʒ]	n. 	范围；射程；类别；（山脉，房屋等的）排列
		vi. 	搜索；变化；延伸；漫游
		vt. 	排列；（按一定位置或顺序）排序；把…分类；徘徊
		adj. 	牧场的，放牧区的
refused		v. 	拒绝，回绝( refuse的过去式和过去分词 )；推却，回绝；拒绝给（所需之物）
streets	 [st'ri:ts]	n. 	大街，街道( street的名词复数 )
astonish	 [əˈstɒnɪʃ]	vt. 	使惊讶，使大为吃惊
orchestra	 [ˈɔ:kɪstrə]	n. 	管弦乐队；管弦乐队的全部乐器
Negroes		n. 	黑种人，黑人( Negro的名词复数 )
shave	 [ʃeɪv]	vt.& vi. 	剃须，剃毛
		vt. 	剃，削去；修剪；切成薄片；掠过
		n. 	刮脸，剃胡子；修面；侥幸逃过，幸免；剃刀，刮刀
snake	 [sneɪk]	n. 	蛇；奸险的人；卑劣的人；蛇形浮动汇率制
		vt. 	沿…曲折前进（或延伸）；/拖，拉（木材等）
		vi. 	曲折前进（或延伸）；蛇行，悄悄地爬行
feather	 [ˈfeðə(r)]	n. 	羽毛，翎毛；状态，心情；种类；桨叶的水平运动
		v. 	给装上羽毛，用羽毛装饰；使（桨）与水面平行；长羽毛
salt	 [sɔ:lt]	n. 	盐；风趣；机智，讽刺；药用盐，泻盐
		vt. 	撒盐；用盐渍；加盐以调味；为…增加趣味
		adj. 	含盐的；有咸味的；盐渍的
similar	 [ˈsɪmələ(r)]	adj. 	类似的；同类的；相似的；同样的
		n. 	类似物；相像的人；相似物
northern		adj. 	北方的，北部的；来自北方的；北风
debt	 [det]	n. 	债务；负债情况；义务；罪，过失
dirt	 [dɜ:t]	n. 	泥土；污垢，污泥；下流想法；恶意中伤的话
final	 [ˈfaɪnl]	adj. 	最后的，最终的；决定性的；不可更改的
		n. 	结局；决赛；期末考试；〈口〉（报纸的）末版
fade	 [feɪd]	vi. 	褪去，失去光泽；逐渐消逝；凋谢，衰老
		vt. 	使褪色
		adj. 	乏味的，平淡的
comparison	 [kəmˈpærɪsn]	n. 	比较，对照；[语]比喻；比较级
confess	 [kənˈfes]	vt.& vi. 	承认；聆听（某人的）忏悔（或告罪、告解）；（尤指罗马天主教会）忏悔；悔过
		vt. 	听…忏悔
congress	 [ˈkɒŋgres]	n. 	国会；代表大会；（用于某些国家的政党名称）国民大会；社交
		vi. 	开会，集合
descend	 [dɪˈsend]	v. 	下来，下降 ；下斜；降临；突然造访
finger	 [ˈfɪŋgə(r)]	n. 	手指；指状物；指针
		vt. 	伸出；告发；用手指触摸
		vi. 	用手指触摸；拨弄
skin	 [skɪn]	n. 	皮，皮肤；（蔬菜，水果等）外皮；毛皮
		vt. 	剥皮，削皮；擦破皮，擦伤；欺骗
		vi. 	使愈合，长皮
		adj. 	色情的
holy	 [ˈhəʊli]	adj. 	神圣的；值得尊敬的，值得推崇的；圣洁的，圣徒般的；宗教的
mild	 [maɪld]	adj. 	温柔的；温暖的；轻微的；（味道）不浓的
		n. 	淡味麦芽啤酒
clever	 [ˈklevə(r)]	adj. 	聪明的，灵巧的；英俊的，风采优雅的；性情温良的；油腔滑调的
stared	 [steərd]	v. 	凝视，瞪视( stare的过去式和过去分词 )
issue	 [ˈɪʃu:]	n. 	问题；（报刊的）期，号；发行物；流出
		vt. 	发行；发布；流出
		vi. 	发行；造成…结果；在…上挑起争论
till	 [tɪl]	conj. 	直到…时（为止）；在…之前
		vt. 	耕种；耕作
		n. 	钱柜，钱箱；放钱的抽屉；[地]冰碛土（物）
		prep. 	直到
Tuesday	 [ˈtju:zdeɪ]	n. 	星期二
brain	 [breɪn]	n. 	脑；智慧；聪明的人；（群体中）最聪明的人
		vt. 	打破…的脑袋；打…的头部
liquid	 [ˈlɪkwɪd]	n. 	液体；流音
		adj. 	液体的；清澈的；（声音）流畅的；易转换成现款的
budget	 [ˈbʌdʒɪt]	n. 	预算；预算案；预算拨款；一束
		vt.& vi. 	把…编入预算；谨慎花钱
		adj. 	价格低廉的；花钱少的；收费合理的；便宜的
		vt. 	在预算中拨款给；按预算拨（款）；按预算来计划（或安排）；规划
		vi. 	做安排(for)
stamp	 [stæmp]	n. 	邮票；标志，印记；跺脚；特征
		vt. 	盖章于…；贴邮票于…；标记；用脚踩踏
		vi. 	捣碎；跺脚
float	 [fləʊt]	vt.& vi. 	（使）浮动；（使）漂浮；自由浮动
		vi. 	游荡
		vt. 	提出，提请考虑；（股票）上市
		n. 	彩车；漂浮物；浮板；浮有冰淇淋的饮料
providing	 [prəˈvaɪdɪŋ]	conj. 	如果；假如；在…条件下；倘若
		v. 	提供，供给，供应( provide的现在分词)；规定；提供[(+for)]；装备
formula	 [ˈfɔ:mjələ]	n. 	公式，准则；客套话；方案；婴儿食品
labor	 ['leɪbə(r)]	n. 	劳动；努力；工作；劳工
		v. 	努力争取(for)；苦干；详细分析
		adj. 	劳工的，工会的；（常大写）（英国或英联邦国家）工党的
		vi. 	（指引擎）缓慢而困难地运转
housing	 [ˈhaʊzɪŋ]	n. 	房屋；供给住宅；掩护；外罩
businessman	 [ˈbɪznəsmæn]	n. 	商人；实业家
tension	 [ˈtenʃn]	n. 	紧张，不安；紧张气氛；[物]张力，拉力；矛盾
		vt. 	紧张；使紧张
UN	 [ˌju:'en]	pron. 	家伙，东西
		abbr. 	联合国(United Nations)；硝酸铀铣(Uranyl Nitrate)
		n. 	[组]联合国，成立于1945年，致力于推动国际社会的和平稳定
pink	 [pɪŋk]	adj. 	粉红色的；淡红色的；略带左翼政治观点的；与同性恋者有关的
		n. 	粉红色；典范；香石竹；顶点，极度
		vt. 	刺、扎；打出小孔图案；戳
qualification	 [ˌkwɒlɪfɪˈkeɪʃn]	n. 	资格，授权；条件，限制；合格证书
repeated	 [rɪˈpi:tɪd]	adj. 	反复的，再三的，重复的；累；频仍
artificial	 [ˌɑ:tɪˈfɪʃl]	adj. 	人造的；人工的；虚假的，非原产地的；人为的
		n. 	人造肥料；假花
parties		n. 	社交聚会( party的名词复数 )；党；政党；一方
attraction	 [əˈtrækʃn]	n. 	吸引；[物]引力；魅力；引人注意的东西，有趣的东西
uses		n. 	用途( use的名词复数 )；使用能力；运用头脑（或身体）的能力
		v. 	使用( use的第三人称单数 )；（施展手段）利用（别人）；耗费；吸（毒）
lamp	 [læmp]	n. 	灯；发热灯，照射灯
curl	 [kɜ:l]	n. 	一绺鬈发；卷曲物；螺旋状物；（指头发）拳曲
		vt.& vi. 	（使）弯曲；（使）卷曲；盘旋；缠绕
		vt. 	撅起嘴唇；撇（嘴）；（使）呈螺旋（或卷曲）状移动；（使）旋绕
cup	 [kʌp]	n. 	杯子；一杯（的量）；（胸罩的）罩杯；优胜杯
		vt. 	使（手）窝成杯状；使（双手）成圆状托起；为…拔火罐
headed	 [ˈhedɪd]	adj. 	有头的，有标题的
		v. 	用头顶（球）( head的过去式和过去分词 )；带领；使朝…方向行进；位于排行之首
shower	 [ˈʃaʊə(r)]	n. 	阵雨；淋浴；淋浴器；一大批
		vi. 	下阵雨；似阵雨般降落；洒落；纷纷降落
		vt. 	大量地给予；抛洒，使纷纷降落
elder	 [ˈeldə(r)]	n. 	年长的，资格老的；头人，长辈；长老
		adj. 	年纪较大的；资格老的；老练的
pocket	 [ˈpɒkɪt]	n. 	口袋，钱袋；金钱，财富；容器；凹处
		vt. 	隐藏；放进口袋；私吞，盗用；忍受
		adj. 	放在口袋里的；小的，迷你的；金钱上的
bunch	 [bʌntʃ]	n. 	束，串，捆；一串，一群；一帮，一伙；[非正式用语]大量
		vt. 	聚成一串，形成一串；聚成一组；使起褶：使（织物）起褶
		vi. 	形成一串，形成一组；打褶；膨胀，凸出
conclusion	 [kənˈklu:ʒn]	n. 	结论；结局；断定，决定；推论
bell	 [bel]	n. 	钟，铃；钟声，铃声；钟状物；[建]圆屋顶
		vt. 	敲钟；系铃于，给…装上铃；使成铃状；把…放在钟形罩内
		vi. 	使象钟状地张开；鸣钟
exception	 [ɪkˈsepʃn]	n. 	例外，除外；反对，批评；[法律]异议，反对
steer	 [stɪə(r)]	vt.& vi. 	驾驶；操纵，控制；引导
		vt. 	掌（舵）
		vi. 	行进
		n. 	阉公牛，肉用公牛；〈美俚〉建议；关于行路（或驾驶）的指示
Bible	 [ˈbaɪbəl]	n. 	圣经；有权威的书
flavor	 ['fleɪvə]	n. 	味；韵味；特点；香料
		vt. 	给…调味；给…增添风趣
prison	 [ˈprɪzn]	n. 	监狱；牢笼；监禁；入狱
Birds		 	[地名] [美国] 伯兹
sorry	 [ˈsɒri]	adj. 	对不起的；无价值的，低等的；遗憾的；感到伤心的
spit	 [spɪt]	vt. 	吐，吐出
		n. 	唾沫；口水；烤肉叉
		vi. 	吐痰，吐口水；发出劈啪声
anger	 [ˈæŋgə(r)]	n. 	生气；愤怒；怒气；愤懑
		vt.& vi. 	激怒；使发怒；[医]〈旧，非正式〉使（伤口）炎或疼痛；恼火
		vi. 	发怒；恼火
hate	 [heɪt]	vt. 	仇恨，憎恨；厌恶；对…感到不喜欢或讨厌
		vi. 	恨
		n. 	强烈的仇恨或厌恶，恨；仇恨或讨厌的对象
interrupt	 [ˌɪntəˈrʌpt]	vt.& vi. 	打断（别人的话等）；阻止；截断
		vt. 	暂停；中断；打扰；妨碍
		vi. 	打断
		n. 	中断；暂停
native	 [ˈneɪtɪv]	adj. 	本国的；土著的；天生的；天真的，纯朴的
		n. 	当地人；土著人；当地产的动（植）物
pen	 [pen]	n. 	笔，笔尖；笔法，文笔；作家；围栏
		vt. 	写；把…关入栏中；关押，囚禁
songs	 ['sɒŋz]	n. 	歌曲( song的名词复数 )；歌唱；（统称）歌曲
struck	 [strʌk]	v. 	打（ strike的过去式和过去分词 ）；击打；攻击；侵袭
weave	 [wi:v]	vt.& vi. 	编，织；迂回行进；穿行（以避开障碍）
		vt. 	编排；（把…）编成
		vi. 	纺织，织布
		n. 	织物；织法，编法；编织式样
terrible	 [ˈterəbl]	adj. 	可怕的；危害极大的；很糟的；劣质的
		adv. 	口〉非常，很，极
		n. 	可怕的人
grand	 [grænd]	adj. 	宏大的，宏伟的；（最）重要的；豪华的
		n. 	一千美元；大钢琴
rescue	 [ˈreskju:]	vt. 	营救，救援，使免遭损失；[法律] 非法劫回
		n. 	营救，救援；营救[救援]行动
resistance	 [rɪˈzɪstəns]	n. 	抵抗；阻力；抗力；电阻
crush	 [krʌʃ]	vt. 	压破，压碎；镇压；弄皱；挤榨，榨出
		vi. 	挤；被压碎，被起皱
		n. 	粉碎，被压碎的状态；（特指女子对男性的）迷恋；拥挤的人群；果汁饮料
method	 [ˈmeθəd]	n. 	方法；条理
plants	 [p'lɑ:nts]	n. 	(plural form of plant,plant的复数形式)植物，农作物；植物( plant的名词复数 )；工厂；发电厂；幼苗
		v. 	种植( plant的第三人称单数 )；建立；移植（动物、植物）；在（某处）栽种
finds		v. 	发现( find的第三人称单数 )；找到；到达；发觉
humble	 [ˈhʌmbl]	adj. 	谦逊的；简陋的；（级别或地位）低下的；不大的
		vt. 	使谦恭；轻松打败（尤指强大的对手）；低声下气
lawyer	 [ˈlɔ:jə(r)]	n. 	律师，法学家
fancy	 [ˈfænsi]	vt. 	想像；设想；想要；猜想
		n. 	设想；想像力；爱好；怪想
		adj. 	（构思者）奇特的；昂贵的；（价格等）高价的；[美国俚语]真棒
		vi. 	想象，幻想
stories	 [s'tɔ:rɪz]	n. 	故事( story的名词复数 )；（任何结构、构造的）层；谎话；楼层
decay	 [dɪˈkeɪ]	vt.& vi. 	（使）腐烂，腐朽
		vi. 	衰败，衰退，衰落
		n. 	腐败、衰退的状态
painting	 [ˈpeɪntɪŋ]	n. 	绘画；油画；上色，着色；颜料，油漆
		v. 	绘画（ paint的现在分词）；涂色于
polite	 [pəˈlaɪt]	adj. 	有礼貌的；有教养的，文雅的；上流社会的；应酬的，客套的
rare	 [reə(r)]	adj. 	罕见的，特殊的；优秀的，不寻常的；稀薄的，经过稀化的
tribe	 [traɪb]	n. 	部落，部族；[生]族；一帮，一伙；大群
bleed	 [bli:d]	vt. 	使出血；勒索，敲诈
		vi. 	流血
		vt.& vi. 	散开；给（某人）放血；放掉气体或水（以使某物运行正常）；长期榨取（某人的钱）
		n. 	[印]出血版
thirty	 [ˈθɜ:ti]	n. 	三十；三十个；三十年代；三十的记号
		adj. 	三十的，三十个的
		num. 	三十；三十个
coin	 [kɔɪn]	n. 	硬币；金属钱币；[建筑]拐角，墙角石
		vt. 	制造硬币；杜撰；创造
sexual	 [ˈsekʃuəl]	adj. 	性的，有性别的；性欲的；生殖的；[生]有性的
fond	 [fɒnd]	adj. 	喜欢的；多情的；溺爱的，宠爱的；盲目轻信的
Roads		 	[人名] [英格兰人姓氏] 罗兹 Rhodes的变体；[地名] [美国] 罗兹
royal	 [ˈrɔɪəl]	adj. 	王国的，王室的；高贵的，庄严的；盛大的；敕许的，敕定的
		n. 	王室成员；[航海]顶桅帆
classify	 [ˈklæsɪfaɪ]	vt. 	分类，归类；把…列为密件
Dallas	 [ˈdæləs]	 	达拉斯（美国得克萨斯州东北部城市）
liberty	 [ˈlɪbəti]	n. 	自由；许可权；放肆，无礼；解放，释放
omit	 [əˈmɪt]	vt. 	省略；遗漏；删掉；未（做）
loyal	 [ˈlɔɪəl]	adj. 	忠诚的，忠心的；忠贞的
		n. 	效忠的臣民；忠实信徒
physical	 [ˈfɪzɪkl]	adj. 	自然（界）的；身体的；物质的；自然规律的
		n. 	身体检查，体格检查
previously	 ['pri:vɪəslɪ]	adv. 	事先；以前；仓促；“previous”的派生
safety	 [ˈseɪfti]	n. 	安全；安全性；安全处所；中卫
		adj. 	保障安全的
causes	 [kɔ:zɪz]	n. 	原因( cause的名词复数 )；动机；（某种行为、感情等的）理由；缘故
needle	 [ˈni:dl]	n. 	针；针状物；刺激性言行
		vt. 	用针缝，刺；刺激，激怒；增加（饮料的）酒精含量
		vi. 	缝纫
smooth	 [smu:ð]	adj. 	光滑的；流畅的；柔软的；温和的，安详的
		vt. 	使平滑；排除，消除；安抚，平息；使优雅
		vi. 	变平和，变缓和
		n. 	平地，平面
lessen	 [ˈlesn]	vi. 	变少，减少；贬低，轻视，看不起
		vt. 	减少（某事物），缩小
talked		n. 	讲话，交谈 talk的过去式
