base	 [beɪs]	n. 	基础；基地；根据；基数（如十进制的10 和二进制的2）
interested	 [ˈɪntrəstɪd]	adj. 	感兴趣的；拥有权益的；有成见的
		v. 	使…感兴趣(interest的过去分词)
strange	 [streɪndʒ]	adj. 	陌生的，生疏的；奇怪的，古怪的；疏远的；外国的
		adv. 	奇怪地；陌生地；冷淡地
compose	 [kəmˈpəʊz]	vt. 	组成，构成；调解；[印刷]排（字）；使安定
		vt.& vi. 	创作（乐曲、诗歌等）；为…谱曲
		vi. 	构图，构成
professional	 [prəˈfeʃənl]	adj. 	专业的；专业性的；职业的
		n. 	专业人士
remained		v. 	留下( remain的过去式和过去分词 )；保持；留待；仍然是
news	 [nju:z]	n. 	新闻；消息；（可当作新闻内容的）人；物
Despite	 [dɪˈspaɪt]	prep. 	不管；尽管（自己）不愿意；不在乎；虽有
		n. 	侮辱；憎恨；怨恨；轻蔑的拒绝或不承认
beauty	 [ˈbju:ti]	n. 	美好；美人；完美；突出的范例
responsible	 [rɪˈspɒnsəbl]	adj. 	尽责的；承担责任；负有责任的；懂道理的
wonder	 [ˈwʌndə(r)]	adj. 	奇妙的；钦佩的；远超过预期的
		n. 	惊奇；奇观；奇人；奇迹
		vt. 	对…感到好奇；惊奇；感到诧异；想弄明白
		vi. 	怀疑，想知道；惊讶
spent	 [spent]	adj. 	用过的；不再有用的；已废的；失效的
		v. 	用钱，花钱( spend的过去式和过去分词 )；花费；消耗；花（时间）
tear	 [teə(r)]	v. 	撕裂；拉掉；挣开；拉伤
		n. 	破洞；裂口
	 [tɪə]	n. 	眼泪；泪水
unless	 [ənˈles]	conj. 	除非，如果不
		prep. 	除了，…除外
eight	 [eɪt]	num. 	八；八个；第八
		n. 	八；八人（或物）一组；八人划船队
		adj. 	八个的
permit	 [pəˈmɪt]	vt. 	许可，准许；默许，放任；允许，容许
		vi. 	许可，允许
		n. 	许可，准许；许可证，执照
covered	 [ˈkʌvəd]	adj. 	大量的；有遮盖物的，（尤指）有顶的
		v. 	覆盖( cover的过去式和过去分词)；掩护；包括
Negro	 [ˈni:grəʊ]	n. 	黑种人，黑人
		adj. 	黑人的
played		v. 	演奏( play的过去式和过去分词 )；演出；参加比赛；捉弄
vote	 [vəʊt]	v. 	投票，选举；提议；投票表决；公认，由舆论决定
		n. 	投票，表决；投票数；投票权；决议
balance	 [ˈbæləns]	n. 	平衡；天平；平衡力；（酿酒配料的）均衡
		vt.& vi. 	（使）平衡；（使）均衡；（使）相抵；权衡
		vt. 	结平（账目）；使（在某物上）保持平衡；使（各部分）协调；用天平称
		vi. 	微微摇摆；倾斜后又复平衡；动摇；被补偿
Charles	 [tʃɑ:lz]	n. 	查尔斯（男子名，涵义：强壮的，男性的，高贵心灵的）
loss	 [lɒs]	n. 	损失，减少；丢失，遗失；损耗，亏损；失败
Commission	 [kəˈmɪʃn]	n. 	委员会，委员；[商]佣金，手续费；任命，委任；委任状
		vt. 	委任，授予；使服役；使（船）服役
original	 [əˈrɪdʒənl]	adj. 	原始的；独创的；最初的；新颖的
		n. 	原文；原型；原件；怪人
fair	 [feə(r)]	adj. 	公平的；合理的；晴朗的；美丽的
		adv. 	公平地；直接地；清楚地；正大光明地
		n. 	集市，庙会；商品交易会，展览会；美人，美丽的事物
		vt. 	（卡通制作）顺利接合；（动作）衔接协调、流畅；（飞机）装配平整；使（飞机接合部）平滑
		vi. 	转晴
reasons	 ['ri:zənz]	n. 	理由( reason的名词复数 )；原因；理性；理智
		v. 	推理，思考( reason的第三人称单数 )；争辩
studies	 ['stʌdɪz]	n. 	研究；书房( study的名词复数 )；研究论文
		v. 	学习，研究( study的第三人称单数 )；想出；详细地检查；背诵（台词等）
exactly	 [ɪgˈzæktli]	adv. 	精确地；确切地；完全地，全然；恰恰
built	 [bɪlt]	v. 	build的过去式和过去分词
		adj. 	…建成的；身段优美的；有特定体格的
behavior	 [bɪ'heɪvjə]	n. 	行为；态度；（机器等的）运转状态；（事物的）反应
enemy	 [ˈenəmi]	n. 	仇敌；敌军；危害物
		adj. 	敌人的；敌方的；与敌对力量相关的
teeth	 [ti:θ]	n. 	牙( tooth的名词复数 )；齿；齿状部份；致力于（ 有难度的事）；tooth的复数形式；（组织、法律等）强大有效；不顾危险（或反对等）
bank	 [bæŋk]	n. 	银行；（条形的）堆；（河的）岸；库存
		vt.& vi. 	堆积；筑（堤）；将（钱）存入银行
		vi. 	（转弯时）倾斜飞行；（在某银行）开账户，存款
		vt. 	（用煤等）封炉火
die	 [daɪ]	vt.& vi. 	死亡，熄灭；凋零，枯萎；渴望，盼望
		n. 	钢型，硬模；骰子
James	 [dʒeimz]	n. 	詹姆士
relations	 [rɪ'leʃənz]	n. 	彼此间的看法，两者的关系；关系( relation的名词复数 )；亲戚（关系）；亲属（关系）；（事物之间的）关系
weight	 [weɪt]	n. 	重量，体重；重担，重任；重要；[统]权，加重值，权重
		vt. 	加重于，使变重；使负重，使负担或压迫；[统]使加权，附加加重值于
prepared	 [prɪˈpeəd]	adj. 	事先准备好的；愿意的；期望的
		adv. 	事先准备好地；愿意地；期望地
		v. 	准备( prepare的过去式和过去分词)；预备（饭菜）；配备；使（自己）有准备
related	 [rɪˈleɪtɪd]	adj. 	有关系的；叙述的
		vt. 	叙述(relate过去式和过去分词)
sea	 [si:]	n. 	海；海洋；许多；大量
bar	 [bɑ:(r)]	n. 	条，棒；（门、窗等的）闩；障碍；酒吧间
		vt. 	闩（门等）；阻碍，封锁；排除，去除
		prep. 	除…之外
warn	 [wɔ:n]	vt. 	警告，告诫；通知；预告
		vi. 	发出警告
post	 [pəʊst]	n. 	邮件；邮政；柱，桩，杆；岗位
		vt. 	张贴；宣布；设岗；邮寄
		vi. 	快速行进
		adj. 	有关赛跑（或赛马，赛狗）起点标志的
		adv. 	〈外〉在后；用急件[驿马]；赶紧地，火速地
trees	 [tri:z]	n. 	树（ tree的名词复数 ）；乔木；树状图；世系图
official	 [əˈfɪʃl]	n. 	行政官员；公务员；[体]裁判；高级职员
		adj. 	官方的，法定的；公职的，公务的；官气十足；正式的
separate	 [ˈseprət]	vt.& vi. 	分开；（使）分离；区分；隔开
		vt. 	分离（混合物）；分居；分类；割开
		vi. 	分手；断裂；（夫妻）分居；断绝关系
		adj. 	单独的；分开的，分离的；不同的；不相关的
		n. 	分开的事物；[用复数]（音响设备中的）独立件
clay	 [kleɪ]	n. 	黏土，泥土；（相对于灵魂而言的）人体，肉体；似黏土的东西；克莱（男子名， Clayton 的昵称）
		vt. 	用黏土处理
Sunday	 [ˈsʌndeɪ]	n. 	星期日，星期天；每逢星期日出版的报纸；星期日报；[人名] 森迪
raised	 [reɪzd]	adj. 	凸起的；浮雕的；有凸起花纹的；发酵的
		v. 	引起( raise的过去式和过去分词 )；提高（价格等）；提起；唤起
events	 [ɪ'vents]	n. 	事件；事件，大事( event的名词复数 )；运动项目
thin	 [θɪn]	adj. 	薄的；瘦的；稀少的；细的
		vt. 	使瘦；使淡；使稀疏
		vi. 	变薄；变瘦；变淡
		adv. 	稀疏地，微弱地
dropped	 [drɒpt]	v. 	落下（ drop的过去式和过去分词 ）；降低；减少
cattle	 [ˈkætl]	n. 	（总称）牛，牲口；畜生；无价值的人；〈美俚〉女学生
invite	 [ɪnˈvaɪt]	vt. 	邀请；请求；引诱；招致
		n. 	邀请
playing	 [ˈpleɪɪŋ]	v. 	演奏( play的现在分词 )；演出；参加比赛；捉弄
prevent	 [prɪˈvent]	vt. 	预防；阻碍；阻止；[宗教]引领
		vi. 	阻挠，阻止
detail	 [ˈdi:teɪl]	n. 	详述；（照片、绘画等的）细部；细目，琐碎；各种细节
		vt. 	详述，仔细汇报；选派；清晰地说明；给于细部装饰
standing	 [ˈstændɪŋ]	n. 	起立，站立；身份，地位；持续时间
		adj. 	长期有效的；直立的；固定的
		v. 	站立；坚持不变
grow	 [grəʊ]	vt. 	种植；扩大；扩展；增加
		vi. 	生长；渐渐变得；逐渐开始
		vt.& vi. 	（使）留长，蓄长
places		n. 	位( place的名词复数 )；地方；职位；座位
someone	 [ˈsʌmwʌn]	pron. 	某人，有人
		n. 	某个人
bright	 [braɪt]	adj. 	明亮的，鲜亮的；聪明的；辉煌的；活泼的，机灵的，乖巧的
		adv. 	明亮地，光明地，光亮地；欢快地，愉快地
		n. 	车头灯；光辉，辉煌
Talking	 ['tɔ:kɪŋ]	n. 	讲话；（表示对所说的事情感兴趣） 你这话说着了；提起；说到
		adj. 	会说话的；讲话的；饶舌的；富于表情的
		v. 	说( talk的现在分词 )；讨论；说话；（用以强调款额、情况严重程度等）讲的是
meant	 [ment]	v. 	意味；打算(mean的过去式和过去分词)；表示…的意思
print	 [prɪnt]	n. 	（由底片印出的）照片；印刷字体；印痕；印成的图画
		vt. 	（在松软的表面）压印；把…付印
		vt.& vi. 	用印刷体写；冲洗（照片）；登载；在纸上印
capital	 [ˈkæpɪtl]	n. 	首都；资本；资源；大写字母
		adj. 	极好的；死刑的；资本的；首都的
happen	 [ˈhæpən]	vi. 	发生；碰巧；出现；偶然遇到
sides	 [saɪdz]	n. 	侧；面( side的名词复数 )；方面；侧面；一面
everyone	 [ˈevriwʌn]	pron. 	每人，人人
facilities	 [fə'sɪlɪtɪz]	n. 	工具；（学习、做事的）天资；（机器等的）特别装置；（供特定用途的）场；设备( facility的名词复数)；容易；能力；灵巧
filled	 [fɪld]	adj. 	满的；填满的；充气的；加载的
		v. 	（使）充满， （使）装满，填满( fill的过去式和过去分词 )；满足；配药；（按订单）供应
lip	 [lɪp]	n. 	嘴唇；（杯，壶等的）口，边缘；〈俚〉无理的回答；〈美〉律师
		adj. 	唇的；口头上的；唇音的
		vt. 	用嘴唇接触；接吻；〈俚〉轻轻地说，唱；把高尔夫球打到穴边而未进去
essential	 [ɪˈsenʃl]	adj. 	基本的；必要的；本质的；精华的
		n. 	必需品；基本要素；必不可少的东西
techniques	 [tek'ni:ks]	n. 	技巧( technique的名词复数 )；手法；技术；技能
June	 [dʒu:n]	n. 	六月；[女子名]琼，来源于拉丁语，含义是“年轻气盛的六月”（youthful from the name of the month）
knows		v. 	知道( know的第三人称单数 )；看到过；听到过；经历过
stain	 [steɪn]	vi. 	弄脏；污染；被玷污
		vt. 	玷污，染污；败坏（名声）；给…染色
		n. 	污点；瑕疵；着色剂；色斑
dinner	 [ˈdɪnə(r)]	n. 	正餐，主餐；宴会；晚餐
dog	 [dɒg]	n. 	狗；蹩脚货；丑女人；卑鄙小人
		v. 	困扰；跟踪
dollars		n. 	元（美国、加拿大、澳大利亚等国货币单位）( dollar的名词复数 )；一元纸[硬]币；美元（币值）
caught	 [kɔ:t]	v. 	赶上( catch的过去式和过去分词 )；接住；引起；看见
shout	 [ʃaʊt]	vt.& vi. 	呼喊，叫喊；高声说或发出喊叫声
		n. 	大叫；大叫着说；呐喊
buy	 [baɪ]	vt.& vi. 	购买，购得
		n. 	交易，买卖；便宜货
		vt. 	够支付；买通；收买；贿赂
divide	 [dɪˈvaɪd]	vt.& vi. 	分；划分；分离；（使）产生分歧
		n. 	分水岭，分界线；分配
entered	 ['entə(r)d]	v. 	进入( enter的过去式和过去分词 )；进去；参加；登记
Chicago	 [ʃɪ'kɑ:gəʊ, -'kɔ:-]	n. 	芝加哥（美国城市名）
speed	 [spi:d]	n. 	速度；快速；昌盛；（汽车的）变速器，排挡
		vt.& vi. 	急行，加速
		vi. 	超速；加速；迅速前行；兴隆
		vt. 	加快…的速度；使成功，使繁荣
jazz	 [dʒæz]	n. 	爵士乐，爵士舞（曲）
appoint	 [əˈpɔɪnt]	vt. 	任命，委派；约定，指定；装设，布置
governor	 [ˈgʌvənə(r)]	n. 	主管人员；统治者，管理者；州长；[机]节速器，调节器
institutions	 [ɪnstɪt'ju:ʃnz]	n. 	（大学、银行等规模大的）机构( institution的名词复数 )；建立；慈善机构；知名人士
fit	 [fɪt]	vt.& vi. 	（使）适合；安装；合身
		adj. 	合适的；恰当的；合身的；健壮的
		n. 	合身；适合；匹配；发作
materials	 [mə'tɪərɪəlz]	n. 	材料( material的名词复数 )；布料；衣料；[哲学] 物质
sight	 [saɪt]	n. 	视力；看见；视野；景象
		vt. 	看见，发现；瞄准；观察；调准瞄准器
		vi. 	（用仪器）瞄准；观察
store	 [stɔ:(r)]	n. 	商店；贮存物；仓库；大量
		v. 	贮存；（在计算机里）存储
dependence	 [dɪˈpendəns]	n. 	依赖，依靠；信任，信赖；[物]依存关系；依靠之物
explain	 [ɪkˈspleɪn]	vt.& vi. 	讲解，解释
		vt. 	说明…的原因，辩解
		vi. 	说明，解释，辩解
gain	 [geɪn]	vt.& vi. 	获得；赢得；增加；（钟、表）走快
		n. 	利润；[土木工程]腰槽；获益
		vt. 	（在…上）开腰槽；吸引；（通过努力）到达；推进（一段距离）
		vi. 	增进；增进健康；得益；（重量的）增加
leadership	 [ˈli:dəʃɪp]	n. 	领导；领导的才能或能力；一群领导者；带路，指引
quiet	 [ˈkwaɪət]	adj. 	清静的；僻静的；不起眼的；不激动的
		vt.& vi. 	安静下来，使…安静，平静
		vt. 	减轻（病痛、疑虑、恐惧等）；[法律]确定（产权等）
		prep. 	克制的，稳重的，不张扬的
		n. 	宁静；寂静
		adv. 	安静地，平静地
realize	 [ˈri:əlaɪz]	vt. 	实现；了解，意识到；（所担心的事）发生；以…价格卖出
		vt.& vi. 	变卖，赚得
parents	 ['peərənts]	n. 	双亲（ parent的名词复数 ）
Communist	 [ˈkɒmjənɪst]	n. 	共产主义者，共产主义的支持者；共产党党员；巴黎公社社员
		adj. 	共产主义者的；共产党的
neighbor	 ['neɪbə]	n. 	邻居，邻国
		adj. 	邻近的，邻接的
		vi. 	友好；毗邻而居
		vt. 	邻接
round	 [raʊnd]	adj. 	圆形的；弧形的；丰满的，肥胖的；整数的
		adv. 	到处；在周围；迂回地；朝反方向
		prep. 	大约；绕过，环绕；（表示位置）在…四周；附近
		n. 	圆，圆形；循环；圆形物，球状物；（会议的）一回合
		vt.& vi. 	使成圆形；绕行；拐过，绕过；把…四舍五入
included	 [ɪn'klu:dɪd]	adj. 	被包括的；[植]内藏的；（几何）两交叉直线所夹的
		v. 	包括( include的过去式和过去分词)；包含；列入；包住
kitchen	 [ˈkɪtʃɪn]	n. 	厨房；厨师
thousand	 [ˈθaʊznd]	n. 	一千；数千；许许多多；千位数
		adj. 	一千的；一千个的；成千的；许许多多的
Christ	 [kraɪst]	n. 	基督；救世主
		int. 	〈俚〉哎呀
radiation	 [ˌreɪdiˈeɪʃn]	n. 	辐射；放射物；辐射状；分散
broad	 [brɔ:d]	adj. 	宽阔的；广泛的；概括的；明显的
		n. 	婆娘
failure	 [ˈfeɪljə(r)]	n. 	失败，不及格；缺乏，不足；破产，倒闭；失败的事，失败者
retire	 [rɪˈtaɪə(r)]	vi. 	退休；撤退；后退，退却
		vt. 	退休，退隐；使撤退；收回
		n. 	退休；退隐；退兵信号
election	 [ɪˈlekʃn]	n. 	选举，当选；选举权；[神]神的选择
primary	 [ˈpraɪməri]	adj. 	首要的，主要的；最早的，原始的；[地质学]原生的；基本的
		n. 	第一位；最好者；要素；候选人提拔会
king	 [kɪŋ]	n. 	国王；（纸牌中的）老K,（国际象棋的）王；…之王
		vt. 	立…为王
		adj. 	巨型的
books	 ['bʊks]	n. 	书( book的名词复数 )；卷；课本；账簿
		v. 	预订( book的第三人称单数 )；登记；（向旅馆、饭店、戏院等）预约；立案（控告某人）
command	 [kəˈmɑ:nd]	n. 	命令，指挥；司令部，指挥部；[计算机]指令；控制力
		vt. 	指挥，控制，命令；命令；应得，值得
		vi. 	给出命令；命令，指令
		adj. 	指挥的，根据命令（或要求）而作的
edge	 [edʒ]	n. 	边；优势；（悬崖、峭壁的）边缘，端；锋利，尖锐
		vt. 	在…上加边界；使渐进；给（刀刃）磨边，使锋利；修整
		vi. 	慢慢向前移动，侧身移动
March	 [mɑ:tʃ]	n. 	三月
sitting	 [ˈsɪtɪŋ]	n. 	（摆姿势让人画像或拍照的）一次（时间）；开会；入席；（饭店等）一批
		adj. 	坐着的；就座的；在任期中的；孵卵中的
		v. 	（使）坐( sit的现在分词 )；坐落；处在；（在…中）任职
conference	 [ˈkɒnfərəns]	n. 	会议；讨论；（正式）讨论会；[工会、工党用语]（每年的）大会
		vi. 	举行或参加（系列）会议
bottom	 [ˈbɒtəm]	n. 	底部；末端；臀部；尽头
		adj. 	底部的
		vt. 	装底；测量深浅；查明真相
		vi. 	到达底部；建立基础
lady	 [ˈleɪdi]	n. 	（指成年女子，有些人尤其是长者认为这样说比较礼貌）女士；（不尊重的非正式称呼）女人；（在英国对女贵族或贵族成员的妻子女儿或爵士妻子的称呼）夫人；举止文雅且有教养的女子
advise	 [ədˈvaɪz]	vt. 	（商业）通知，报告；提议，建议
		vi. 	接受劝告，商量；建议，提供意见
churches		n. 	（基督教的）教堂( church的名词复数 )；礼拜仪式；教派；基督教牧师
model	 [ˈmɒdl]	n. 	模型；模特儿；模式；典型
		vt.& vi. 	做模特儿
		vt. 	模仿；制作模型，塑造；将…做成模型
		adj. 	典型的，模范的
battle	 [ˈbætl]	vt.& vi. 	与…作战；争斗
		n. 	战争，战役；比赛，较量；长期论战或长期作战；激烈的竞争
giving	 ['gɪvɪŋ]	n. 	礼物，给予物
		v. 	给予，赠送( give的现在分词 )；（与名词连用描述某一动作，意义与该名词相应的动词相同）；供给；交给
sport	 [spɔ:t]	n. 	运动；游戏；娱乐；运动会
		vt.& vi. 	炫耀，给人看，玩弄
		vi. 	游戏
		vt. 	游戏；参加体育运动；夸耀
		adj. 	运动的
address	 [əˈdres]	n. 	地址；通信处；演说；称呼
		v. 	写姓名地址；演说；向…说话；称呼
considerable	 [kənˈsɪdərəbl]	adj. 	相当大（或多）的；该注意的，应考虑的
spread	 [spred]	vt.& vi. 	伸开；展开；（使）传播；（使）散布
		n. 	范围；连续的一段时间
		vt. 	涂；把…覆盖在…上(over)；把…敲平；散发（气、烟等）
		vi. 	（景色、景致）展现；传开；（人群）散开；软化
		adj. 	张开的；[语言学]双唇展开的；（宝石）扁薄发光的；（文章、照片等）跨两栏（或多栏）的
funds	 [fʌndz]	n. 	基金( fund的名词复数 )；储备；现款；特别基金管理机构
trip	 [trɪp]	n. 	旅游，出行；摔倒，绊倒；绊（使某人跌倒的动作）；错误，过失
		vi. 	绊倒，绊；旅行；轻快地走，跳
		vt. 	使犯错误；松开（离合器等）以开动
youth	 [ju:θ]	n. 	年轻；青年，小伙子；初期，少年（青年）时期；〈集合词〉青少年们
CONSTRUCTION	 [kənˈstrʌkʃn]	n. 	建筑物；建造；解释；建造物
rock	 [rɒk]	n. 	岩石，石头；摇滚乐；棒糖；宝石（尤指钻石）
		v. 	摇晃；摇动；震动
		vi. 	演奏摇滚乐；随摇滚乐起舞
regular	 [ˈregjələ(r)]	adj. 	有规律的；规则，整齐的；不变的；合格的
		n. 	正规军；主力（或正式）队员；常客
		adv. 	定期地；经常地
changed	 [tʃeɪndʒd]	 	[医]变化的，改变的
boat	 [bəʊt]	n. 	小船，小艇；轮船
		vi. 	乘船，划船
		vt. 	用船运输；用船装运
memory	 [ˈmeməri]	n. 	记忆，记忆力；回忆，往事；[计]存储器，内存
successful	 [səkˈsesfl]	adj. 	成功的，如愿以偿的
captain	 [ˈkæptɪn]	n. 	船长，机长；领袖，首领；上尉；（美国警察局的）副巡长
		vt. 	当首领；统帅或指挥
hell	 [hel]	n. 	地狱，阴间；训斥；胡闹，见鬼；苦境，罪恶之地
		vi. 	过放荡生活；（车辆）急驰，飞驰
		int. 	该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等）
brother	 [ˈbrʌðə(r)]	n. 	兄弟；同事，同胞；同志
		int. 	（表示生气或吃惊）我的老兄！
murder	 [ˈmɜ:də(r)]	n. 	谋杀；杀戮；极艰难[令人沮丧]的经历
		vt. 	凶杀；糟蹋；打垮
		vi. 	杀人
quick	 [kwɪk]	adj. 	快的，急速的；聪明的，凌厉的；灵活的；短时间做成的
		adv. 	迅速地，快速地
		n. 	（指甲下的）活肉；感情的中枢，感觉最敏锐的地方；要害，核心
moreover	 [mɔ:rˈəʊvə(r)]	adv. 	再者；此外；而且；同时
highly	 [ˈhaɪli]	adv. 	高度地；极，非常；非常赞许地
difficulty	 [ˈdɪfɪkəlti]	n. 	困难，麻烦，难事；难度；异议，争论，纠葛；财政困难，（经济）拮据
inch	 [ɪntʃ]	n. 	英寸（相当于 2。54 厘米，一英尺有12英寸）；少量，少许；身高
		vt. 	使缓慢地移动
		vi. 	缓慢移动；渐进
saw	 [sɔ:]	n. 	锯；谚语，格言
		vt.& vi. 	往复移动；锯成；用锯；拉锯
		v. 	看见（ see的过去式）；观看；领会；考虑
clean	 [kli:n]	adj. 	清洁的；整齐的；新的；正派的
		vt.& vi. 	（使）清洁；变干净；除去…的灰尘；使…干净
		vi. 	清扫
		adv. 	完全地，彻底地
		n. 	打扫
collect	 [kəˈlekt]	vt. 	收集；收藏；接走；聚积
		vi. 	募捐；募集
		adj. 	由受话人付费的
camp	 [kæmp]	n. 	营地，工地宿舍；阵营（指观点相同且与持不同观点者对立的集团）；兵营；（度假者、旅游者，尤指青少年的）野营地
		vt.& vi. 	宿营，露营
		adj. 	夸张的；（男子）女人腔的；陈腐可笑的；（男人或其举止）故意带女子气的
		vi. 	（尤指在假日）野营；借住；行动矫揉造作；搞同性恋
		vt. 	使扎营（住宿）；使宿于营中；为…提供住处；临时安顿
experiment	 [ɪkˈsperɪmənt]	n. 	实验，试验；尝试
		vi. 	做实验，进行试验；尝试
shows	 ['ʃəʊz]	v. 	给…看( show的第三人称单数 )；表现出；显露出；上演
Authority	 [ɔ:ˈθɒrəti]	n. 	权威；权力；学术权威；[复数]当权者
older	 ['əʊldər]	adj. 	年长的；老的( old的比较级 )；古老的；以前的；（用于指称被替代的东西） 原来的
lord	 [lɔ:d]	n. 	主；领主；上帝；（英国用以称呼法官、主教或某些男性贵族成员，表示尊敬）大人
		vi. 	逞威风
variety	 [vəˈraɪəti]	n. 	多样；种类；杂耍；变化，多样化
material	 [məˈtɪəriəl]	n. 	材料，原料；素材；布，织物；适当人选
		adj. 	物质的；肉体的；重要的，决定性的；辩证的，推论的
frame	 [freɪm]	n. 	框架；眼镜框；组织；边框
		vt. 	陷害；设计；表达；使适合（某一特殊用途）
		adj. 	有木架的，有构架的
distinguish	 [dɪˈstɪŋgwɪʃ]	vi. 	区分，辨别，分清；辨别是非
		vt. 	区分，辨别，分清；辨别出，识别；引人注目，有别于；使杰出，使著名
scientific	 [ˌsaɪənˈtɪfɪk]	adj. 	科学的；有系统的；应用科学的；精通学理的，有学问的
introduce	 [ˌɪntrəˈdju:s]	vt. 	提出；介绍；引进；作为…的开头
principal	 [ˈprɪnsəpl]	adj. 	最重要的；主要的；资本的；本金的
		n. 	首长，负责人；主要演员，主角；[法]委托人，当事人；本金
Jack		n. 	杰克（男子名）；[电影]超级插班生
		 	[人名] [苏格兰人、英格兰人姓氏] 杰克来源于古法语教名及拉丁语Jacobus的法语形式；[人名] [苏格兰人、英格兰人姓氏] 杰克 John的昵称，可能借自低地德语或荷兰语的昵称Jankin,Jackin,即Jan+昵称后缀kin；[男子名] 杰克 John的昵称
kill	 [kɪl]	vt.& vi. 	杀死…
		vt. 	使停止[结束，失败]；破坏，减弱，抵消；使痛苦，使受折磨；使笑得前仰后合，使笑死了
		n. 	杀死；猎；被捕杀的动物；猎物
		adj. 	致命的
collection	 [kəˈlekʃn]	n. 	收集，采集；征收；收藏品；募捐
fell	 [fel]	vt. 	砍倒，打倒
		n. 	兽皮；一季的木材采伐量
		adj. 	残忍的；凶恶的
		v. 	掉下；摔倒；变坏(fall的过去式)
entertain	 [ˌentəˈteɪn]	vt. 	热情款待；使有兴趣；抱着，怀有；考虑
		vi. 	热情款待
pieces	 ['pi:sɪz]	n. 	（尤指一套中的）一件( piece的名词复数 )；片；条；部分
		v. 	凑合( piece的第三人称单数 )；凑成；修补；组合资料（以便了解情况）
management	 [ˈmænɪdʒmənt]	n. 	管理；管理人员；管理技巧，处事的能力
otherwise	 [ˈʌðəwaɪz]	adv. 	否则；另外；别的方式
		adj. 	别的，另外的；不同的
		conj. 	否则，不然
security	 [sɪˈkjʊərəti]	n. 	安全；保证，担保；保护，防护；有价证券
		adj. 	安全的，保安的，保密的
danger	 [ˈdeɪndʒə(r)]	n. 	危险；危险物，威胁
entirely	 [ɪnˈtaɪəli]	adv. 	完全地；完整地；全部地；彻底地
