the	 [ðə]	art. 	指已提到的人（物）；指说话人与听者已知的人（物）；用于独一无二的事物前；与形容词最高级和序数词连用
use	 [ju:s]	n. 	使用；使用权；功能
		v. 	使用；运用；消耗；服用
an	 [ən]	art. 	一（在元音字母前代替不定代词a）；一任一某一；一个
each	 [i:tʃ]	adj. 	每；各自的
		pron. 	每个；各自
which	 [wɪtʃ]	pron. 	哪一个；哪一些；哪个；那，指前面提到的事物
		adj. 	哪一个；哪一些
she	 [ʃi]	pron. 	她，它
do	 [du]	aux. 	构成疑问句和否定句；代替动词；用于加强语气
		vt. 	做；干；进行；从事
		vi. 	表现；进展；引起；行过
		n. 	社交聚会；社交活动；宴会
how	 [haʊ]	adv. 	怎样；健康状况如何；到何种地步；以任何方式
		n. 	方法；方式
their	 [ðeə(r)]	pron. 	他（她，它）们的；在提及性别不详的人时，用以代替 him 或 her
if	 [ɪf]	conj. 	如果，倘若；即使；〈口〉是否；假设
		n. 	条件，设想
will	 [wɪl]	n. 	愿意；意志（力）；[法]遗嘱
		vt. 	决心要；将（财产等）遗赠某人；用意志力驱使（某事发生）
		vi. 	愿意， 希望， 想要
		aux. 	将，将会；会，要
up	 [ʌp]	adv. 	在上面，在高处；起床，起来；向上；由低到高
		adj. 	向上的；上升的；竖立的，垂直的；举起的
		vt.& vi. 	增加；加速；提高；举起，拿起
		prep. 	在…的上端；向高处；沿…而去；向…上游
		n. 	上升，升高；兴旺，繁荣；上坡；（价格等）上涨
other	 [ˈʌðə(r)]	adj. 	别的；其他的；（两个中的）另一个；其余的
		pron. 	其他的；（指两个人或事物中的第二个）那个；（指一组中其余的人或事物）其余的；（指与说话人所在位置等相反的方向或地点）另一边
		n. 	[the other]对立面；对立的事物
about	 [əˈbaʊt]	prep. 	关于；大约；在…周围
		adv. 	大约；在附近；在四周；几乎
		adj. 	在附近的；四处走动的；在起作用的；在流行中的
out	 [aʊt]	adv. 	出局；在外，在外部；完全，彻底；出版
		prep. 	（表示来源）从；（从…里）出来；（表示不在原状态）脱离；离去
		vt. 	使熄灭；揭露；驱逐
		adj. 	外面的；出局的；下台的；外围的
		n. 	不流行；出局
many	 [ˈmeni]	adj. 	许多，多的
		pron. 	（与复数动词连用）大多数人
then	 [ðen]	adv. 	那时；然后；那么；话说回来
		adj. 	当时的；那时的
them	 [ðəm]	pron. 	他们；她们；它们
these	 [ði:z]	adj. 	这些的
		pron. 	这些
so	 [səʊ]	adv. 	这样；很；（表示程度）这么；同样
		conj. 	（表示因果关系）因此；（表示目的）为了；（引出下文）；（认为某事无关紧要，尤用于反驳他人的指责时）（口语）
		pron. 	如此；这样；大约；左右
		int. 	[表示同意、赞成等] 好啦，就这样吧！停下！（停住）别动！；[表示惊讶、冷淡等] 哦；真的吗
		adj. 	真的；事实如此的；如此的；整齐的
some	 [səm]	adj. 	一些；某个；大约；相当多的
		pron. 	一些；若干；其中的一部分；（数量不确切时用）有些人
		adv. 	非常；相当；稍微
her	 [hə(r)]	pron. 	(she的宾格)她；(she的所有格)她的；她，指某个国家，（一艘）船
would	 [wʊd]	aux. 	将，将要；愿意；会，打算；大概
		v. 	(will 的过去式，用于转述)将
make	 [meɪk]	vt. 	做，制造；生产，制定；使成为；使产生
		vi. 	开始；尝试；行进；增大
		n. 	制造；生产量；性格；形状，样式
like	 [laɪk]	vt. 	喜欢；（与 would 或 should 连用表示客气）想；想要；喜欢做
		prep. 	（表示属性）像；（表示方式）如同；（询问意见）…怎么样；（表示列举）比如
		adj. 	相似的；相同的
		n. 	相类似的人[事物]；喜好；爱好；（尤指被视为没有某人或某物那么好的）种类，类型
		conj. 	像…一样；如同；好像；仿佛
		adv. 	（非正式口语，代替 as）和…一样；如；（非正式口语，思考说下句话、解释或举例时用）大概；可能
him	 [hɪm]	pron. 	(he的宾格)他
into	 [ˈɪntə]	prep. 	（表示方向）进入…中；（表示所属）输入；（表示状态）进入…状态；（表示时间）持续到
time	 [taɪm]	n. 	时间；时刻；时代；次
		vt. 	为…安排时间；测定…的时间；调准（机械的）速度；拨准（钟、表）的快慢
		vi. 	合拍；和谐；打拍子
		adj. 	定时的；定期的；[美国英语]分期（付款）的
		int. 	[体育]时间到，（一场或一局等的）比赛时限，暂停
has	 [həz]	v. 	有( have的第三人称单数 )；（亲属关系中）接受；拿；买到
look	 [lʊk]	vt.& vi. 	看，瞧
		vi. 	注意；面向；寻找；看起来好像
		n. 	看；（尤指吸引人的）相貌；眼神；样子
		int. 	（插话或唤起注意）喂，听我说
two	 [tu:]	n. 	两个；两个东西；两点钟；一对
		adj. 	两个的；我同
		num. 	两个；第二；二
more	 [mɔ:(r)]	adv. 	更，更多；达到或处于更大的范围或程度；此外，更加
		adj. 	更多的；(many)的比较级；附加的，额外的
		pron. 	更多的或附加的人或事物
		n. 	更多；附加，添加
write	 [raɪt]	vt.& vi. 	写；写信；写作；作曲
go	 [gəʊ]	vi. 	走；离开；去做；进行
		vt. 	变得；发出…声音；成为；处于…状态
		n. 	轮到的顺序；精力；干劲；尝试
see	 [si:]	vt.& vi. 	看见；领会，理解；查看；参观
		n. 	主教教区；主教权限；牧座
number	 [ˈnʌmbə(r)]	n. 	数字；数量；号码；编号
		v. 	标号；总计；把…算作
no	 [nəʊ]	adv. 	不；否；一点也没有
		adj. 	没有的；不许的；一点儿也没有；决不是的
		n. 	不；否定，否认；反对票；否决票
		abbr. 	数字(number)；元素锘(nobelium)的符号
way	 [weɪ]	n. 	道路；方法；方向；某方面
		adv. 	远远地，大大地
could	 [kəd]	aux. 	“can”的过去式；能够，打算；用于假设语气的条件句；用于虚拟语气的结论句
people	 [ˈpi:pl]	n. 	人，人类；居民；人民；种族
		vt. 	居住于，布满；使住满人，在…殖民；把动物放养在
my	 [maɪ]	adj. 	我的(I的所有格形式)
		int. 	啊呀；天啊
than	 [ðən]	conj. 	比（用于比较级）；宁愿…而不愿；除…以外；一…就
		prep. 	超过；比
first	 [fɜ:st]	n. 	第一，最初；头等；一号，；[乐]高音部
		adv. 	最早，最初；首次；宁愿；优先
		adj. 	第一流的；最初的，最早的；基本的，概要的；高音的
		num. 	第一
water	 [ˈwɔ:tə(r)]	n. 	水；雨水；海水；海域
		v. 	给…浇水；供以水；加水稀释；流泪
been	 [bi:n]	v. 	用来表示某人或某物即主语本身，用来表示某人或某物属于某一群体或有某种性质（ be的过去分词 ）；在，存在；不受干扰；去过了；be的过去分词
call	 [kɔ:l]	v. 	呼唤，喊叫；召唤，叫来，召集；下令，命令；打电话给
		n. 	喊叫，大声喊；电话联络；必要，理由；要求
who	 [hu:]	pron. 	谁；什么人；关系代词，有先行词；孰
oil	 [ɔɪl]	n. 	油；石油；油画；燃油
		vt. 	给…加油
		vi. 	化成油
its	 [ɪts]	pron. 	(it的所有格形式)它的；厥
now	 [naʊ]	adv. 	现在；其时；立刻；（改变话题或要对方做某事前，引起对方注意）喂
		adj. 	现在的；当今的；现任的
		n. 	现在；目前；目前
		conj. 	由于；既然
find	 [faɪnd]	v. 	发现；找到；查明；发觉
		n. 	发现物；被发现的人
long	 [lɒŋ]	adj. 	长的；长时间的；冗长的，过长的；长音的
		adv. 	长久地；始终；遥远地
		n. 	长时间，长时期；[语]长音节；（服装的）长尺寸；长裤
		vi. 	渴望，极想
down	 [daʊn]	adv. 	（坐、倒、躺）下；向下；（表示范围或顺序的限度）下至
		prep. 	（从高处）向下；（表示位置）在…的下方；（表示方向）沿着…向下；（表示时间）自…以来
		adj. 	向下的；沮丧的；计算机或计算机系统停机；（以…）落后于对手的
		n. 	（鸟的）绒羽；绒毛；软毛；汗毛
		vt. 	放下；（尤指大口或快速地）喝下；使摔倒；击落（敌机等）
		vi. 	[常用于祈使句中]下去；下来；卧倒；下降
day	 [deɪ]	n. 	一天；白天；时期；节日
		adj. 	日间的；逐日的
		adv. 	每天；经常在白天地
did	 [dɪd]	v. 	做( do的过去式)；干；学习；研究
get	 [get]	vt. 	得到；抓住；说服；受到（惩罚等）
		vt.& vi. 	到达，来
		vi. 	成为；开始；设法对付；获得利益或财富
		n. 	生殖，幼兽；赢利
come	 [kʌm]	vi. 	来；开始；出现；发生
		vt. 	做；装扮…的样子；将满（…岁）
		int. 	嗨！
made	 [meɪd]	adj. 	…制的；（人工）做成的，拼成的；虚构的；保证成功的
		v. 	使(make的过去式和过去分词)
may	 [meɪ]	aux. 	可以；也许；会；但愿
		n. 	[May]五月；山楂属植物；（五朔节装饰用的）绿枝花枝；（春天开花的）绣线菊属植物
part	 [pɑ:t]	n. 	部分；零件；参加；地区
		vt. 	使分裂；拆移；使分开
		vi. 	分开；分离；分岔
		adv. 	不完全地，部分地
		adj. 	不完全的，部分的
because	 [bɪˈkɒz]	conj. 	因为
come	 [kʌm]	vi. 	来；开始；出现；发生
		vt. 	做；装扮…的样子；将满（…岁）
		int. 	嗨！
people	 [ˈpi:pl]	n. 	人，人类；居民；人民；种族
		vt. 	居住于，布满；使住满人，在…殖民；把动物放养在
just	 [dʒʌst]	adv. 	刚才；仅仅，只是；正好；刚要
		adj. 	公正的，合理的；恰当的；合法的；正确的
say	 [seɪ]	vi. 	说， 讲；表明，宣称；假设；约莫
		vt. 	表明；念；说明；比方说
		n. 	发言权；说话；要说的话；发言权
each	 [i:tʃ]	adj. 	每；各自的
		pron. 	每个；各自
those	 [ðəʊz]	adj.& pron. 	that的复数
		adj. 	那些的，那
		n. 	那，那个( that的名词复数)；（指较远的人或事物）那；（指已提到过或已知的人或事物）那；（特指）那
take	 [teɪk]	vt. 	拿，取；采取；接受（礼物等）；耗费（时间等）
		vi. 	拿；获得
		n. 	镜头；看法；收入额；场景
day	 [deɪ]	n. 	一天；白天；时期；节日
		adj. 	日间的；逐日的
		adv. 	每天；经常在白天地
good	 [gʊd]	adj. 	好的；优秀的；有益的；漂亮的，健全的
		n. 	好处，利益；善良；善行；好人
		adv. 	同well
how	 [haʊ]	adv. 	怎样；健康状况如何；到何种地步；以任何方式
		n. 	方法；方式
long	 [lɒŋ]	adj. 	长的；长时间的；冗长的，过长的；长音的
		adv. 	长久地；始终；遥远地
		n. 	长时间，长时期；[语]长音节；（服装的）长尺寸；长裤
		vi. 	渴望，极想
Mr	 ['mɪstə(r)]	abbr. 	Mister 先生；Master 少爷；Mother 母亲；molecular radius 分子半径
own	 [əʊn]	n. 	自己的事物；自己人
		vt. 	拥有；承认
		vi. 	承认
		adj. 	自己的；特有的
too	 [tu:]	adv. 	也；太；很；非常
little	 [ˈlɪtl]	adj. 	小的；琐碎的；娇小的；幼小的
		adv. 	不多，略微；少许，一点；短时间地
		n. 	（表示否定）微少；没有多少；短时间
		det. 	（数量上）微少的，少到几乎没有的；(a little)少量的，一些
use	 [ju:s]	n. 	使用；使用权；功能
		v. 	使用；运用；消耗；服用
US	 [ˌju: ˈes]	abbr. 	United States 美国
very	 [ˈveri]	adj. 	很，非常；恰好是，正是；十足的；特有的
		adv. 	很，非常；充分，完全
great	 [greɪt]	adj. 	伟大的，杰出的；优异的，显著的；很多的；重大的
		adv. 	[口语]很好地；令人满意地，成功地，顺利地；得意地
		n. 	大人物们；伟大人物；重要人物，大师；名家
still	 [stɪl]	adv. 	仍，仍然；更，还要；静静地；〈诗〉常，不断地
		adj. 	不动的，静止的；不狂暴的，温柔的；没有活力的，死气沉沉的
		n. 	平静，寂静；剧照；静止摄影；蒸馏器
		vt.& vi. 	（使某物）平静下来，安静；〈古〉烧（酒），蒸馏
		conj. 	但是；然而
men	 [men]	n. 	人( man的名词复数 )；人类；男人；男子汉
here	 [hɪə(r)]	adv. 	在这里；这时；在这一点上；（给某人东西或指出某物时说）
		n. 	这里
		int. 	喂；嗨
life	 [laɪf]	n. 	生活，生计；生命，性命；一生，寿命；人生，尘世
both	 [bəʊθ]	adj. 	二者，两者都
		pron. 	二者
		adv. 	二者，二者都
		conj. 	不仅…而且…，…和…都
between	 [bɪˈtwi:n]	prep. 	在…之间；私下，暗中；在…中任择其一；来往于…之间
		adv. 	当中，中间
old	 [əʊld]	adj. 	老的；古老的；以前的；（用于指称被替代的东西）原来的
		n. 	古时
under	 [ˈʌndə(r)]	prep. 	在…下面，在表面之下；在…的假定表面或掩饰下；少于，小于；在…情况下
		adv. 	在下面；少于；在水下；在昏迷中
		adj. 	较低的，下面的
last	 [lɑ:st]	n. 	末尾；最后；上个；鞋楦（做鞋的模型）
		vt. 	经受住；到…之后；够用；足够维持（尤指某段时间）
		adj. 	最近的；最后的；最不可能的；惟一剩下的
		vi. 	持续
		adv. 	上一次，最近一次；最后
never	 [ˈnevə(r)]	adv. 	从不，从来没有；一点也不，决不；不会…吧，没有；不曾
place	 [pleɪs]	n. 	位；地方；职位；座位
		vt. 	放置；获名次；投资；评价
		vi. 	得名次；名列前茅；[美国英语][赛马]得第二名；准确把…推到预定地点
same	 [seɪm]	adj. 	同一的；相同的，同样的
		pron. 	同一事物；同样的人；（和…）同样的事物；（数目、颜色、大小、质量等）相同
		adv. 	同样，类似
another	 [əˈnʌðə(r)]	adj. 	又一个；再一个；另一的；其他一种
		pron. 	另一个，别个；再一个
think	 [θɪŋk]	vt. 	想；思索；以为；看待
		vi. 	思辩；考虑；构想；回忆
		adj. 	深思的；供思考的
		n. 	想；想法
house	 [haʊs]	n. 	房屋；全家人；（从事某种生意的）公司；（英国）下议院
		v. 	给…提供住房；收藏；安置
while	 [waɪl]	conj. 	在…期间；与…同时；虽然；而
		n. 	（一段）时间
		vt. 	消磨，打发（时间）；（愉快而懒散地）度过（时间）（常与 away 连用）
high	 [haɪ]	adj. 	高的；高尚的，崇高的；高音调的；高级的，高等的
		adv. 	（程度等）高地；高价地；奢侈地
		n. 	高处，高位；[气象学]高气压；高压地带；高水平
right	 [raɪt]	adv. 	立刻，马上；向右，右边；恰当地；一直
		adj. 	右方的；正确的；合适的；好的，正常的
		n. 	正确，正当；右边；权利；右手
		vt. 	纠正；扶直，使正；整理；补偿
		vi. 	（船舶等）复正，恢复平稳
might	 [maɪt]	aux. 	表示可能；表示许可；表示询问情况
		n. 	力气；力量；威力；权力
		v. 	可以；应该
came	 [keɪm]	v. 	来( come的过去式 )；到达；达到（认识、理解或相信的程度）；出生
off	 [ɒf]	prep. 	从…落下；离开；从…去掉；下班
		adv. 	离开；距，离；被取消；下班
		adj. 	不新鲜的；不能接受；不礼貌
		n. 	起跑
		v. 	杀死
find	 [faɪnd]	v. 	发现；找到；查明；发觉
		n. 	发现物；被发现的人
states		n. 	国家( state的名词复数 )；州；[the states][口语]美国；心态
		v. 	规定( state的第三人称单数 )；陈述；确定；[法律]详述（案情等）
since	 [sɪns]	prep. 	从…以来；自从…之后；自从
		adv. 	以后，此后；后来；（距今几年）以前；（从那时候起几年）以前
		conj. 	自从…以来；自从…的时候起；既然；因为
used	 [ju:st]	adj. 	用过的；习惯于；二手的；旧的
		v. 	使用（ use的过去式和过去分词）；常常，经常
give	 [gɪv]	vt.& vi. 	给予；赠送；作出
		vt. 	供给；产生；举办；（为购买某物或做某事而）支付
		vi. 	（物体）塌下；让步
		n. 	伸展性，弹性
against	 [əˈgenst]	prep. 	反对；对…不利；紧靠；以防
three	 [θri:]	num. 	三；三个；第三（章，页等）
		n. 	三岁；三个人[东西]；三，三个
		adj. 	三的；三个的
himself	 [hɪmˈself]	pron. 	（反身代词）他自己；（用以加强语气）他亲自，他本人
look	 [lʊk]	vt.& vi. 	看，瞧
		vi. 	注意；面向；寻找；看起来好像
		n. 	看；（尤指吸引人的）相貌；眼神；样子
		int. 	（插话或唤起注意）喂，听我说
few	 [fju:]	adj. 	很少的；很少；（与复数名词和复数动词连用）有些；几乎没有的
		pron. 	很少；有些（人、事物、地方）；（与复数动词连用）少数人；不和…一般多
		n. 	很少数
general	 [ˈdʒenrəl]	adj. 	大致的；综合的；总的，全体的；普遍的
		n. 	上将；一般；一般原则；常规
hand	 [hænd]	n. 	手；协助，帮助；（工具等的）把，柄；掌管
		vt. 	传递，交给；搀扶；支持
school	 [sku:l]	n. 	学校，学院；学业；学派；学科
		vt. 	训练，锻炼；教育，教导；约束；给…上学
part	 [pɑ:t]	n. 	部分；零件；参加；地区
		vt. 	使分裂；拆移；使分开
		vi. 	分开；分离；分岔
		adv. 	不完全地，部分地
		adj. 	不完全的，部分的
small	 [smɔ:l]	adj. 	小的；难为情的；低级的，卑劣的；细微的，微弱的
		adv. 	小小地；卑鄙地
		n. 	细小部分，腰部；琐碎东西；身份低的人；矮小的人
American	 [əˈmerɪkən]	n. 	美国人，美洲人；美国英语
		adj. 	美国的，美洲的；地道美国式的
home	 [həʊm]	n. 	家；家庭；家庭生活；终点
		adj. 	家庭的；家用的；本地的；本部的
		adv. 	在家；在家乡；深深地；深入地
		vi. 	回家；有家；朝向；自动导航
		vt. 	把…送回家；送…回家；给…提供住处；使有安身之处
during	 [ˈdjʊərɪŋ]	prep. 	在…的时候；在…期间，当…之时；其间
number	 [ˈnʌmbə(r)]	n. 	数字；数量；号码；编号
		v. 	标号；总计；把…算作
again	 [əˈgen]	adv. 	再一次；再说；此外；不过
Mrs	 ['mɪsɪz]	n. 	太太；夫人；置于地方、运动、职业等名称之前，用来称呼公认是这事物的代表的已婚妇女
around	 [əˈraʊnd]	adv. 	大约；旋转；到处，四处；在周围
		prep. 	围绕；在附近；前后，左右；在…周围
thought	 [θɔ:t]	n. 	思想；想法；关心；思索
		v. 	想( think的过去式和过去分词)；思索；以为；认为
went	 [went]	v. 	进行( go的过去式 )；去；进展
without	 [wɪˈðaʊt]	adv. 	在外部；户外；缺少；没有或不显示某事物
		prep. 	没有，缺乏；在外面
		conj. 	除非，如果不
however	 [haʊˈevə(r)]	adv. 	不管到什么程度；无论如何；然而；可是
		conj. 	不管怎样
govern	 [ˈgʌvn]	vt. 	统治；管理；治理；支配（词或短语的形式或用法）
		vi. 	控制，支配；操纵
does	 [dʌz]	conj. 	做，有用，工作
		v. 	做( do的第三人称单数 )；干；学习；研究
		n. 	雌鹿（或雌兔、雌羚羊等）( doe的名词复数 )
got	 [gɒt]	v. 	得到(get的过去式和过去分词)；抓住；说服；受到（惩罚等）
public	 [ˈpʌblɪk]	adj. 	公众的，公共的；公开的；政府的；人人知道的，知名的
		n. 	大众；社会；公共场所；（文学家等的）爱读者
United	 [juˈnaɪtɪd]	adj. 	统一的；联合的；团结一致的；[植]连生的
		v. 	“unite”的过去式和过去分词；团结；（为某事）联合，联手，团结
point	 [pɔɪnt]	n. 	点；要点；得分；标点
		vt. 	（意思上）指向；削尖；加标点于；指路
		vi. 	表明；指向
end	 [end]	n. 	结果；端；终止；最后部分
		vt.& vi. 	结束，终止
become	 [bɪˈkʌm]	vi. 	变为，成为；变得；变成
		vt. 	适合，适宜；相称，相当；变成；发生
head	 [hed]	n. 	上端；头脑；头部；首脑，首长
		vt. 	用头顶；前进；作为…的首领；站在…的前头
		vi. 	朝…行进；出发；向…方向移动；船驶往
		adj. 	头的；在前头的；首要的；在顶端的
once	 [wʌns]	adv. 	一次，一趟；一倍；曾经；一旦
		conj. 	一旦…就…；一经
		n. 	一次，一回
course	 [kɔ:s]	n. 	课程；航线；行动方向；一道菜
		vt. 	快速地流动；奔流；跑过；追逐
		vi. 	沿…（方向）前进；指引航线；快跑；迅速移动
fact	 [fækt]	n. 	事实，实情；实际；真相，证据；犯罪行为
upon	 [əˈpɒn]	prep. 	在…上面；当…时候
need	 [ni:d]	vt. 	需要；必须
		aux. 	必须；不得不
		n. 	需要；需要的东西；责任；贫穷
		vi. 	（表示应该或不得不做）有必要
system	 [ˈsɪstəm]	n. 	体系，系统；制度；身体；方法
set	 [set]	vt. 	放置，安置；使处于某种状况；设置；摆放餐具
		vi. 	落山；出发；凝结
		n. 	一套，一副；集合；布景；电视机
		adj. 	固定的；位于…的；顽固的；安排好的
every	 [ˈevri]	det. 	每个；每；所有可能的；充足的
war	 [wɔ:(r)]	n. 	战争；战争期间；斗争；论战
		vi. 	进行战斗，作战；同…处于交战状态
put	 [pʊt]	vt. 	放；表达；给予（重视、信任、价值等）；使处于（某种状态）
		vt.& vi. 	使感觉到；使受到…的影响
		vi. 	说；猛推；将…送往；使与…连接
		n. 	[方]笨蛋，怪人；对策
		adj. 	固定的；不动的
form	 [fɔ:m]	n. 	形状，形式；外形；方式；表格
		vt. 	形成；构成；组织；塑造
		vi. 	形成，产生；排队，整队
water	 [ˈwɔ:tə(r)]	n. 	水；雨水；海水；海域
		v. 	给…浇水；供以水；加水稀释；流泪
took	 [tʊk]	v. 	拿( take的过去式 )；接受；学习；取得
program	 [ˈprəʊgræm]	n. 	程序；节目，节目单；计划，安排
		v. 	[计]给…编写程序；为…制定计划；设计安排活动；编排
present	 [ˈpreznt]	adj. 	现在的；目前的；出席的；[语法学]现在时的
		n. 	现在；礼物；瞄准
		vt. 	介绍；出现；提出；赠送
		vi. 	举枪瞄准
government	 [ˈgʌvənmənt]	n. 	政府；政体；治理的形式；管辖，治理
thing	 [θɪŋ]	n. 	事件，形势；东西，事物；家伙；事业
told	 [təʊld]	v. 	表明( tell的过去式和过去分词 )；讲；知道；讲述
possible	 [ˈpɒsəbl]	adj. 	可能的；可接受的；合理的，可以允许的；不坏的
		n. 	可能性，潜在性；可能的人物，可能有的事；最高分
group	 [gru:p]	n. 	组，团体；群，批；（雕塑等的）群像；（英美的）空军大队
		vt.& vi. 	使成群，集合
		vt. 	分类，归类
large	 [lɑ:dʒ]	adv. 	大大地；夸大地；详细地；顺风地
		adj. 	大的；大规模的；大型号的；广泛的
		v. 	玩个痛快；（尤指跳舞和饮酒）作乐
until	 [ənˈtɪl]	prep. 	到…为止；在…以前
		conj. 	到…为止，在…以前；直到…才
always	 [ˈɔ:lweɪz]	adv. 	总是，老是；永远，始终；常常；不断地
city	 [ˈsɪti]	n. 	城市；全市居民；（由国王或女王授予特权，通常有大教堂的）特许市；（由政府授予特权的）特权市
order	 [ˈɔ:də(r)]	n. 	命令；秩序；规则，制度；次序
		vt. 	命令；订购；整理
		vi. 	下订单
away	 [əˈweɪ]	adv. 	离开，远离；在远处；消失
		adj. 	不在的；遥远的；客场比赛
called	 [kɔ:ld]	v. 	叫( call的过去式和过去分词 )；通电话；认为；估计
