missing	 [ˈmɪsɪŋ]	adj. 	失去的；下落不明的
		n. 	包裹；包装袋；包装盒；一组建议
Unfortunately	 [ʌnˈfɔ:tʃənətli]	adv. 	不幸地，遗憾地；可惜；不巧
shame	 [ʃeɪm]	n. 	羞愧；羞辱；可耻的人；羞愧感
		vt. 	使蒙羞；玷辱；使感到羞愧；使相形见绌
performances	 [pə'fɔ:mənsɪz]	n. 	履行( performance的名词复数 )；性能；表现；演出
reform	 [rɪˈfɔ:m]	n. 	改革，改良，改造；改正
		vt.& vi. 	改善
		vt. 	改革；重组
		vi. 	重组
		adj. 	改革的
skirt	 [skɜ:t]	n. 	裙子；边缘；（连衣裙、外衣等的）下摆；（车辆或机器基座的）挡板
		vt.& vi. 	位于…的边缘；沿…的边缘走；绕开；避开
drill	 [drɪl]	n. 	操练；钻头；军事训练；（应对紧急情况的）演习
		vt.& vi. 	钻（孔）；打（眼）；操练；训练
		vt. 	作…演习，操练
expert	 [ˈekspɜ:t]	n. 	专家，能手；权威；行家，高手；熟练者
		adj. 	专家的；（技术）熟练的；老手；需要专门知识（或技术）的
		vt. 	以专家身份研究（或检查），像专家那样研究（或检查）；由专家审读（书籍等）
		vi. 	做专家工作，担任专家，成为高手（或能手）
leads	 ['ledz]	n. 	（盖屋顶用的）（薄）铅片； 铅框；领导( lead的名词复数 )；领先；主角；线索
		v. 	带路( lead的第三人称单数 )；领导；指挥；领先
garage	 [ˈgærɑ:ʒ]	n. 	车库；汽车修理站；飞机库
		vt. 	把…送入车库；把（汽车）开进车库
Indians		n. 	印度人( Indian的名词复数 )；印第安人
classification	 [ˌklæsɪfɪˈkeɪʃn]	n. 	分类；分级；类别；（动植物等的）分类学
thereby	 [ˌðeəˈbaɪ]	adv. 	由此，从而；在那附近
bride	 [braɪd]	n. 	新娘，即将（或刚刚）结婚的女子；姑娘
artistic	 [ɑ:ˈtɪstɪk]	adj. 	艺术的；有美感的；风雅的；（尤指）有美术才能的
nights	 [naɪts]	adv. 	夜间
		n. 	夜( night的名词复数 )；晚上；（举行盛事的）夜晚；…之夜
presents	 [p'rɪzents]	n. 	现在( present的名词复数 )；礼物；[复数]本作品；[语法学]现在时态
		v. 	举向( present的第三人称单数 )；面向；举枪瞄准；（分娩时婴儿）露出
reveal	 [rɪˈvi:l]	vt. 	显露；揭露；泄露；[神]启示
		n. 	揭示，展现；[建]门侧，窗侧
jacket	 [ˈdʒækɪt]	n. 	短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
		vt. 	给…穿夹克；给…装护套；给…包上护封；〈口〉打
attempted	 [əˈtemptɪd]	v. 	试图( attempt的过去式和过去分词)；尝试；试图夺取或攻克（堡垒、要塞等）；试图征服（高山）
		adj. 	未遂的，企图的
parked	 [pɑ:kt]	adj. 	停泊的，停放的
		v. 	停放（车辆等）(park的过去式和过去分词)
survive	 [səˈvaɪv]	vi. 	幸存，活下来
		vt. 	比…活得长，经历…之后还存在；幸存
		vt.& vi. 	幸免于难；挺过；艰难度过
envelope	 [ˈenvələʊp]	n. 	信封，封皮；壳层，外壳；包裹物；[生物学]膜，包袋
mercy	 [ˈmɜ:si]	n. 	宽容；怜悯；幸运；侥幸
alert	 [əˈlɜ:t]	adj. 	警觉的，警惕的，注意的；思维敏捷的；活泼的
		n. 	警报；警戒状态
		vt. 	向…报警
massive	 [ˈmæsɪv]	adj. 	大的，重的；大块的，大量的；魁伟的，结实的；大规模的
secure	 [sɪˈkjʊə(r)]	adj. 	安全的；牢固的；有把握的；安心的
		vt. 	保护；（使）获得；使安全；担保
		vi. 	获得安全，变得安全；安全，保险；承保，担保；[航海学]停止工作
clock	 [klɒk]	n. 	钟，时钟；计时器；秒表；仪表
		vt. 	记录（时间或速度）；测…的速度
		vi. 	打卡；记下时间
crucial	 [ˈkru:ʃl]	adj. 	关键性的，极其显要的；决定性的；十字形的
dealers	 ['di:ləz]	n. 	商人( dealer的名词复数 )；贩毒者；毒品贩子；发牌者
Symphony	 [ˈsɪmfəni]	n. 	交响乐，交响曲；序曲，插曲；〈古〉和谐，和谐的东西
whip	 [wɪp]	vt. 	鞭打，抽打；严厉地折磨、责打或责备，迫使；把…打起泡沫
		vi. 	烤，烘；烘干
		n. 	鞭子；鞭伤，鞭痕；鞭状物；组织秘书，立法机构的一员
bundle	 [ˈbʌndl]	n. 	捆；一批（同类事物或出售的货品）；一大笔钱；风趣的人
		vt.& vi. 	收集，归拢，把…塞入
		vt. 	额外免费提供（设备等），（尤指出售计算机时）赠送软件
		vi. 	匆匆送走；推搡；赶；（成群地）匆忙赶往
tire	 [ˈtaɪə(r)]	vt. 	使…疲惫；使…厌烦
		vi. 	厌烦；疲劳
		n. 	轮胎；头饰
inevitable	 [ɪnˈevɪtəbl]	adj. 	不可避免的；必然发生的；总会发生的；必然发生的事
radical	 [ˈrædɪkl]	adj. 	根本的，基本的；激进的；彻底的；[植]根生的
		n. 	激进分子；根基，原子团；[数学]根数
demonstrated		v. 	举行示威游行（或集会）( demonstrate的过去式和过去分词 )；示范。展示；显示；论证
equation	 [ɪˈkweɪʒn]	n. 	方程式；等式；相等；[化学] 反应式
frontier	 [ˈfrʌntɪə(r)]	n. 	边疆，边境；边界，边缘；尚待开发的领域
		adj. 	边疆的，边界的；新垦地的，边地的；开拓的
namely	 [ˈneɪmli]	adv. 	即，也就是；换句话说；亦即；就是说
tent	 [tent]	n. 	帐篷；帐篷状物；塞子
		vi. 	住帐蓬
		vt. 	用帐蓬遮盖；向…供应帐逢；将塞条嵌进（伤口）；观察，看护，照料
tragic	 [ˈtrædʒɪk]	adj. 	悲剧的；悲惨的
electron	 [ɪˈlektrɒn]	n. 	电子
FALLING	 ['fɔ:lɪŋ]	n. 	落下；坠落；下降；陷落
		adj. 	落下的，下降的
		v. 	降低( fall的现在分词 )；来临；成为；降落
rector	 [ˈrektə(r)]	n. 	教区长；教区首席神父；校长，院长
stable	 [ˈsteɪbl]	adj. 	稳定的；沉稳[持重]的；[物理学]稳定平衡的；持久的
		n. 	厩，马厩，马棚，牛棚；畜舍；统称某人拥有（或训练的）赛马；在同一地方工作或训练的)一批人
		vt. 	使关进畜舍（或马厩、牛棚等），使放入马厩般的室内
		vi. 	被关在畜舍内，（人）生活在厩一般的地方
Poland	 ['pəʊlənd]	n. 	波兰（欧洲国家）
healthy	 [ˈhelθi]	adj. 	健康的；健全的；大量的；有益于健康的
chlorine	 [ˈklɔ:ri:n]	n. 	[化]氯
cape	 [keɪp]	n. 	斗篷； 披肩；海角； 岬
pathology	 [pəˈθɒlədʒi]	n. 	病理（学）；〈比喻〉异常状态
Jess		 	[人名] [英格兰人姓氏] 杰斯/杰丝 Joseph的昵称；[女子名] 杰斯/杰丝 Jane,Jean,Joan,Jo(h)anna等的昵称
inadequate	 [ɪnˈædɪkwət]	adj. 	不充足的；不适当的；不足胜任的；信心不足的
nest	 [nest]	n. 	（鸟）窝；温床；（套叠在一起的）一套物件；藏匿处
		vt. 	筑巢；嵌套
		vi. 	筑巢
lacking	 [ˈlækɪŋ]	v. 	缺乏，缺少(lack的现在分词)；不足
		adj. 	缺乏的；没有的；不足的
Howard		n. 	霍华德（男子名）
shouting	 [ˈʃaʊtɪŋ]	n. 	喊叫，呼叫
		v. 	呼，喊，叫( shout的现在分词 )；大声讲
so-called	 [səʊ kɔ:ld]	adj. 	所谓的，号称的
discussions	 [dɪs'kʌʃnz]	n. 	讨论( discussion的名词复数 )；商讨；详述；论述
stroke	 [strəʊk]	n. 	（游泳或划船的）划；中风；（打、击等的）一下；（成功的）举动
		vt. 	（用笔等）画；轻抚；轻挪；敲击
		vi. 	[体育]击球；[划船]作尾桨手，指挥划桨
		vt.& vi. 	（打字时）击打键盘
spots	 [spɒts]	n. 	地点( spot的名词复数 )；斑点；少量；污迹
Castro		 	[人名] 卡斯特罗；[地名] [巴西] 卡斯特鲁
gesture	 [ˈdʒestʃə(r)]	n. 	手势，姿势；举止，动作；〔古语〕仪态；[计算机]光笔指令
		vt. 	做手势
		vi. 	用手势表现，表达或指导
concluded		v. 	结束( conclude的过去式和过去分词 )；得出结论；断定；推断出
Falls		 	[人名] [英格兰人姓氏] 法尔斯 Fallas的变体；[地名] [美国] 福尔斯
awareness	 [əˈweənəs]	n. 	察觉，觉悟，意识
long-term	 [lɒŋ tɜ:m]	adj. 	长期的；长远
loans	 ['ləʊnz]	n. 	借出物，借款( loan的名词复数 )
		v. 	借出，贷与（尤指钱）( loan的第三人称单数 )；出借（贵重物品给博物馆等）
universities		n. 	大学( university的名词复数 )
remarked		v. 	谈论，评论( remark的过去式和过去分词 )；注意到…
effectiveness	 [ɪˌfek'tɪvnɪs]	n. 	有效，有力；有效性；效益；效用
depending	 [dɪ'pendɪŋ]	v. 	依靠( depend的现在分词 )；依赖；信赖；决定于
circular	 [ˈsɜ:kjələ(r)]	adj. 	圆形的；环行的；迂回的，绕行的；供传阅的，流通的
		n. 	通知，通告；印制的广告，传单
covering	 [ˈkʌvərɪŋ]	n. 	掩蔽物，遮盖物
		v. 	覆盖( cover的现在分词)
splendid	 [ˈsplendɪd]	adj. 	壮观的，豪华的；极好的或令人满意的；闪亮的；为众人所推崇的
subsequent	 [ˈsʌbsɪkwənt]	adj. 	后来的；随后的；作为结果而发生的；附随的
Harold		n. 	男子名
prestige	 [preˈsti:ʒ]	n. 	威信，威望，声望；声誉；（财势的）显赫；信望
Mills		 	[人名] [英格兰人、苏格兰人姓氏] 米尔斯 Mill的变体；[地名] [美国] 米尔斯
constitute	 [ˈkɒnstɪtju:t]	vt. 	构成，组成；制定，设立；等同于；指派
kids		n. 	小孩( kid的名词复数 )；年轻人；小山羊；小山羊皮
magnitude	 [ˈmægnɪtju:d]	n. 	巨大，广大；重大，重要；量级；（地震）级数
heading	 [ˈhedɪŋ]	n. 	标题，题名；信头；[航]航向；斩首
		v. 	用头顶(head的现在分词)
Van	 [væn]	 	范（男子名）
apparatus	 [ˌæpəˈreɪtəs]	n. 	仪器，器械；机器；机构，机关；器官
ROMANTIC	 [rəʊˈmæntɪk]	adj. 	浪漫的，谈情说爱的，多情的，风流的，香艳的；空想的，虚构的，怪诞的，想入非非的，不实际的，难实行的（计划等）；传奇（式）的，小说般的，情节离奇的；浪漫主义的
		n. 	富于浪漫气息的人；浪漫主义作家[画家等]，浪漫派诗人[艺术家]；浪漫思想[行为]
wedding	 [ˈwedɪŋ]	n. 	婚礼；婚宴；结婚纪念日；结合
		vt. 	与…结婚；使完婚；使紧密结合；把形式与作用紧密结合的风格
		vi. 	婚礼；结婚
dancers	 ['dɑ:nsəz]	n. 	跳舞者，舞蹈演员( dancer的名词复数 )
proportion	 [prəˈpɔ:ʃn]	n. 	比，比率；[数学]比例（法）；面积；相称，平衡
		vt. 	使成比例；使相称；使均衡
juniors	 ['dʒu:njəs]	n. 	年少者( junior的名词复数 )；（美国中学或大学的）三年级学生；职位较低者；子弟
awake	 [əˈweɪk]	adj. 	醒着的；警惕的
		vt.& vi. 	唤醒；唤起；觉悟
Salvation	 [sælˈveɪʃn]	n. 	拯救，救助；救星，救世主；解救办法，救济措施；救济品
covers		n. 	盖子( cover的名词复数 )；（书等的）封面；（对身分、感情或违法事情的）掩盖；（保险公司的）保险
		v. 	覆盖( cover的第三人称单数 )；掩护；通过；代替
excitement	 [ɪkˈsaɪtmənt]	n. 	兴奋，激动；令人兴奋的事；刺激，振奋
household	 [ˈhaʊshəʊld]	n. 	家庭，户；（集合词）全家人，（包含人在内的）家眷，家属，家里人；家庭；（英）王室
		adj. 	家庭的，家内的，一家的；日常的，家常的，普通的；家喻户晓的；王室的
Pa		abbr. 	protactinium镁
calendar	 [ˈkælɪndə(r)]	n. 	日历；历法；日程表；（一年之中的）重大事件（或重要日期）一览表
		vt. 	把…记入日程表中；把…列入表中；为（文件等）作分类索引；将…排入日程表
promote	 [prəˈməʊt]	vt. 	促进，推进；提升，助长；促销；使（学生）升级
		vi. 	成为王后或其他大于卒的子
collective	 [kəˈlektɪv]	adj. 	集体的；共同的；集合的；集体主义的
		n. 	[统]集体；[语]集合名词；集团
Missiles	 ['mɪsaɪlz]	n. 	导弹( missile的名词复数 )；投射物
survival	 [səˈvaɪvl]	n. 	幸存，生存；幸存者；遗物；遗风
demonstrate	 [ˈdemənstreɪt]	vt. 	证明，证实；论证；显示，展示；演示，说明
		vi. 	示威游行
fishing	 [ˈfɪʃɪŋ]	n. 	捕鱼，钓鱼；渔业；捕鱼术；捕鱼权
		v. 	捕鱼(fish的现在分词)
		adj. 	钓鱼的；钓鱼用的
Museum	 [mjuˈzi:əm]	n. 	博物馆
cream	 [kri:m]	n. 	乳霜；精英；奶油色；乳脂，奶油
		vt. 	把…搅成糊状（或奶油状）混合物；彻底打败，狠揍
variation	 [ˌveəriˈeɪʃn]	n. 	变化，变动；变异，演变；变奏曲；变量
Chandler		 	[人名] [英格兰人姓氏] 钱德勒职业名称，蜡烛制作者或销售者，来源于中世纪英语、拉丁语，含义是“蜡烛”(candle)+er；[地名] [加拿大、美国] 钱德勒
beef	 [bi:f]	n. 	牛肉；菜牛（饲养以供肉食的牛）；体力；怨言，牢骚
		vi. 	抱怨，大发牢骚
poets		n. 	诗人( poet的名词复数 )
gathered	 ['gæðəɒ]	v. 	（使）聚集( gather的过去式和过去分词 )；集合；推断；了解
remote	 [rɪˈməʊt]	adj. 	（时间上）遥远的；远离的；远程的；微小的
		n. 	远程操作；遥控器
		vt. 	使…向远方延伸，把…延展到远处
confronted		v. 	面对( confront的过去式和过去分词 )；使面对；使对质；处理
Russians		n. 	俄国人，俄罗斯人，俄语( Russian的名词复数 )
testing	 [ˈtestɪŋ]	n. 	测试
		adj. 	与试验有关的，试验的；棘手的
		v. 	测验(test的现在分词)
initiative	 [ɪˈnɪʃətɪv]	n. 	主动性；主动精神；倡议；主动权
		adj. 	自发的；创始的；初步的
eating	 [ˈi:tɪŋ]	n. &adj. 	吃；食物；食用的；可生食的
		v. 	吃，喝，吃饭（ eat的现在分词 ）；（食物）吃起来感到；咬；（人）感到苦恼（或烦恼）
cooking	 [ˈkʊkɪŋ]	n. 	烹饪术；如火如荼地进行；热火朝天；在干什么
		adj. 	烹调用的（水果，锅，炉等）
		v. 	烹调( cook的现在分词)；编造；篡改；密谋
crown	 [kraʊn]	n. 	王冠；花冠（有时象征胜利）；王权；（某物的）顶部
		vt. 	（尤指通过增添成就、成功等）使圆满；为…加冕；使圆满完成；给…以荣誉
		vi. 	露顶
swift	 [swɪft]	adj. 	迅速的；敏捷的；立刻的；突然发生的
		n. 	雨燕；环球金融同业电讯会；[人]斯威夫特，《格利佛游记》作者；[姓氏]斯威夫特
		adv. 	迅速地，敏捷地
slipped	 [slɪpt]	adj. 	打滑，打滑的
		v. 	滑( slip的过去式和过去分词 )；滑脱；下降；（健康状况等）变差
circles		n. 	圆( circle的名词复数 )；环；圈子；圆状物
conception	 [kənˈsepʃn]	n. 	受精，怀孕；胚胎；概念；设想，构想
gardens	 ['gɑ:dnz]	n. 	（用于街名）园( garden的名词复数 )；公园；庭园；宅旁园圃
crowded	 [ˈkraʊdɪd]	adj. 	水泄不通的；拥挤的；肩摩踵接
naked	 [ˈneɪkɪd]	adj. 	裸体的，裸露的；率直的，赤裸裸的；缺乏保护；不加掩饰的
sauce	 [sɔ:s]	n. 	调味汁；酱汁；〈非〉莽撞无礼；〈俚〉烈酒
		vt. 	调味或加沙司于…；给…增加趣味或风味；〈非〉对…无礼
farther	 [ˈfɑ:ðə(r)]	adv. 	更远地；较远地；在更大程度上；进一步
		adj. 	更远的；远的( far的比较级)；遥远的；（某方向的）最远的
electronics	 [ɪˌlekˈtrɒnɪks]	n. 	电子学；电子学应用，电子器件；电子工业；电子流行音乐
plastics	 ['plæstɪks]	n. 	整形外科，外科修补术；塑料，塑料制品( plastic的名词复数 )；信用卡
GORTON		 	戈顿（姓氏）
lodge	 [lɒdʒ]	vi. 	存放；暂住；埋入；（权利、权威等）归属
		vt. 	提出（报告、要求、申诉等）；容纳；寄存；把（权利、权威等）授予
		n. 	小屋，草屋；（北美印第安人的）帐篷；（森林、猎场等的）看守小屋；（学校、工厂等的）传达室
skywave	 [s'kaɪweɪv]	 	天波
emission	 [iˈmɪʃn]	n. 	排放，辐射；排放物，散发物（尤指气体）；（书刊）发行，发布（通知）
invention	 [ɪnˈvenʃn]	n. 	发明；发明物；捏造：内心捏造的东西，特指谎言；发明才能
SCOTTY	 [ˈskɔti]	n. 	苏格兰的一种野狗，苏格兰人
curt	 [kɜ:t]	adj. 	简短的；三言两语的；草率的；敷衍了事的
PROTECTED	 [prə'tektɪd]	v. 	保护( protect的过去式和过去分词 )；防护；投保；关税保护
starts	 [s'tɑ:ts]	v. 	出发，开始（ start的第三人称单数 ）；起动；提出（问题）；开办
tossed		v. 	（轻轻或漫不经心地）扔( toss的过去式和过去分词 )；（使）摇荡；摇匀；（为…）掷硬币决定
conservative	 [kənˈsɜ:vətɪv]	n. 	保守的人；（英国）保守党党员，保守党支持者
		adj. 	保守的；（英国）保守党的；（式样等）不时新的
sponsored		v. 	赞助( sponsor的过去式和过去分词)；资助（某人的培训或教育）；为慈善活动捐资；发起，倡议
		adj. 	赞助的；发起的
reducing	 [rɪ'dju:sɪŋ]	n. 	减轻体重法
		v. 	换算( reduce的现在分词 )；约束；使变为；使变弱
ruled	 [ru:ld]	adj. 	（纸张）有平行线条的
allowing		v. 	允许( allow的现在分词 )；承认；酌增；接受
DOCTORS		n. 	医生，大夫( doctor的名词复数 )；博士
mainly	 [ˈmeɪnli]	adv. 	大部分地；主要地；基本上
acquire	 [əˈkwaɪə(r)]	vt. 	获得，取得；学到
alike	 [əˈlaɪk]	adj. 	同样的，相似的
		adv. 	同样地；两者都，同样地；类似于
companion	 [kəmˈpæniən]	n. 	同伴；[天]伴星(=~star)；（用于书名）指南；同甘共苦的伙伴
		vt. 	同行；陪伴
enterprise	 [ˈentəpraɪz]	n. 	企（事）业单位；事业，计划；事业心，进取心
panel	 [ˈpænl]	n. 	镶板；面；（门、墙等上面的）嵌板；控制板
		vt. 	选定（陪审团）；把…分格；在…上置鞍垫；把…镶入框架内
Islands		 	[电影]岛
Consequently	 [ˈkɒnsɪkwəntli]	adv. 	所以，因此；因此，因而；终于，这样；合乎逻辑的推论是
insist	 [ɪnˈsɪst]	vt.& vi. 	坚持；强调；坚决要求；坚决认为
rob	 [rɒb]	vt. 	抢劫；抢夺，掠夺；非法剥夺；使丧失
		vi. 	抢劫；掠夺
surplus	 [ˈsɜ:pləs]	adj. 	过剩的；多余的
		n. 	剩余额；公积金；顺差；盈余
KANSAS	 ['kænsəz]	n. 	美国堪萨斯州
convenience	 [kənˈvi:niəns]	n. 	方便，便利；便利设施；个人的舒适或利益；（公共）厕所
knocked		v. 	敲，击，打( knock的过去式和过去分词 )；（心）怦怦跳；把…撞击成（某种状态）；批评
poverty	 [ˈpɒvəti]	n. 	贫穷；缺乏，不足；贫瘠，不毛；低劣
winning	 [ˈwɪnɪŋ]	adj. 	获胜的，赢的；成功的，胜利的；吸引人的；迷人的
		n. 	获胜；赢得物；备采煤区
		v. 	win的现在分词
checked	 [tʃekt]	adj. 	方格图案的；受阻的；封闭的
		v. 	检查，核对(check的过去式和过去分词)
seventh	 [ˈsevnθ]	n. 	第七（个）；七分之一；[乐]七度音程
		adj. 	第七的；七分之一的
		adv. 	居第七位地
Dave		n. 	戴夫(David 的昵称)(m.)
		 	[男子名] 戴夫 David的昵称
hatred	 [ˈheɪtrɪd]	n. 	仇恨，憎恶；敌意
barely	 [ˈbeəli]	adv. 	仅仅，勉强，好容易才；几乎不，几乎没有；赤裸裸地，无遮蔽地；公然地，露骨地，公开地
cottage	 [ˈkɒtɪdʒ]	n. 	小屋，村舍；（农舍式的）小别墅；（郊外的）新式住宅，（大院内的）单幢住宅；乡下房子，小房子
helps	 ['helps]	n. 	助手( help的名词复数 )；补救办法；有用
		v. 	帮助( help的第三人称单数 )；有助于，有利于；治疗；避免
lid	 [lɪd]	n. 	盖子；限制；[口]果盖；[口]遮盖
		vt. 	给…盖盖子
movies	 [mu:vɪz]	n. 	电影院；电影( movie的名词复数 )；电影院
dancer	 [ˈdɑ:nsə(r)]	n. 	跳舞者，舞蹈演员；舞女；舞蹈家
Pacific	 [pəˈsɪfɪk]	n. 	太平洋
		adj. 	太平洋的
anyhow	 [ˈenihaʊ]	adv. 	总之；无论如何；不管怎样；随随便便
et	 [et]	 	=and
secondary	 [ˈsekəndri]	adj. 	第二的，中等的；助手，副手；中等教育的；间接的
		n. 	副手，代理人；[天]双星中较小较暗的一个，卫星；[语]次重音
strain	 [streɪn]	vt.& vi. 	拉紧，拉伤；用力拉
		n. 	血统，家族；性格，脾气；语气；一段音乐
		vt. 	拉紧，拽紧或扯紧；尽量使力；扭伤；歪曲
		vi. 	不懈；受到强大的压力；拉紧，紧绷
brick	 [brɪk]	n. 	砖，砖块；砖块状物体；一砖的厚度；〈口〉大好人
		vt. 	用砖建造、砌或铺；用砖围住或堵住
		adj. 	用砖做的；似砖的
fourteen	 [ˌfɔ:ˈti:n]	num. 	十四；十四个；第十四
		n. 	十四的记号；十四岁；十四点钟；十五世纪
ending	 [ˈendɪŋ]	n. 	结局；结束；终结；最后部份
		v. 	结束，终止(end的现在分词)
letting	 [ˈletɪŋ]	n. 	出租
		v. 	让( let的现在分词 )；出租（房屋、房间等）；允许（去某处）；（提出请求或布置任务时说）要
successfully	 [sək'sesfəlɪ]	adv. 	顺利地；成功地
fallout	 [ˈfɔ:laʊt]	n. 	放射尘；（核爆炸后的）沉降物；附带后果；余波
studio	 [ˈstju:diəʊ]	n. 	工作室，画室；[影]演播室，电影制片厂
define	 [dɪˈfaɪn]	vt. 	规定；使明确；精确地解释；画出…的线条
		vi. 	（给词、短语等）下定义，构成释义
maid	 [meɪd]	n. 	女仆，侍女；少女；处女，未婚女子
recording	 [rɪˈkɔ:dɪŋ]	n. 	记录，录音；唱片；录了音的磁带；录音的节目
		adj. 	记录的，录音的，录影的；自记的；记录用的
		v. 	记录，录音，拍摄( record的现在分词)；显示，自动记下；标明；发表正式（或法律方面的）声明
parking	 [ˈpɑ:kɪŋ]	n. 	（车辆等的）停放；停车场所，停车位
		v. 	停车(park的ing形式)
selling	 ['selɪŋ]	n. 	贩卖，出售
		v. 	卖，售，销( sell的现在分词 )；经销；推销；出卖
colored	 ['kʌləd]	adj. 	有色的，彩色的
competitive	 [kəmˈpetətɪv]	adj. 	竞争的，比赛的；（价格等）有竞争力的；（指人）好竞争的；[生化] 抑制酶作用的
lightly	 [ˈlaɪtli]	adv. 	轻轻地，轻巧地；轻松地，轻快地；轻易地，容易地，不费力地；轻率地
Trail		 	[人名] 特雷尔；[地名] [加拿大、美国] 特雷尔
Christianity	 [ˌkrɪstiˈænəti]	n. 	基督教；基督教徒；基督教教义
poetic	 [pəʊˈetɪk]	adj. 	诗的，韵文的；有诗意的；诗人的
		n. 	诗学；诗论
films		n. 	影片（ film的名词复数 ）；电影；胶片；薄层
gallery	 [ˈgæləri]	n. 	画廊，走廊；（教堂，议院等的）边座；旁听席；大批观众
troubled	 [ˈtrʌbld]	adj. 	焦虑的；担忧的；混乱的；存在诸多问题的
		v. 	费神，费心( trouble的过去式和过去分词)
muscles	 ['mʌslz]	n. 	肌肉( muscle的名词复数 )；（操纵他人的）力量；权力；肌肉组织
Outer		 	[地名] 外（英语）
markets		n. 	交易( market的名词复数 )；市集；需求；交易情况
		v. 	在市场上出售某物( market的第三人称单数 )；推销；去市场买东西
eliminate	 [ɪˈlɪmɪneɪt]	vt. 	排除，消除；淘汰；除掉；干掉
respectively	 [rɪˈspektɪvli]	adv. 	各自地；各个地；分别地
controversy	 [ˈkɒntrəvɜ:si]	n. 	公开辩论；论战
softly	 [ˈsɒftli]	adv. 	柔软地；静静地；温和地；柔和地
intelligent	 [ɪnˈtelɪdʒənt]	adj. 	聪明的；理解力强的；有智力的；[计]智能的
Horn		 	合恩（南美最南端的一岛名）
invariably	 [ɪnˈveəriəbli]	adv. 	总是；不变的；“invariable”的派生；无不
ceiling	 [ˈsi:lɪŋ]	n. 	天花板；最高限度；云幕高度；隔板，舱室垫板
outcome	 [ˈaʊtkʌm]	n. 	结果；成果；出路
articles		n. 	用品；条款( article的名词复数 )；文章；物品；（报刊上的）论文
