planned	 [plænd]	adj. 	计划了的，根据计划的
		vt. 	限定，修饰；描述，形容；使合适；证明…合格
		vi. 	合格或成为合格；取得…的资格
Morgan	 [ˈmɔ:ɡən]	n. 	摩根马（美国佛蒙特州轻型马，与美国快马相似）
victory	 [ˈvɪktəri]	n. 	胜利；克服；成功
fields	 ['fi:ldz]	n. 	田( field的名词复数 )；（作某种用途的）场地；（学习或研究的）领域；运动场
pleasure	 [ˈpleʒə(r)]	n. 	愉快；娱乐；令人高兴的事
		vt. 	使高兴；使满意
		vi. 	觉得高兴，享受；寻欢作乐
contain	 [kənˈteɪn]	vt. 	包含，容纳；克制，遏制；牵制；包括或由…构成
fold	 [fəʊld]	vt. 	折叠；合拢；抱住；笼罩
		vi. 	折叠起来；彻底失败
		n. 	折痕；信徒；羊栏；（起伏地的）凹处，洼
review	 [rɪˈvju:]	n. 	复习；回顾；（报刊的）评论；[法]复审
		vt. 	检验；复查；复习；评论
		vi. 	复习功课；写评论
April	 [ˈeɪprəl]	n. 	四月
teach	 [ti:tʃ]	vt. 	教；教导，训练；教授
		vi. 	教书
Richard	 ['rɪtʃəd]	n. 	理查德（男子名）
whisper	 [ˈwɪspə(r)]	vt. 	低声说；私语；密谈，密谋坏事；私下说
		vi. 	沙沙地响；耳语；密谈
		n. 	低语，耳语；飒飒声；[医]嗫音；传闻
chosen	 [ˈtʃəʊzn]	adj. 	挑选出来的，精选的；上帝所选的
		v. 	挑选( choose的过去分词 )；选择；选定；喜欢
metal	 [ˈmetl]	n. 	金属；金属元素；成色；金色
		vt. 	以金属覆盖
PRINCIPLES	 [p'rɪnsəplz]	n. 	原则；原理；道义；节操；原则( principle的名词复数 )；准则；工作原理；[P-]（基督教科学派信奉的）神圣的原理
competition	 [ˌkɒmpəˈtɪʃn]	n. 	竞争；比赛；竞争者；[生]生存竞争
railroad	 [ˈreɪlrəʊd]	n. 	铁路，铁道；铁路系统，铁路公司
		vt. 	由铁道运输；铺设铁路；以捏造不实之罪使入狱
		vi. 	在铁路工作；乘火车旅行；筑铁路
safe	 [seɪf]	adj. 	安全的；保险的，肯定的；无损的；提供保护的
		n. 	保险箱，保险柜；冷藏箱；〈俚〉避孕套
proved	 [p'ru:vd]	v. 	证明( prove的过去式和过去分词 )；检验，试验
carrying	 ['kærɪɪŋ]	adj. 	运送的，运输的
		v. 	支撑( carry的现在分词 )；携带；输送；运载
horses	 ['hɔ:sɪz]	n. 	马( horse的名词复数 )；骑马的军人，骑兵
kiss	 [kɪs]	vt. 	接吻；轻拂；轻微碰撞
		vi. 	接吻；轻触
		n. 	吻；轻触；小糖果；蛋白甜饼，球形饼干
Mercer		 	[人名] [英格兰人姓氏] 默瑟职业名称，商人，来源于古法语；[地名] [美国、新西兰] 默瑟
wheel	 [wi:l]	n. 	轮子；旋转；Wheels 汽车；有…轮子的汽车（或自行车等）
		vi. 	转动，旋转；突然转变方向
		vt. 	推；拉（车）；使变换方向；（使）迅速转身
sail	 [seɪl]	vi. 	航行；起航；驾驶帆船
		vt. 	航行；开船；（水禽）游泳；驾驶（船）
		n. 	帆船；航行；帆状物；航行距离
wants	 ['wɒnts]	n. 	需求，欲望，必需品；缺乏( want的名词复数 )；需要的东西；贫穷；贫困
		v. 	缺少( want的第三人称单数 )；应该；打算；需要…在场
compared	 [kəmˈpeəd]	adj. 	比较的，对照的
relieve	 [rɪˈli:v]	vt. 	解除；缓解；换班；（去厕所的一种委婉说法）方便
approximately	 [əˈprɒksɪmətli]	adv. 	近似地，大约；许
wood	 [wʊd]	n. 	木材；树林；木制品
		vi. 	收集木材
		vt. 	在…植树造林；给…添加木柴
		adj. 	木制的；失去理智的
historical	 [hɪˈstɒrɪkl]	adj. 	历史的，历史上的；有关历史研究的；有根据的；基于史实的
persuade	 [pəˈsweɪd]	vt.& vi. 	说服；劝说；使相信；使信服
smiled	 [s'maɪld]	v. 	以微笑表示( smile的过去式和过去分词 )
crowd	 [kraʊd]	n. 	人群；群众；一群
		vi. 	拥挤，聚集
		vt. 	挤满；将…塞进；催逼
motion	 [ˈməʊʃn]	n. 	运动；手势；动机，意向；请求
		vt. 	打手势；向某人点头或摇头示意；打手势要求[指示]
		vi. 	运动；打手势
shore	 [ʃɔ:(r)]	n. 	岸；滨；国家（尤指濒海国家）；支柱
		vt. 	支撑；支持
suit	 [su:t]	n. 	一套外衣；西装，套装；诉讼；恳求
		vt. 	适合于（某人）；尤指服装、颜色等相配；合身；适宜
		vi. 	合适，相称
calls	 ['kɔ:lz]	n. 	调用
		v. 	叫( call的第三人称单数 )；通电话；认为；估计
seat	 [si:t]	n. 	席位，座位；所在地；场所；臀部
		vt. 	使就座；使就职；使获得座位（或席位）；可容纳若干座位
deserve	 [dɪˈzɜ:v]	vt. 	应受；应得；值得
		vi. 	应受报答；应得报酬；应得赔偿；应受惩罚
San	 [sɑ:n]	n. 	=Saint；桑河（波兰河名）
snow	 [snəʊ]	n. 	雪，雪花；积雪；雪季
		vt. 	使纷纷落下；使变白；下雪；被雪覆盖，被雪阻挡
		vi. 	降雪
double	 [ˈdʌbl]	adj. 	双的；两倍的；两面派的；双人用的
		vt. 	使加倍；把…对折；重复
		vi. 	加倍，加倍努力；快步走
		adv. 	两倍地；双重地
		n. 	两倍；双精度型
educational	 [ˌedʒuˈkeɪʃənl]	adj. 	教育（方面）的；为教育的；有教育意义的；提供咨询的
neighborhood	 ['neɪbəhʊd]	n. 	地区；某地区的人；与某处邻近的地区；临近街坊
relative	 [ˈrelətɪv]	adj. 	相关的；相对的；相互有关的；比较而言的
		n. 	亲属，亲戚；相关物；亲缘植物（或动物）；[语法学]关系词
teachers	 ['tɪtʃɚs]	n. 	教师( teacher的名词复数 )；师资
Independent	 [ˌɪndɪˈpendənt]	adj. 	自主的；不相关连的；无党派的；不相干的人所做的（或提供的）
		n. 	独立自主的人；无党派人士
puzzle	 [ˈpʌzl]	vt. 	使迷惑，使难解
		vt.& vi. 	为难，伤脑筋
		n. 	智力测验，智力玩具；难题；令人费解的事[人]；谜一般的事物
nose	 [nəʊz]	n. 	鼻子；嗅觉；芳香，香气；突出的部分
		vt. 	嗅出，闻出；用鼻子触；用鼻子品评（酒）等；探出
		vi. 	小心探索着前进；探问
dogs		n. 	公狗( dog的名词复数 )；（尤用于形容词后）家伙；[机械学]夹头；不受欢迎的人
waited		v. 	等候( wait的过去式和过去分词 )；等待；（尤指长期地）希望；盼望
naturally	 [ˈnætʃrəli]	adv. 	自然地，表现自然地，顺理成章地；合理地，当然，不用说；生来，天然地；自自然然，不做作地
stone	 [stəʊn]	n. 	石头；宝石；矿石；（膀胱或肾脏中的）结石
		vt. 	向扔石块；用石头铺；以石掷向；除（水果的）硬核
		adj. 	石制的；石头似的；[S-]石器时代的；粗陶制的
		adv. 	石一般的
origin	 [ˈɒrɪdʒɪn]	n. 	起源，根源；出身；[数]原点，起点；[解]（筋，神经的）起端
Rome	 [rəʊm]	n. 	罗马（意大利首都）；罗马不是一天建成的；伟业非一日之功；入乡随俗
wild	 [waɪld]	adj. 	野生的；野蛮的；狂热的；荒凉的
		n. 	荒野；未开化的地方；偏远地区；人烟稀少的地区
		adv. 	疯狂地；胡乱地
scale	 [skeɪl]	n. 	规模；比例（尺）；鱼鳞；级别
		vt. 	测量；攀登；刮去…的鳞片
		vi. 	衡量；攀登；（鳞屑）脱落；生水垢
tremble	 [ˈtrembl]	vi. 	发抖；焦虑；颤动；轻轻摇晃
		n. 	震颤，发抖；颤动，震动；摇晃；战栗
		vt. 	使挥动；用颤抖的声音说出；颤动，震动；焦虑，担忧
drawn	 [drɔ:n]	adj. 	疲惫的；憔悴的；互无胜负的；拔出鞘的
		v. 	绘画( draw的过去分词)；拖；拉；拔出
guess	 [ges]	vt. 	推测；猜测，臆测；猜中；假定，认为
		vi. 	猜，猜测；猜对
		n. 	猜测；推断
communism	 [ˈkɒmjunɪzəm]	n. 	共产主义；共产主义制度
absence	 [ˈæbsəns]	n. 	缺席，缺勤；缺乏，缺少，无；心不在焉，不注意
roof	 [ru:f]	n. 	屋顶，房屋；最高部，顶部；最高限度；口腔顶部
		vt. 	给…盖顶；覆盖；保护，庇护
sections	 ['sekʃənz]	n. 	部分( section的名词复数 )；节；部件；部门
sky	 [skaɪ]	n. 	天（空）
		vt. 	将…击向空中；将…高挂
walls	 ['wɔ:lz]	n. 	墙( wall的名词复数 )；屏障；隔阂；壁垒
Aircraft	 [ˈeəkrɑ:ft]	n. 	飞机，航空器，
complain	 [kəmˈpleɪn]	vi. 	抱怨，诉苦；申诉，控诉，抗议
		vt. 	诉说，申诉，控告[后面常跟从句]
independence	 [ˌɪndɪˈpendəns]	n. 	独立，自主；足够维持闭居生活的收入；独立心；自恃心
busy	 [ˈbɪzi]	adj. 	忙碌的；占线；繁华的；爱管闲事的
		vt. 	忙着做某事；使奔走；使经营
		n. 	〈英俚〉侦探；包打听
elect	 [ɪˈlekt]	vt. 	选举；挑出，挑选；决定
		vi. 	选择，挑选；进行选举
		adj. 	精选的，选出的；选中的，当选而尚未就职的
		n. 	被选的人
revolution	 [ˌrevəˈlu:ʃn]	n. 	革命；彻底改变；旋转；运行，公转
roar	 [rɔ:(r)]	vi. 	咆哮；喧闹；吼叫；混乱或吵闹
		vt. 	大声喊出；使…轰鸣；吼，咆啸
		n. 	吼叫声，咆哮声，呼啸声；狂笑，大笑
willing	 [ˈwɪlɪŋ]	adj. 	乐意的，愿意的；自愿的，心甘情愿的
		v. 	will的现在分词；决心；用意志力驱使
League		 	[人名] 利格
mine	 [maɪn]	pron. 	(I的所有格)我的（东西）
		n. 	矿；矿井；地雷；水雷
		vt.& vi. 	在…中开采，开采
		vt. 	在…中[下]布雷；以地雷[水雷]炸毁
nurse	 [nɜ:s]	n. 	护士，看护；奶妈，保姆，阿妈，保育员；保护人，培养者，养成所，发祥地；[植]保护树，[虫]保护虫，保育虫，[动]世代交替的无性期的个体
		vt.& vi. 	护理；照料；喂；吃奶
		vt. 	培育；怀抱；搂抱；调治
liberal	 [ˈlɪbərəl]	n. 	自由主义者；自由党党员
		adj. 	开明的；自由的；慷慨的；不拘泥的
completed	 [kəm'pli:tɪd]	adj. 	完整的，包含全部内容的
		v. 	完成；使完善( complete的过去式和过去分词 )；使完整；填写（表格）
poem	 [ˈpəʊɪm]	n. 	诗；韵文；诗一样的作品；富有诗意的东西
dollar	 [ˈdɒlə(r)]	n. 	美元；一元纸[硬]币；金钱；财富
ordered	 [ˈɔ:dəd]	adj. 	安排好的，整齐的，规则的
		v. 	（医生）开（处方）( order的过去式和过去分词 )；订购；（上帝、命运等）注定；点（饭菜，饮料等）
levels	 ['levəlz]	n. 	水平( level的名词复数 )；水平线；水平仪；水平测量
ton	 [tʌn]	n. 	吨；大量，许多
settled	 [ˈsetld]	adj. 	不变的，稳定的；固定的；妥；停当
allowance	 [əˈlaʊəns]	n. 	津贴，补贴，零用钱；限额；折扣；默许，默认
		vt. 	给（某人）零用钱或津贴；按定量供给
bitter	 [ˈbɪtə(r)]	adj. 	苦的；尖锐的；严寒的；怀恨的，愤愤不平的
		n. 	苦；苦味物；苦啤酒；[航]系缆柱上的一圈缆索
		adv. 	激烈地；痛苦地；严厉地
		vt. 	使变苦
realized		adj. 	realize的过去式
		v. 	实现( realize的过去式和过去分词 )；了解；（所担心的事）发生；以…价格卖出
moon	 [mu:n]	n. 	月亮，月球；卫星；月状物，新月状物
		vi. 	闲逛；出神；[俚语] 露出屁股以戏弄
		vt. 	虚度
sensitive	 [ˈsensətɪv]	adj. 	敏感的；感觉的；[仪]灵敏的；易受影响的
		n. 	敏感的人；有灵异能力的人
servant	 [ˈsɜ:vənt]	n. 	仆人，佣人，雇工；[美]奴仆，奴隶；官吏，公务员，服务员；随员，献身…的人
hunger	 [ˈhʌŋgə(r)]	n. 	饿，饥饿；欲望
		vt.& vi. 	（使）饥饿
		vi. 	渴望
China	 ['tʃaɪnə]	n. 	中国；[电影]中国1971
		 	[地名] [墨西哥] 奇纳；[地名] [俄罗斯] 奇纳河；[地名] [美国] 柴纳
sale	 [seɪl]	n. 	卖，出卖；销售额，销售；销路；拍卖
appearance	 [əˈpɪərəns]	n. 	外貌，外观；出现，露面；[哲]现象
lips	 [lɪps]	abbr. 	logical inferences per second 每秒的逻辑推论
		n. 	嘴唇( lip的名词复数 )；（容器或凹陷地方的）边缘；粗鲁无礼的话
policies		n. 	政策( policy的名词复数 )；策略；政府；策略性
actions	 ['ækʃ(ə)nz]	n. 	action；行动( action的名词复数 )；作用；动作；积极的活动
strengthen	 [ˈstreŋθn]	vt. 	加强，巩固；勉励，激励；增加…的艺术效果；（价格）上涨
		vi. 	变强；变坚挺
Monday	 [ˈmʌndeɪ]	n. 	星期一；周一
onto	 [ˈɒntə]	prep. 	到…之上；对…了解；[数]映射到…上
		adj. 	映射的；自身的；映成的
directed	 [dɪ'rektɪd]	adj. 	有指导的；有管理的；定向的；被控制的
		v. 	（用建议、指示、有益的情报等）指导( direct的过去式和过去分词 )；导演（戏剧或电影）；指示方向；把…对准（某方向或某人）
leading	 [ˈli:dɪŋ]	adj. 	重要的，主要的；前列的；首位的
		n. 	行距；铅框
		v. 	领导（lead的ing形式）
machinery	 [məˈʃi:nəri]	n. 	（总称）机器；（政府等的）机关，组织；机器的运转部份；机械装置
theater	 ['θɪətə]	n. 	剧场；戏剧界；戏剧效果；[军]战区
Paris	 ['pærɪs]	n. 	巴黎
Frank	 [fræŋk]	n. 	弗兰克（男子名）
somewhere	 [ˈsʌmweə(r)]	adv. 	某处，在某处；在[到]某处；不知道在[到]什么地方；某地
Statements	 [s'teɪtmənts]	n. 	声明( statement的名词复数 )；（思想、观点、文章主题等的）表现；（文字）陈述；结算单
mill	 [mɪl]	n. 	磨坊；磨粉机；榨汁机；工厂
		vt. 	研磨，粉碎；搅拌；磨，铣；轧花边（在纸币上）
		vi. 	惊跑，乱闯；经研磨
projects	 [p'rədʒekts]	n. 	项目( project的名词复数 )；课题；（政界领导人的）长期目标；有组织的任务
		v. 	投射( project的第三人称单数 )；计划；提出；展现
starting	 ['stɑ:tɪŋ]	n. 	出发，开始
		v. 	出发，启程( start的现在分词 )；起动；提出（问题）；开办
