sponsor	 [ˈspɒnsə(r)]	n. 	发起者，主办者；担保者；倡议者，提案人；后援组织
auto	 [ˈɔ:təʊ]	n. 	汽车
		vi. 	乘汽车
Elaine	 [ɪˈleɪn]	n. 	伊莱恩（女子名）
		 	[女子名] 伊莱恩来源于希腊语，含义是“光明，光辉的人”(light,bright one)
loaded	 [ˈləʊdɪd]	adj. 	载重的，有负荷的；充满…的；〈美俚〉喝醉了的；〈美俚〉富有的
		v. 	把…装上车[船]( load的过去式)；装…
Di		 	[女子名] 黛 Diana的昵称；[地名] [布基纳法索、科特迪瓦] 迪村
gang	 [gæŋ]	n. 	帮派，团体；盗贼等的)一帮；（工具，机械等的）一套；〈美俚〉棒球队
		vt. 	使结成一帮；成群地袭击
		vi. 	结伙行动
regularly	 [ˈregjələli]	adv. 	有规律地，按时，照例，按部就班地；整齐地，有条不紊地；经常，不断地；定期地
surrender	 [səˈrendə(r)]	vi. 	投降；屈服；自首
		vt. 	使投降；放弃；交出；听任
		n. 	投降；放弃；屈服；（保险的）解约
chiefly	 [ˈtʃi:fli]	adv. 	首先，第一；主要；尤其
		adj. 	领袖（般）的
chart	 [tʃɑ:t]	n. 	图表；航海图；排行榜
		vt. 	绘制地图；记录；记述；跟踪（进展或发展）
architect	 [ˈɑ:kɪtekt]	n. 	建筑师，设计师；创造者，缔造者；造物主
totally	 [ˈtəʊtəli]	adv. 	完全，整个地，全部地；百分之百；干净
belongs		v. 	属于( belong的第三人称单数 )；是…的成员；应被放在；适应
panic	 [ˈpænɪk]	n. 	恐慌，惊慌；（金融方面）大恐慌；成功；〈俚〉非常滑稽的人
		vt. 	使恐慌
		vi. 	十分惊慌
		adj. 	恐慌的，惊慌失措的
capabilities		n. 	能力( capability的名词复数 )；可能；容量；[复数]潜在能力
substitute	 [ˈsʌbstɪtju:t]	vt.& vi. 	代替，替换，代用
		n. 	代替者；替补（运动员）；替代物；[语法学]代用词
		vi. 	用…替代
Savage	 [ˈsævidʒ]	 	萨维奇（姓氏）
occasions		n. 	机会( occasion的名词复数 )；时刻；原因；需要
racing	 [ˈreɪsɪŋ]	n. 	速度比赛，赛跑，赛马，赛车等；竞赛
		adj. 	专为比赛而设计或饲养的，比赛用的
		vi. 	赛马(race的ing形式)；竞赛
describes		v. 	描写( describe的第三人称单数 )；叙述；画出（图形等）；形容
mess	 [mes]	n. 	混乱；食堂；肮脏；困境
		vt. 	弄脏；搞砸；给…供膳
		vi. 	把事情弄糟；制造脏乱
grows		v. 	种植( grow的第三人称单数 )；扩大；扩展；增加
sticks	 [stɪks]	n. 	乡间，边远地区；棍( stick的名词复数 )；人；枝条；球棍
		v. 	粘贴( stick的第三人称单数 )；张贴；插入；刺入
desperately	 ['despərətlɪ]	adv. 	绝望地；不顾一切地；极度地；猛烈地
implications		n. 	含义( implication的名词复数 )；含蓄；卷入；[逻辑学]蕴涵
Aristotle	 [ˈæristɔtl]	n. 	亚里斯多德（古希腊大哲学家，科学家）
lo	 [ləʊ]	int. 	看，瞧
casual	 [ˈkæʒuəl]	adj. 	偶然的；临时的；随便的；非正式的
		n. 	临时工人；[军]待命士兵；没有固定工作的劳动者；不定期领取救济金的人
Sandburg		 	[人名] 桑德伯格
freely	 [ˈfri:li]	adv. 	自由地，随意地，免费地；直率地；免费地；慷慨地
destiny	 [ˈdestəni]	n. 	命运；天命，天数；命运的三女神；主宰事物的力量
DRINKS	 [drɪŋks]	n. 	饮料( drink的名词复数 )；酒宴；一杯或一份酒
		v. 	喝（酒）( drink的第三人称单数 )；饮；喝酒；（尤指）酗酒
targets		n. 	（服务的）对象( target的名词复数 )；（欲达到的）目[指]标；（射击的）靶子；[军事]军事攻击目标
thrust	 [θrʌst]	vt.& vi. 	猛推；逼迫；强行推入；延伸
		n. 	刺；推力；[军]突击；[地]逆断层
		vi. 	插入；用力向某人刺去；猛然或用力推
novels	 ['nɒvlz]	n. 	（长篇）小说( novel的名词复数 )
MELTING	 [ˈmeltɪŋ]	adj. 	熔化的；融化的；溶解的；混合的
		v. 	（使）融[溶，熔]化( melt的现在分词 )；溶解；（使）消散，消失；（使）软化，变得温柔
formulas	 ['fɔːmjələs]	n. 	（专业术语）公式；方案；准则；程式
unfortunate	 [ʌnˈfɔ:tʃənət]	adj. 	不幸的，倒霉的；不吉利的；不成功的；可惜的，可叹的
		n. 	不幸的人
uneasy	 [ʌnˈi:zi]	adj. 	心神不安的；不稳定的；不舒服的
reliable	 [rɪˈlaɪəbl]	adj. 	可靠的；可信赖的；真实可信的
		n. 	可靠的人
possessed	 [pəˈzest]	adj. 	拥有的，占有的；着魔的，疯狂的
		v. 	拥有( possess的过去式和过去分词)
eliminated		v. 	排除( eliminate的过去式和过去分词 )；消除；除掉；干掉
meanings	 ['mi:nɪŋz]	n. 	含义；意思( meaning的名词复数 )；含义；重要性；价值
bother	 [ˈbɒðə(r)]	vt. 	烦扰，打扰；使…不安，使…恼怒；使迷惑；烦恼
		vi. 	操心；麻烦；烦恼
		n. 	麻烦，操心；累赘；烦扰，吵闹；讨厌的人
insight	 [ˈɪnsaɪt]	n. 	洞察力，洞悉；直觉，眼光；领悟；顿悟
preparing	 [prɪ'peərɪŋ]	adj. 	准备的，预备的
		v. 	准备( prepare的现在分词 )；预备（饭菜）；配备；使（自己）有准备
steadily	 ['stedɪlɪ]	adv. 	稳定地；持续地；稳固地
forests		n. 	森林( forest的名词复数 )；丛林；（森林似的）一丛；一片
hen	 [hen]	n. 	母鸡；雌禽；女人
Physiological	 [ˌfɪzɪə'lɒdʒɪkl]	adj. 	生理学的；生理的
planets	 [p'lænɪts]	n. 	行星( planet的名词复数 )；地球（尤指环境）
Alaska	 [əˈlæskə]	n. 	美国阿拉斯加州
dressing	 [ˈdresɪŋ]	n. 	穿衣；调味品；肥料
		v. 	穿着；装饰(dress的现在分词)
economical	 [ˌi:kəˈnɒmɪkl]	adj. 	节约的；经济的；合算的
herd	 [hɜ:d]	n. 	兽群；牧群；放牧人；群众，民众
		vt.& vi. 	群集，纠结
		vt. 	放牧；（使）向…移动；使成群
Anglo-Saxon	 [ˈæŋgləʊˈsæksən]	n. 	盎格鲁-撒克逊人；盎格鲁-撒克逊语
		adj. 	盎格鲁-撒克逊人的；盎格鲁-撒克逊语的
yell	 [jel]	vt.& vi. 	叫喊，大声叫；叫喊着说
		n. 	叫喊，大声叫；（拉拉队鼓动运动员的）呼喊声
middle-class		adj. 	中层社会的，中产阶级的
alienation	 [ˌeɪlɪə'neɪʃn]	n. 	离间；疏远；（觉得周围环境与自己格格不入的）疏离感；离心离德
sampling	 [ˈsɑ:mplɪŋ]	n. 	抽样；取样；（乐曲的）节录；选录
refund	 [ˈri:fʌnd]	n. 	资金偿还；偿还数额
		vt. 	退还；归还或偿还
		vi. 	进行偿还
HYPOTHALAMIC	 [haɪpəʊθə'læmɪk]	adj. 	丘脑下部的，下丘脑的
foams		n. 	泡沫，泡沫材料( foam的名词复数 )
Skyros		 	[地名] [希腊] 斯基罗斯
Bobbie		n. 	博比(Bob 的异体，Barbara, Roberta 的昵称亦作Bobby)(m. & f.)
		 	[男子名] 博比 Robert的昵称；[女子名] 博比 Roberta的昵称
Deegan		 	[人名] [爱尔兰姓氏] 迪根盖尔语姓氏的英语形式，来源于人名，含义是“黑+头”(black+head)
MERGER	 [ˈmɜ:dʒə(r)]	n. 	（两个公司的）合并；联合体；吸收
JAIL		abbr. 	Justice Against Identification Laws 反鉴定法
saving	 [ˈseɪvɪŋ]	n. 	节约；节俭；储蓄金；挽救
		v. 	拯救( save的现在分词)；收集；保留；避免
		prep. 	除…以外
		adj. 	可取的，保存的；节省的，节约的；补偿的；救助的
Springs		 	[人名] 斯普林斯；[地名] [美国、南非共和国] 斯普林斯
associate	 [əˈsəʊʃieɪt]	vt. 	（使）发生联系；（使）联合；结交；联想
		vi. 	联盟；陪伴同事
		n. 	合伙人；伴侣，同志；非正式会员
		adj. 	联合的；合伙的；非正式的；（性质上）有密切联系的
startled	 ['stɑ:tld]	adj. 	受惊吓的
		v. 	使惊跳，使大吃一惊( startle的过去式和过去分词 )
November	 [nəʊˈvembə(r)]	n. 	十一月；通讯中用以代替字母 n 的词
judges		n. 	法官( judge的名词复数 )；裁判员；评判员；鉴定人
questioning	 [ˈkwestʃənɪŋ]	adj. 	怀疑的，探询的
		v. 	问（某人）问题( question的现在分词 )；对（某事物）表示[感到]怀疑
speeches	 [s'pi:tʃɪz]	n. 	说话( speech的名词复数 )；演说；说话方式；口语
inspection	 [ɪnˈspekʃn]	n. 	检查；检验；视察；检阅
acceptable	 [əkˈseptəbl]	adj. 	可接受的；合意的；（社会上）认同的；（礼物等）令人满意的
Detroit	 [dɪ'trɔɪt]	n. 	美国密歇根州最大城市，世界闻名的汽车城。位于密歇根州境东南部，底特律河西岸，东濒圣克莱尔湖，与加拿大汽车城温莎隔河相望。
displayed	 [dɪsp'leɪd]	v. 	显示( display的过去式和过去分词 )；陈列；张开；泄露
cope	 [kəʊp]	vi. 	成功地应付，对付；对抗
		n. 	长袍；斗篷状覆盖物；墙帽
		vt. 	笼罩；给…盖墙压顶
procurement	 [prəˈkjʊəmənt]	n. 	获得，取得；采购
colonial	 [kəˈləʊniəl]	adj. 	殖民地的；殖民地化的；[生]群体的，集群的；英领殖民地时期的
		n. 	殖民地居民；殖民时代建筑
Socialist	 [ˈsəʊʃəlɪst]	n. 	社会主义者
		adj. 	社会主义的；社会党的
Johnston	 [ˈdʒɔnstən, ˈdʒɔnsn]	n. 	（姓氏） 约翰斯顿
hesitated	 ['hezɪteɪtɪd]	v. 	犹豫( hesitate的过去式和过去分词 )；吞吞吐吐；顾虑；停顿
launched		v. 	发射( launch的过去式和过去分词 )；[计算机]开始（应用程序）；发动；开展（活动、计划等）
crises	 [ˈkraɪsi:z]	n. 	危险，危险期，紧要关头；危机（ crisis的名词复数 ）；危难时刻；决定性时刻；转折点
Michigan		n. 	密歇根州（美国州名）
Wagner	 [ˈwæɡnə]	 	瓦格纳（姓氏； Richard, 1813-1883，德国歌剧家，作曲家）
submitted		v. 	顺从( submit的过去式和过去分词 )；听从；屈服；甘受
forming	 ['fɔ:mɪŋ]	n. 	形成；组成；构成；编成
		v. 	形成，构成，产生( form的现在分词 )；是；（使）成形；结成（友谊）
Rico		 	[人名] 里科；[地名] [美国] 里科
surrounded	 [sə'raʊndɪd]	adj. 	（后面与by,with连用）被…环绕着的
		v. 	包围( surround的过去式和过去分词 )；与…紧密相关；围绕；喜欢结交（某类人）
keeps	 ['ki:ps]	v. 	（使）保持， （使）继续( keep的第三人称单数 )；（食品）保持新鲜；保有；保存
Congressman	 [ˈkɒŋgresmən]	n. 	国会议员（尤指众议员）
dedication	 [ˌdedɪˈkeɪʃn]	n. 	奉献；献身精神；教堂的)献堂礼；（书等作品上的）题词
unlikely	 [ʌnˈlaɪkli]	adj. 	未必的，不一定有把握的；不太可能的；不可能发生的；不像是真的
behalf	 [bɪˈhɑ:f]	n. 	利益；维护；支持
trends	 [trendz]	n. 	趋势( trend的名词复数 )；（海岸、河流、道路等的）走向；流行；时尚
		v. 	伸向( trend的第三人称单数 )；趋向；倾向；使趋向
Philip	 [ˈfilip]	n. 	菲利普（男子名）
Russ		n. 	俄国人，俄语
		adj. 	俄国的，俄国人（语）的
Pitcher		 	[人名] [英格兰人姓氏] 皮彻职业名称，填船缝工，来源于中世纪英语，含义是“沥青”(pitch)
RACES		abbr. 	Radio Amateur Civil Emergency Service 业余无线电爱好者国内应急通讯业务
crossing	 [ˈkrɒsɪŋ]	n. 	人行横道，十字路口；交叉，相交；横越；渡口
		v. 	交叉(cross的现在分词)
definitely	 [ˈdefɪnətli]	adv. 	明确地；确切地；一定地；肯定地
		int. 	（表强烈的肯定）当然
loop	 [lu:p]	n. 	圈，环；[医]宫内避孕环；回路；弯曲部分
		vt.& vi. 	（使）成环，（使）成圈；以环连结；使翻筋斗
fans	 [fæns]	n. 	粉丝；风扇（ fan的名词复数 ）
		v. 	扇（ fan的第三人称单数 ）
masses	 ['mæsɪz]	n. 	民众，劳动阶层；大量( mass的名词复数 )；大多数；[物理学]质量；大量的东西
Vernon		n. 	弗农（男子名）
helpless	 [ˈhelpləs]	adj. 	无助的；无能的；无用的；六亲无靠
replacement	 [rɪˈpleɪsmənt]	n. 	代替；归还，，复位；替代者；补充兵员
Ben	 [ben]	 	本（男子名， Benjamin 的昵称）
Missouri	 [mɪ'zʊərɪ]	n. 	密苏里州（美国州名）
Warwick	 [ˈwɔrik]	 	沃里克（姓氏）
anniversary	 [ˌænɪˈvɜ:səri]	n. 	周年纪念日
		adj. 	周年的；周年纪念的；年年的；每年的
Francis	 [ˈfrɑ:nsɪs]	n. 	弗朗西斯（男子名，涵义：自由之人，无拘无束的人）
Kay		n. 	凯（女子名）
colorful	 ['kʌləfəl]	adj. 	富有色彩的；鲜艳的；多姿多彩的；富有趣味的
Taylor	 [ˈteilə]	n. 	泰勒(m.& f.)
availability	 [əˌveɪlə'bɪlətɪ]	n. 	有效；有益；可利用性；可得到的东西（或人）
killer	 [ˈkɪlə(r)]	n. 	凶手，杀人者；止痛药；宰杀的器具；〈俚〉鬼门关
Joyce	 [dʒɔis]	n. 	乔伊斯（女子名）
drawings	 ['drɔ:ɪŋz]	n. 	绘画( drawing的名词复数 )；制图；图画；图样
Prairie		 	[地名] [澳大利亚、美国] 普雷里
suspected	 [səs'pektɪd]	v. 	猜疑（是）( suspect的过去式和过去分词 )；怀疑；不信任；怀疑…有罪
revolutionary	 [ˌrevəˈlu:ʃənəri]	adj. 	革命的；革命性的，创新的；旋转的
		n. 	革命者，革新者
governing	 [ˈgʌvənɪŋ]	v. 	统治( govern的现在分词)；控制，调节；压制
prospective	 [prəˈspektɪv]	adj. 	预期的；未来的；可能的；有希望的
profits	 [p'rɒfɪts]	n. 	利润，收益，赢利( profit的名词复数 )；益处，得益，好处，裨益；利润率
		v. 	获益，得利于( profit的第三人称单数 )
painter	 [ˈpeɪntə(r)]	n. 	画家，着色者；油漆匠；（系船的）缆绳；破诡计
wheels		n. 	轮子（ wheel的名词复数 ）；旋转；Wheels 汽车；有…轮子的汽车（或自行车等）
conversion	 [kənˈvɜ:ʃn]	n. 	变换，转变；改装物；财产转换，兑换；[逻] 换位（法）
lucky	 [ˈlʌki]	adj. 	运气好的，侥幸的；兆头好的，吉祥的；〈俚〉难得；很恰当的
characterized		adj. 	[医]具有特征的
		v. 	是…的特征( characterize的过去式和过去分词 )；以…为特征；描述（人或物）的特性；使…具有特点（或最引人注目的特征）
winds	 ['waɪndz]	n. 	风( wind的名词复数 )；呼吸；（随食物或饮料）吞下的气；（管弦乐团的）管乐器
		v. 	缠绕( wind的第三人称单数 )；卷绕；转动（把手）；给…上发条
heritage	 [ˈherɪtɪdʒ]	n. 	遗产；继承物；传统；文化遗产
computed		adj. 	[医]计算的，使用计算机的
		v. 	计算，估算( compute的过去式和过去分词 )
inclined	 [ɪnˈklaɪnd]	adj. 	倾斜的；倾向的
		v. 	（使）倾斜( incline的过去式和过去分词)；（使）偏向
lowered	 [ˈləʊəd]	v. 	（使）降低， （使）跌落（ lower的过去式和过去分词 ）；削弱；削减；减少
dishes	 ['dɪʃɪz]	n. 	盘( dish的名词复数 )；餐具；一盘食物；外貌有吸引力的人
marble	 [ˈmɑ:bl]	n. 	大理石；大理石制品；弹子游戏；理智，常识
		adj. 	大理石的；冷酷无情的；有大理石花纹的
		v. 	把（书边）弄上大理石花纹
passengers		n. 	乘客( passenger的名词复数 )；旅客；白吃饭的人；闲散人员
ideological	 [ˌaɪdɪə'lɒdʒɪkl]	adj. 	思想的；意识形态的
monument	 [ˈmɒnjumənt]	n. 	纪念碑；遗迹；遗址；丰碑
shaking	 [ˈʃeɪkɪŋ]	n. 	摇动；挥动；震动；震惊
		adj. 	抖动的，发抖的，颤抖的
		v. 	摇撼( shake的现在分词 )；（使）颤抖；握手；动摇
Vermont	 [və:ˈmɔnt]	n. 	佛蒙特州（美国州名，略作vt.，VT）
Competent	 [ˈkɒmpɪtənt]	adj. 	有能力的，能胜任的；能干的，称职的；足够的，充足的；有决定权的
commodities		n. 	商品( commodity的名词复数 )；农产品；有价值的物品；有用的东西
indirect	 [ˌɪndəˈrekt]	adj. 	间接的；不直截了当的；闪烁其词的；不坦率的
gentlemen	 ['dʒentlmen]	n. 	阁下；先生；有身份的人；绅士
Belgians		n. 	比利时人( Belgian的名词复数 )
obliged	 [əˈblaɪdʒd]	adj. 	感激的；感谢的
		v. 	迫使做（ oblige的过去式和过去分词 ）；使负义务；满足请求；施惠
Katanga	 [kəˈtæŋɡə]	 	加丹加省（扎伊尔沙巴区）
respectable	 [rɪˈspektəbl]	adj. 	可敬的；品行端正的；可观的，相当大的；体面的
displays	 [dɪsp'leɪz]	v. 	显示( display的第三人称单数 )；陈列；张开；泄露
educated	 [ˈedʒukeɪtɪd]	adj. 	有教育的；受过良好训练的
		v. 	教育( educate的过去式和过去分词)；训练；教导，教养
vacuum	 [ˈvækjuəm]	n. 	真空；空白；空虚；清洁
		v. 	用真空吸尘器清扫
enjoyment	 [ɪnˈdʒɔɪmənt]	n. 	享受；令人愉快的事物；享有
theirs	 [ðeəz]	pron. 	他们的；他的或她的
bullets	 ['bʊlɪts]	n. 	子弹( bullet的名词复数 )
resolved	 [rɪˈzɒlvd]	adj. 	下定决心的，断然的；坚决的；已解决的
		v. 	做决定，分解(resolve的过去式和过去分词)
diet	 [ˈdaɪət]	n. 	日常饮食；规定饮食
		vt.& vi. 	（使）节制饮食
		vi. 	节食；进规定饮食
Podger		 	[人名] 波杰
CHOLESTEROL	 [kəˈlestərɒl]	n. 	胆固醇
wondering	 ['wʌndərɪŋ]	adj. 	显出（或感到）惊奇，觉得奇怪，疑惑的
SIDEWALK	 [ˈsaɪdwɔ:k]	n. 	人行道
scared	 [skeəd]	adj. 	恐惧的；惊恐的；担心的
		v. 	使害怕（scare的过去分词）
melody	 [ˈmelədi]	n. 	旋律，曲调；美妙的音乐，和谐的调子；好听的声音；歌曲
Tales	 ['teɪli:z]	n. 	候补陪审员召集令；传说( tale的名词复数 )；（尤指充满惊险的）故事；（精彩但不一定完全真实的）讲述；传言
Cromwell	 [ˈkrɔmwəl]	 	克伦威尔（姓氏）
persuaded		v. 	说服( persuade的过去式和过去分词 )；劝告；使信服；使相信
sixty	 [ˈsɪksti]	num. 	六十
breathing	 [ˈbri:ðɪŋ]	n. 	呼吸；（空气、花香等的）飘动；微风；短暂休息
		adj. 	呼吸着的；活的；栩栩如生的；逼真的
		v. 	呼吸( breathe的现在分词 )；轻声说话；低语；低声说
theoretical	 [ˌθɪəˈretɪkl]	adj. 	理论的；推想的，假设的；空论的
tale	 [teɪl]	n. 	传说，传言；（尤指充满惊险的）故事；坏话，谣言；〈古〉计算，总计
heroic	 [həˈrəʊɪk]	adj. 	有英雄气概的，英雄的，英勇的；记叙英雄及其事迹的；夸张的
		n. 	英雄诗，史诗；英勇行为；夸张的言行；咬文嚼字，文诌诌
shining	 ['ʃaɪnɪŋ]	adj. 	光亮的；华丽的
		v. 	发光( shine的现在分词)
intimate	 [ˈɪntɪmət]	adj. 	亲密的，亲近的；私人的，个人的；内部的；直接的
		n. 	至交；密友
		v. 	暗示，提示；宣布，通知
habits		n. 	习惯( habit的名词复数 )；（修道士或修女穿的）长袍；惯常行为；（吸毒、喝酒、抽烟的）瘾
milligrams		n. 	毫克（千分之一克）( milligram的名词复数 )
protein	 [ˈprəʊti:n]	n. 	[化]朊，蛋白（质）
		adj. 	蛋白质的
punishment	 [ˈpʌnɪʃmənt]	n. 	刑罚，惩罚；严厉对待；给吃苦头
stumbled		v. 	（不顺畅地）说( stumble的过去式和过去分词 )；跌跌撞撞地走；绊脚；（说话、演奏等）出错
Reverend	 [ˈrevɵrɵnd]	n. 	教士，牧师
		adj. 	教士的；可尊敬的，可敬畏的
mode	 [məʊd]	n. 	方式；状况；时尚，风尚；调式
reveals		v. 	显示( reveal的第三人称单数 )；揭示；泄露；[神学]启示
SHU		 	[医][=Shuni virus]舒尼病毒
nuts	 [nʌts]	adj. 	发疯的；傻的；热爱的；迷恋的
		n. 	螺母（ nut的名词复数 ）；坚果；对…着迷的人；疯子
linear	 [ˈlɪniə(r)]	adj. 	直线的，线形的；长度的；一次的，线性的；通过单独的若干阶段来发展
smart	 [smɑ:t]	adj. 	聪明的；敏捷的；漂亮的；整齐的
		vi. 	疼痛；感到刺痛；难过
		n. 	创伤；刺痛；疼痛；痛苦
		vt. 	引起…的疼痛（或痛苦、苦恼等）
		adv. 	聪明伶俐地，轻快地，漂亮地
Faulkner	 [ˈfɔ:knə]	 	福克纳（姓氏； William, 1897-1962，美国小说家，曾获1949年诺贝尔文学奖）
mate	 [meɪt]	n. 	（工人间的）伙伴，同事，老兄，老弟〔工人，水手间的亲密称呼〕；配偶〔男女任何一方〕，动物之偶（尤指鸟类），（一对中的）一只，配对物；[医学]（军医等的）助手；[航海]（商船的）大副，驾驶员
		vt.& vi. 	（使）成为配偶；（使）交配；（一对动物或鸟）交配；交尾(~ with sth)
tsunami	 [tsu:ˈnɑ:mi]	n. 	海啸
Bridget		 	圣布里奇特（即Brigid,Saint）
		 	[女子名] 布丽奇特来源于凯尔特语，含义是“力量”(strength) 昵称Biddy,Bridie
planetary	 [ˈplænətri]	adj. 	行星的；俗世的，现世的；流浪的，飘忽不定的；[机]行星齿轮的
occurring	 [ə'kɜ:rɪŋ]	n. 	事变，事件，事故
Keith		n. 	基思（男子名）
Mars	 [mɑ:z]	n. 	火星；战神
utopian	 [ju:'təʊpɪən]	adj. 	乌托邦的；空想的；不切实际的
		n. 	空想的社会主义者，空想家；乌托邦居民
Steele	 [sti:l]	 	斯蒂尔（姓氏）
rang	 [ræŋ]	v. 	把…圈起来( ring的过去式 )；环绕；包围；打电话给
Maude		 	[地名] [澳大利亚] 莫德
Hoag		 	[人名] 霍格
Allen	 [ˈælən]	n. 	艾伦（男子名，涵义：英俊，好看的）
voters	 ['vəʊtəz]	n. 	选举人，投票人，选民( voter的名词复数 )
legislators	 ['ledʒɪsleɪtəz]	n. 	立法委员，议员，立法者( legislator的名词复数 )
orderly	 [ˈɔ:dəli]	adj. 	整齐的，有秩序的；有组织的，有规则的；[军]值班的；安静的
		n. 	[军]传令下士；传令兵；街道清洁工
		adv. 	依次地，顺序地；有规则地；有条理地
receives		v. 	收到( receive的第三人称单数 )；接到；接纳；接待
Sheriff		 	[人名] [英格兰人姓氏] 谢里夫职业名称，郡长，来源于古英语，含义是“郡+地方官”(shire+reeve)
enforced	 [ɪnˈfɔ:st]	n. 	强迫的
		v. 	实施( enforce的过去式和过去分词 )；执行；强迫；强制执行
