don't	 [dəʊnt]	n. 	不要，禁忌；莫；别；甭
who's	 [hu:z]	abbr. 	who is 谁是…
who've	 [hu:v]	abbr. 	who have 谁有…
mightn't	 [ˈmaɪtnt]	 	=might not
oughtn't	 ['ɔ:tnt]	 	ought not的缩写
who'd	 [hu:d]	 	（尤其当 had 为助动词时，who had 的常用口语形式）；(who would 的一种口语形式)
who'll	 [hu:l]	abbr. 	who shall 谁将要…；who will 谁将要…
that'd		 	(that would 的一种口语形式，或当had为助动词时that had的口语形式)
daren't	 ['deənt]	abbr. 	dare not 不敢
who're	 [ˈhu:ə(r)]	 	(who are 的一种口语形式)
'shun		interj. 	(口号)立正![attention的缩略语]
bull's-eye	 ['bʊlzaɪ]	n. 	靶心；的
Hallowe'en		n. 	万圣节前夕(10月31日夜)
it'll	 [ˈɪtl]	 	it will的缩写，it shall的缩写
death's-head	 ['deθsh'ed]	n. 	骷髅，刻骷髅的指环
cleaner's	 [k'li:nərz]	n. 	洗衣店，清洁工人的
who'd	 [hu:d]	 	（尤其当 had 为助动词时，who had 的常用口语形式）；(who would 的一种口语形式)
where's		 	在哪里=where is
crow's-nest	 [k'rəʊzn'est]	n. 	桅上守望台，守望楼
e'er	 [eə(r)]	adv. 	曾经，到底
lady's-maid	 ['leɪdɪzmeɪd]	n. 	侍婢，侍女
mayn't	 [ˈmeɪənt]	n. 	may not的缩写
sou'wester	 [ˌsaʊˈwestə(r)]	n. 	西南风
will-o'-the-wisp	 [ˌwɪl ə ðə ˈwɪsp]	n. 	鬼火，磷火，迷惑人之物
hound's-tooth	 ['haʊndzt'u:θ]	n.& adj. 	棋盘格花纹（的）
o'er	 [ɔ:(r)]	adv.& prep. 	=over
bird's-eye	 ['bɜ:dz'aɪ]	adj. 	鸟瞰图；鸟眼斑
dt's		abbr. 	deep tanks 深槽；delerium tremens 震颤性谵妄；dementia tremors 痴呆震颤
e'en	 [i:n]	adv. 	恰好，即使，甚至
ha'p'orth	 [ˈheɪpəθ]	n. 	值半便士之物，微量
it'd	 [ˈɪtəd]	abbr. 	it had 已经；it would 将要
ne'er-do-well	 [ˈneədu:wel]	n. 	没用的人，饭桶；不成材；不成器；乏货
o'er	 [ɔ:(r)]	adv.& prep. 	=over
that'd		 	(that would 的一种口语形式，或当had为助动词时that had的口语形式)
Achilles' heel	 [əˈkili:z hi:l]	 	致命要害
Adam's apple		n. 	喉结
apothecaries' weight		 	药衡制（重量单位）
athlete's foot	 [ˈæθli:ts]	n. 	脚癣；足癣
bachelor's degree	 [ˈbætʃələz diˈɡri:]	n. 	学士学位
baker's dozen	 [ˈbeɪkəz]	n. 	十三
banker's card		n. 	（银行发行的）信用卡
banker's draft		 	银行汇票
banker's order		n. 	定期银行汇票
barber's pole		n. 	（红白螺旋条纹相间的）理发店招牌
bird's-eye view	 [ˈbə:dzai vju:]	 	鸟瞰（图），（自高处俯视的）全景；一览
blind man's buff		n. 	捉迷藏
Bright's disease		n. 	布赖特氏病，肾小球肾炎
busman's holiday	 [ˈbʌsmənz]	n. 	用来作日常工作的假日
buyer's market		n. 	买方市场（货多而价格疲软，便于买方采购的市场）
ca'canny	 [kɑ:kænɪ]	n. 	工人蓄意的怠工
		adj. 	留心的，缓慢的
camel's hair	 [ˈkæməlz]	n. 	骆驼毛；驼绒
cat-o'-nine-tails	 [ˌkæt ə ˈnaɪn teɪlz]	n. 	九尾鞭
cat's cradle	 [kæts]	n. 	挑棚子的游戏，翻线戏（二人互翻一线圈使成各种形状的游戏）；翻绳儿
cat's eye		 	猫眼石
cat's paw		n. 	受人利用者，傀儡；被人利用的人
charge d'affaires	 [ˌʃɑ:ʒeɪ dæˈfeə(r)]	n. 	代办，临时代办
chef-d'oeuvre	 [ˌʃeɪ ˈdɜ:vrə]	 	名曲，名著
collector's item		n. 	收藏家收集的对象
collector's piece		n. 	收藏家收集的对象
coroner's inquest		 	死因调查
coup d'etat	 [ˌku: deɪˈtɑ:]	n. 	政变，武力夺取政权
crow's foot		n. 	眼角皱纹
dead man's handle		n. 	（火车上的）紧急制动手柄
devil's advocate	 [ˈdevəlz]	 	唱反调的人；故意唱反调的人
doll's house		 	小家家
donkey's years		 	很长的时间，很久
don't-know	 [dəunt nəʊ]	n. 	未决定者，意向不明的投票人
driver's license		 	驾驶执照
dry cleaner's		 	干洗店
entr'acte	 [ˈɔntrækt,ɔnˈtrækt]	n. 	幕间休息，幕间休息的插演节目
five o'clock shadow	 [faɪv əˈklɔk ˈʃædəu]	n. 	清晨刮脸的人傍晚已长出的短髭
fo'c'sle	 ['fɒksl]	n. 	前甲板，船头的船楼，前甲板下面的水手舱
fool's errand	 [fu:lz]	n. 	徒劳无功的工作
fool's gold		 	黄铁矿，黄铜矿
fool's mate		 	走第二步棋时白方就被黑方将死的败局
fool's paradise		n. 	虚幻的乐境，幻想；黄梁美梦
fuller's earth	 [ˌfʊləz ˈɜ:θ]	n. 	（去油污的）漂白土；硅藻土
gentleman's agreement	 [ˈdʒentlmənz]	n. 	君子协定
gentleman's gentleman		n. 	侍从，男仆
guard's van		n. 	（火车列车的）警卫车厢；守车
he'll	 [hi:l]	abbr. 	he will 他将会
here's	 [hɪəz]	 	=here is
Hobson's choice	 [ˌhɒbsnz ˈtʃɔɪs]	n. 	无选择余地
hornet's nest	 [ˈhɔ:nɪts]	n. 	黄蜂窝
hors d'oeuvre	 [ˌɔ: ˈdɜ:v]	n. 	（正餐前的）开胃食品
housemaid's knee	 [ˈhaʊsˌmeɪdz]	n. 	（因常跪着做活引起的）髌前囊炎，膝盖囊肿
how-d'ye-do	 ['haʊdjʊ'du:]	n. 	困境，令人难堪的局面
I'll	 [aɪl]	abbr. 	I shall 我将；I will 我将
jack-o'-lantern	 [ˌdʒæk ə ˈlæntən]	n. 	鬼火，空心南瓜灯
Jehovah's Witness	 [dʒɪˈhəʊvəz]	n. 	耶和华见证会
Jew's harp		n. 	单簧口琴
Job's comforter		n. 	表面上安慰人实际上增加对方痛苦的安慰者
King's Bench		 	英国最高法院[亦作 Queen's Bench]
King's Bench Division		 	王座法庭
King's Counsel		 	[法]皇家律师
King's English		n. 	纯正英语
king's evidence		 	求英王宽待的证据
king's evil		 	[医学]瘰疬(旧时迷信经国王一触此病即可痊愈)
knacker's yard		 	购买并屠杀无用的马的人和收买并拆除旧建筑物等以售其材料的人做生意的场所
ladies' man	 [ˈleidiz mæn]	n. 	喜好与妇女打交道的男子，讨女人喜欢的男子
Ladies' room		n. 	公共女厕所，女盥洗室
lady's man	 [ˈleɪdi:z]	n. 	喜好与妇女打交道的男子，讨女人喜欢的男子
life's work		n. 	毕生的事业；一生中最大的成就
light-o'-love	 ['laɪtə'lʌv]	n. 	荡妇，水性杨花的女人，妓女
Lord's Prayer		 	主祷文，天主经
mare's nest	 [meəz]	n. 	不实或无价值的发现，杂乱
men's room		 	[体]男盥洗室
Mercator's projection		n. 	墨卡托圆柱投影法
mind's eye	 [maɪndz]	n. 	心眼，想象（力）；心目
mother carey's chicken	 [ˈmʌðəˈkeəri:z]	n. 	海燕
mug's game		 	傻瓜才干的事情，蠢事
ne'er	 [neə(r)]	adv. 	永不，决不
New Year's		n. 	元旦
New Year's Day		 	元旦
New Year's Eve		 	[电影]新年前夜；101次新年快乐
nine days' wonder	 [naɪn deɪz ˈwʌndə]	n. 	昙花一现的人物，昙花一现的事物
Noah's ark	 [ˌnəʊəz ˈɑ:k]	n. 	挪亚方舟；诺亚方舟
o'		pref. 	[用于某些爱尔兰人的姓氏前]表示“…的后裔”：O'Neil， O'Brien
objet d'art	 [ˌɒbʒeɪ ˈdɑ:]	n. 	小饰物，小艺术品
old wives' tale	 [əuld waivz teil]	n. 	无稽之谈，愚蠢的故事
Parkinson's disease	 [ˈpɑ:kɪnsnz dɪzi:z]	 	帕金森氏症，震颤性麻痹
Parkinson's law		n. 	帕金森定律
parson's nose	 [ˈpɑ:sənz]	n. 	（煮熟供食用的）鸡屁股，鸟屁股
penn'orth	 [ˈpenəθ]	n. 	一便士之值，一便士的东西
philosopher's stone	 [fɪˈlɔsəfəz]	 	（空想的）点金石；哲理
ploughman's lunch		n. 	（通常指在酒馆吃的，包括面包、乳酪、色拉和泡菜的）农夫午餐
potter's wheel		n. 	陶工旋盘；钧
printer's devil	 [ˈprɪntəz]	n. 	印刷厂的学徒
printer's ink		 	油墨，印刷品
Quai d'Orsay		n. 	凯多塞(巴黎塞纳河畔码头，法国外交部大楼在其对面)；法国外交部的别称；法国外交政策
Queen's Bench	 [kwi:nz]	n. 	英国高等法院
Queen's Bench Division		 	高等法院后座法庭所属分庭
Queen's Counsel		n. 	英国王室法律顾问，御用大律师
queen's evidence		 	（罪犯为减刑向法院）提供对同案犯不利的证据
raison d'etre		n. 	存在的目的或理由
seller's market	 [ˈseləz]	n. 	卖方市场；卖主市场
shanks's pony		n. 	步行，徒步
she'll	 [ʃi:l]	abbr. 	she will 她要
shepherd's check		 	黑白小格子花纹
shepherd's pie	 [ˈʃepədz]	n. 	上铺马铃薯泥的肉饼
ship's biscuit		n. 	（过去海员在航行时吃的）硬饼干
state's evidence	 [steɪts]	n. 	告发同犯的证人
stone's throw	 [stəʊnz]	n. 	短距离
students' union		 	学生会； 学生活动中心（大楼）
table d'hote	 [ˌtɑ:bl ˈdəʊt]	n. 	客饭，公司餐；份儿饭
tam-o'-shanter	 [ˌtæmə'ʃæntə(r)]	n. 	大黑头巾形帽子
that'll	 ['tætl]	 	(that will 的一种口语形式)
they'll	 [ðeɪl]	abbr. 	they will 他们将
three R's		n. 	（儿童教育的基础）读，写，算
traveller's cheque		 	旅行支票
visitors' book		 	旅客登记簿
we'll	 [wi:l]	 	(we shall或 we will 的常用口语形式)
whate'er		abbr. 	whatever 无论什么
whate'er		abbr. 	whatever 无论什么
what's	 [wɒts]	 	（尤当 has 为助动词时，what is 或 what has 的常用口语形式）；乌
whatsoe'er	 [ˌhwɒtsəʊ'eə(r)]	pron. 	不论什么，任何
		adj. 	无论如何的
where's		 	在哪里=where is
who'll	 [hu:l]	abbr. 	who shall 谁将要…；who will 谁将要…
who's	 [hu:z]	abbr. 	who is 谁是…
why'd		abbr. 	why did 为什么…
why'd		abbr. 	why did 为什么…
why'd		abbr. 	why did 为什么…
writer's cramp	 [ˈraɪtəz]	n. 	指痉挛
you'll	 [ju:l]	 	你将(=you will)
